ticket_id,created_at,category_id,agent_id,pays,canal,priorite,statut,score_risque,niveau_alerte,predit_risque,ticket_at_risk
TKT013432,2024-03-06 21:50:00,CAT007,AGT010,Senegal,Web form,5,Backlog,0.7745805647796992,ROUGE — Intervention immédiate,1,1
TKT014955,2024-06-11 21:49:00,CAT007,AGT003,France,Téléphone,5,Résolu,0.7714247946972579,ROUGE — Intervention immédiate,1,0
TKT014695,2024-05-26 00:07:00,CAT007,AGT002,Ghana,App mobile,5,Résolu,0.7712221445280302,ROUGE — Intervention immédiate,1,1
TKT012691,2024-01-22 21:40:00,CAT001,AGT004,CI,Téléphone,4,Escaladé,0.7670086229639616,ROUGE — Intervention immédiate,1,1
TKT014152,2024-04-22 00:54:00,CAT007,AGT004,Mali,Email,5,Résolu,0.7663521322913909,ROUGE — Intervention immédiate,1,0
TKT012877,2024-01-30 21:19:00,CAT007,AGT005,Senegal,Email,5,Backlog,0.7627301129877815,ROUGE — Intervention immédiate,1,1
TKT014857,2024-06-04 23:47:00,CAT007,AGT006,Cameroun,Email,5,Résolu,0.7610529775957312,ROUGE — Intervention immédiate,1,1
TKT015064,2024-06-18 12:01:00,CAT007,AGT004,France,Web form,5,Escaladé,0.7601185262573863,ROUGE — Intervention immédiate,1,1
TKT013910,2024-04-06 04:30:00,CAT007,AGT004,France,Email,5,Résolu,0.7567709923045417,ROUGE — Intervention immédiate,1,1
TKT013869,2024-04-03 16:27:00,CAT007,AGT011,Senegal,Web form,5,Escaladé,0.7567389623982281,ROUGE — Intervention immédiate,1,1
TKT013606,2024-03-18 11:21:00,CAT007,AGT004,Senegal,App mobile,5,Résolu,0.7552188685568346,ROUGE — Intervention immédiate,1,0
TKT013355,2024-02-29 01:28:00,CAT007,AGT006,Ghana,Email,5,En cours,0.7543035116691935,ROUGE — Intervention immédiate,1,1
TKT013961,2024-04-09 21:39:00,CAT001,AGT004,Cameroun,Chat,4,Backlog,0.753780715519428,ROUGE — Intervention immédiate,1,1
TKT013209,2024-02-20 20:39:00,CAT007,AGT006,Ghana,Téléphone,5,Résolu,0.7528358993350536,ROUGE — Intervention immédiate,1,0
TKT013786,2024-03-29 21:47:00,CAT007,AGT003,Senegal,Chat,5,Résolu,0.7510014877789346,ROUGE — Intervention immédiate,1,1
TKT013314,2024-02-26 06:07:00,CAT001,AGT004,France,Email,4,Résolu,0.7504748890988019,ROUGE — Intervention immédiate,1,1
TKT015280,2024-06-30 10:31:00,CAT001,AGT002,CI,App mobile,4,Résolu,0.7485089546148864,ROUGE — Intervention immédiate,1,1
TKT014883,2024-06-06 21:24:00,CAT007,AGT006,Maroc,Chat,5,En cours,0.7480946369258955,ROUGE — Intervention immédiate,1,1
TKT013738,2024-03-26 12:17:00,CAT001,AGT004,CI,Chat,4,Résolu,0.7473795833430811,ROUGE — Intervention immédiate,1,1
TKT013532,2024-03-13 06:35:00,CAT007,AGT006,France,Email,5,Escaladé,0.7457985431434828,ROUGE — Intervention immédiate,1,1
TKT012984,2024-02-06 15:02:00,CAT001,AGT004,CI,Chat,4,Escaladé,0.7454853399764803,ROUGE — Intervention immédiate,1,1
TKT014745,2024-05-29 04:50:00,CAT007,AGT004,France,Web form,5,Résolu,0.7437574967961375,ROUGE — Intervention immédiate,1,1
TKT014758,2024-05-29 20:26:00,CAT007,AGT003,Mali,Chat,5,Escaladé,0.7403330692797263,ROUGE — Intervention immédiate,1,1
TKT014303,2024-05-02 14:31:00,CAT007,AGT011,CI,App mobile,5,Escaladé,0.7400171495783181,ROUGE — Intervention immédiate,1,1
TKT014849,2024-06-04 21:17:00,CAT007,AGT009,France,Email,5,Résolu,0.7393184392059168,ROUGE — Intervention immédiate,1,1
TKT014410,2024-05-08 04:08:00,CAT007,AGT003,Senegal,Chat,5,Escaladé,0.7387905759413289,ROUGE — Intervention immédiate,1,1
TKT015129,2024-06-21 12:14:00,CAT007,AGT002,CI,Email,5,Résolu,0.7384873454437069,ROUGE — Intervention immédiate,1,1
TKT014224,2024-04-25 04:43:00,CAT007,AGT005,Maroc,Téléphone,5,Escaladé,0.7383166087675977,ROUGE — Intervention immédiate,1,1
TKT013665,2024-03-21 14:42:00,CAT007,AGT004,Senegal,Chat,5,Résolu,0.7379112475019489,ROUGE — Intervention immédiate,1,1
TKT013562,2024-03-14 08:46:00,CAT007,AGT011,France,Téléphone,5,Escaladé,0.7375441797724711,ROUGE — Intervention immédiate,1,1
TKT013645,2024-03-20 21:47:00,CAT007,AGT004,Mali,Téléphone,5,En cours,0.7371564007309586,ROUGE — Intervention immédiate,1,1
TKT014151,2024-04-22 22:46:00,CAT007,AGT007,France,Chat,5,Escaladé,0.7364965159158146,ROUGE — Intervention immédiate,1,1
TKT013986,2024-04-10 11:53:00,CAT007,AGT011,France,App mobile,5,Résolu,0.7355564542753971,ROUGE — Intervention immédiate,1,1
TKT015107,2024-06-20 07:59:00,CAT007,AGT003,CI,Téléphone,5,Escaladé,0.7355046782410857,ROUGE — Intervention immédiate,1,1
TKT013785,2024-03-29 10:41:00,CAT007,AGT002,CI,Email,5,Résolu,0.735182815031732,ROUGE — Intervention immédiate,1,1
