id_client,mois,voix_min,sms_count,data_mb
CL00001,2024-01-01,308.4,55,3601.6
CL00001,2024-02-01,309.2,55,3612.0
CL00001,2024-03-01,299.7,54,3501.0
CL00001,2024-04-01,385.1,69,4497.9
CL00001,2024-05-01,349.6,63,4083.2
CL00001,2024-06-01,316.7,57,3698.9
CL00001,2024-07-01,368.7,66,4306.4
CL00001,2024-08-01,376.9,68,4402.6
CL00001,2024-09-01,406.6,73,4749.6
CL00001,2024-10-01,375.5,67,4385.3
CL00001,2024-11-01,239.9,43,2802.0
CL00001,2024-12-01,327.0,59,3819.9
CL00001,2025-01-01,317.1,57,3703.4
CL00001,2025-02-01,401.1,72,4685.2
CL00001,2025-03-01,395.4,71,4617.9
CL00001,2025-04-01,312.5,56,3650.3
CL00001,2025-05-01,351.0,63,4099.1
CL00001,2025-06-01,374.4,67,4373.5
CL00001,2025-07-01,361.7,65,4225.2
CL00001,2025-08-01,393.8,71,4599.3
CL00001,2025-09-01,346.1,62,4043.0
CL00001,2025-10-01,348.5,62,4070.1
CL00001,2025-11-01,387.6,70,4527.2
CL00001,2025-12-01,371.7,67,4341.7
CL00002,2024-01-01,62.5,39,427.6
CL00002,2024-02-01,22.2,14,152.0
CL00002,2024-03-01,18.6,11,127.1
CL00002,2024-04-01,24.0,15,164.3
CL00003,2025-05-01,382.9,26,1635.8
CL00003,2025-06-01,369.3,25,1577.8
CL00003,2025-07-01,391.4,27,1672.0
CL00003,2025-08-01,395.6,27,1689.9
CL00003,2025-09-01,365.9,25,1563.3
CL00003,2025-10-01,363.4,25,1552.3
CL00003,2025-11-01,382.9,26,1635.7
CL00003,2025-12-01,443.5,31,1894.8
CL00004,2024-01-01,62.1,14,904.4
CL00004,2024-02-01,55.2,12,803.6
CL00004,2024-03-01,60.0,13,874.3
CL00004,2024-04-01,61.2,14,891.4
CL00004,2024-05-01,64.6,14,941.2
CL00004,2024-06-01,64.1,14,934.3
CL00004,2024-07-01,50.4,11,734.6
CL00004,2024-08-01,67.0,15,975.5
CL00004,2024-09-01,60.3,13,878.6
CL00004,2024-10-01,64.6,14,941.1
CL00004,2024-11-01,69.0,16,1004.7
CL00004,2024-12-01,63.0,14,918.4
CL00004,2025-01-01,51.9,12,756.5
CL00004,2025-02-01,62.3,14,907.0
CL00004,2025-03-01,57.9,13,843.8
CL00004,2025-04-01,23.7,5,344.8
CL00004,2025-05-01,16.8,3,245.0
CL00004,2025-06-01,20.3,4,295.8
CL00005,2025-03-01,239.0,62,3332.7
CL00005,2025-04-01,174.7,46,2435.8
CL00005,2025-05-01,244.4,64,3407.9
CL00005,2025-06-01,285.5,75,3981.4
CL00005,2025-07-01,293.2,77,4087.8
CL00005,2025-08-01,227.2,59,3167.2
CL00005,2025-09-01,115.3,30,1608.3
CL00005,2025-10-01,87.8,23,1224.8
CL00005,2025-11-01,91.3,24,1272.5
CL00006,2024-01-01,65.7,33,1044.3
CL00006,2024-02-01,61.7,31,980.9
CL00006,2024-03-01,69.5,35,1104.9
CL00006,2024-04-01,66.8,34,1061.8
CL00006,2024-05-01,60.8,31,966.8
CL00006,2024-06-01,70.3,36,1117.4
CL00006,2024-07-01,67.4,34,1071.3
CL00006,2024-08-01,69.0,35,1096.3
CL00006,2024-09-01,72.2,37,1146.7
CL00006,2024-10-01,71.8,36,1141.0
CL00006,2024-11-01,81.0,41,1286.5
CL00006,2024-12-01,76.4,39,1214.7
CL00006,2025-01-01,89.2,45,1418.1
CL00006,2025-02-01,55.6,28,883.3
CL00006,2025-03-01,69.2,35,1099.3
CL00006,2025-04-01,71.6,36,1137.3
CL00006,2025-05-01,61.8,31,981.9
CL00006,2025-06-01,69.3,35,1101.4
CL00006,2025-07-01,78.0,40,1240.2
CL00006,2025-08-01,67.7,34,1075.2
CL00006,2025-09-01,67.5,34,1072.2
CL00006,2025-10-01,66.3,34,1054.4
CL00006,2025-11-01,90.2,46,1434.1
CL00006,2025-12-01,60.0,30,953.7
CL00007,2024-01-01,383.8,75,4321.9
CL00007,2024-02-01,417.1,82,4696.4
CL00007,2024-03-01,396.5,78,4464.7
CL00007,2024-04-01,341.6,67,3846.6
CL00007,2024-05-01,339.7,66,3824.5
CL00007,2024-06-01,404.4,79,4552.9
CL00007,2024-07-01,344.0,67,3873.8
CL00007,2024-08-01,297.2,58,3345.9
CL00007,2024-09-01,411.6,81,4634.5
