id_facture,id_client,date_facturation,montant_fcfa,methode_paiement
F000001,CL00001,2024-01-01,8248.0,Wave
F000002,CL00001,2024-02-01,7800.0,Wave
F000003,CL00001,2024-03-01,7171.0,Wave
F000004,CL00001,2024-04-01,7875.0,Orange Money
F000005,CL00001,2024-05-01,8189.0,Orange Money
F000006,CL00001,2024-06-01,8511.0,Wave
F000007,CL00001,2024-07-01,6595.0,Orange Money
F000008,CL00001,2024-08-01,7251.0,MTN MoMo
F000009,CL00001,2024-09-01,7195.0,Wave
F000010,CL00001,2024-10-01,7335.0,Wave
F000011,CL00001,2024-11-01,7754.0,Virement
F000012,CL00001,2024-12-01,6319.0,Wave
F000013,CL00001,2025-01-01,7158.0,Wave
F000014,CL00001,2025-02-01,7212.0,Wave
F000015,CL00001,2025-03-01,7504.0,Orange Money
F000016,CL00001,2025-04-01,7577.0,Wave
F000017,CL00001,2025-05-01,7326.0,Wave
F000018,CL00001,2025-06-01,8660.0,Wave
F000019,CL00001,2025-07-01,7378.0,Orange Money
F000020,CL00001,2025-08-01,7748.0,Wave
F000021,CL00001,2025-09-01,7855.0,Wave
F000022,CL00001,2025-10-01,6931.0,Orange Money
F000023,CL00001,2025-11-01,6960.0,Orange Money
F000024,CL00001,2025-12-01,7866.0,Orange Money
F000025,CL00002,2024-01-01,3303.0,Orange Money
F000026,CL00002,2024-02-01,1570.0,Orange Money
F000027,CL00002,2024-03-01,1557.0,MTN MoMo
F000028,CL00002,2024-04-01,1423.0,Orange Money
F000029,CL00003,2025-05-01,4062.0,Orange Money
F000030,CL00003,2025-06-01,4046.0,Wave
F000031,CL00003,2025-07-01,4109.0,Orange Money
F000032,CL00003,2025-08-01,4327.0,Especes
F000033,CL00003,2025-09-01,3738.0,Orange Money
F000034,CL00003,2025-10-01,3747.0,Orange Money
F000035,CL00003,2025-11-01,4664.0,Orange Money
F000036,CL00003,2025-12-01,3738.0,Orange Money
F000037,CL00004,2024-01-01,2895.0,Orange Money
F000038,CL00004,2024-02-01,3106.0,Orange Money
F000039,CL00004,2024-03-01,2541.0,Wave
F000040,CL00004,2024-04-01,2863.0,Orange Money
F000041,CL00004,2024-05-01,2725.0,Wave
F000042,CL00004,2024-06-01,2668.0,Orange Money
F000043,CL00004,2024-07-01,3240.0,Wave
F000044,CL00004,2024-08-01,3179.0,Orange Money
F000045,CL00004,2024-09-01,0.0,Wave
F000046,CL00004,2024-10-01,3253.0,MTN MoMo
F000047,CL00004,2024-11-01,3271.0,Wave
F000048,CL00004,2024-12-01,3324.0,MTN MoMo
F000049,CL00004,2025-01-01,3277.0,Virement
F000050,CL00004,2025-02-01,3053.0,Especes
F000051,CL00004,2025-03-01,2890.0,Orange Money
F000052,CL00004,2025-04-01,1454.0,Orange Money
F000053,CL00004,2025-05-01,1809.0,Orange Money
F000054,CL00004,2025-06-01,1253.0,Wave
F000055,CL00005,2025-03-01,7561.0,Virement
F000056,CL00005,2025-04-01,7339.0,Orange Money
F000057,CL00005,2025-05-01,7116.0,Virement
F000058,CL00005,2025-06-01,6769.0,Wave
F000059,CL00005,2025-07-01,6270.0,Orange Money
F000060,CL00005,2025-08-01,8260.0,MTN MoMo
F000061,CL00005,2025-09-01,4624.0,Wave
F000062,CL00005,2025-10-01,3403.0,Orange Money
F000063,CL00005,2025-11-01,3579.0,Wave
F000064,CL00006,2024-01-01,2904.0,Wave
F000065,CL00006,2024-02-01,2984.0,Wave
F000066,CL00006,2024-03-01,2752.0,Orange Money
F000067,CL00006,2024-04-01,2863.0,Orange Money
F000068,CL00006,2024-05-01,2427.0,Wave
F000069,CL00006,2024-06-01,2927.0,Orange Money
F000070,CL00006,2024-07-01,3173.0,Wave
F000071,CL00006,2024-08-01,0.0,Wave
F000072,CL00006,2024-09-01,3162.0,Orange Money
F000073,CL00006,2024-10-01,3130.0,Orange Money
F000074,CL00006,2024-11-01,3424.0,Orange Money
F000075,CL00006,2024-12-01,3058.0,Orange Money
F000076,CL00006,2025-01-01,2858.0,Orange Money
F000077,CL00006,2025-02-01,2874.0,Wave
F000078,CL00006,2025-03-01,2917.0,Wave
F000079,CL00006,2025-04-01,2810.0,Orange Money
F000080,CL00006,2025-05-01,3081.0,Virement
F000081,CL00006,2025-06-01,3188.0,Virement
F000082,CL00006,2025-07-01,2887.0,Orange Money
F000083,CL00006,2025-08-01,3263.0,MTN MoMo
F000084,CL00006,2025-09-01,2711.0,Wave
F000085,CL00006,2025-10-01,2540.0,Wave
F000086,CL00006,2025-11-01,2879.0,MTN MoMo
F000087,CL00006,2025-12-01,2563.0,Orange Money
F000088,CL00007,2024-01-01,6968.0,Wave
F000089,CL00007,2024-02-01,7570.0,Wave
F000090,CL00007,2024-03-01,6563.0,Wave
F000091,CL00007,2024-04-01,7519.0,MTN MoMo
F000092,CL00007,2024-05-01,7097.0,MTN MoMo
F000093,CL00007,2024-06-01,7819.0,MTN MoMo
F000094,CL00007,2024-07-01,6652.0,Wave
F000095,CL00007,2024-08-01,7097.0,Wave
F000096,CL00007,2024-09-01,7012.0,Wave
F000097,CL00007,2024-10-01,7573.0,Orange Money
F000098,CL00007,2024-11-01,7151.0,Wave
F000099,CL00007,2024-12-01,7804.0,Wave
F000100,CL00007,2025-01-01,7589.0,Wave
F000101,CL00007,2025-02-01,7443.0,Wave
F000102,CL00007,2025-03-01,7306.0,Orange Money
F000103,CL00007,2025-04-01,8476.0,Wave
F000104,CL00007,2025-05-01,7513.0,Wave
F000105,CL00007,2025-06-01,7683.0,Wave
F000106,CL00007,2025-07-01,7671.0,Wave
F000107,CL00007,2025-08-01,7157.0,Wave
F000108,CL00007,2025-09-01,6342.0,Wave
F000109,CL00007,2025-10-01,8416.0,MTN MoMo
F000110,CL00007,2025-11-01,7230.0,Virement
F000111,CL00007,2025-12-01,7652.0,Wave
F000112,CL00008,2024-05-01,28197.0,Wave
F000113,CL00008,2024-06-01,23921.0,Wave
F000114,CL00008,2024-07-01,21651.0,Virement
F000115,CL00008,2024-08-01,24477.0,Orange Money
F000116,CL00008,2024-09-01,27327.0,Orange Money
F000117,CL00008,2024-10-01,23732.0,Orange Money
F000118,CL00008,2024-11-01,22742.0,Orange Money
F000119,CL00008,2024-12-01,21775.0,Orange Money
F000120,CL00008,2025-01-01,30121.0,Orange Money
F000121,CL00008,2025-02-01,27909.0,MTN MoMo
F000122,CL00008,2025-03-01,20379.0,Orange Money
F000123,CL00008,2025-04-01,26363.0,Orange Money
F000124,CL00008,2025-05-01,28112.0,Orange Money
F000125,CL00008,2025-06-01,24814.0,Wave
F000126,CL00008,2025-07-01,24173.0,Wave
F000127,CL00008,2025-08-01,24307.0,MTN MoMo
F000128,CL00008,2025-09-01,27747.0,Wave
F000129,CL00008,2025-10-01,23280.0,Orange Money
F000130,CL00008,2025-11-01,23316.0,MTN MoMo
F000131,CL00008,2025-12-01,20681.0,Virement
F000132,CL00009,2024-01-01,2795.0,Wave
F000133,CL00009,2024-02-01,2383.0,Wave
F000134,CL00009,2024-03-01,2910.0,Wave
F000135,CL00009,2024-04-01,3290.0,Orange Money
F000136,CL00009,2024-05-01,3099.0,Orange Money
F000137,CL00009,2024-06-01,3133.0,Wave
F000138,CL00009,2024-07-01,3065.0,Wave
F000139,CL00009,2024-08-01,2944.0,Especes
F000140,CL00009,2024-09-01,2955.0,Orange Money
F000141,CL00009,2024-10-01,3072.0,Orange Money
F000142,CL00009,2024-11-01,0.0,Wave
F000143,CL00009,2024-12-01,2778.0,Orange Money
F000144,CL00009,2025-01-01,2898.0,Orange Money
F000145,CL00009,2025-02-01,2694.0,Wave
F000146,CL00009,2025-03-01,2810.0,Wave
F000147,CL00009,2025-04-01,0.0,Orange Money
F000148,CL00009,2025-05-01,2939.0,Wave
F000149,CL00009,2025-06-01,3063.0,Wave
F000150,CL00009,2025-07-01,3101.0,Orange Money
F000151,CL00009,2025-08-01,2998.0,Orange Money
F000152,CL00009,2025-09-01,3197.0,Virement
F000153,CL00009,2025-10-01,2846.0,Wave
F000154,CL00009,2025-11-01,3074.0,Orange Money
F000155,CL00009,2025-12-01,2752.0,Orange Money
F000156,CL00010,2024-01-01,0.0,Orange Money
F000157,CL00010,2024-02-01,1613.0,MTN MoMo
F000158,CL00010,2024-03-01,1734.0,Wave
F000159,CL00010,2024-04-01,1945.0,Wave
F000160,CL00011,2024-01-01,7361.0,Orange Money
F000161,CL00011,2024-02-01,7540.0,MTN MoMo
F000162,CL00011,2024-03-01,5925.0,Wave
F000163,CL00011,2024-04-01,6611.0,Wave
F000164,CL00011,2024-05-01,7595.0,Orange Money
F000165,CL00011,2024-06-01,7545.0,Wave
F000166,CL00011,2024-07-01,7275.0,Orange Money
F000167,CL00011,2024-08-01,0.0,Orange Money
F000168,CL00011,2024-09-01,7108.0,Virement
F000169,CL00011,2024-10-01,7349.0,Wave
F000170,CL00011,2024-11-01,7787.0,Orange Money
F000171,CL00011,2024-12-01,7286.0,Wave
F000172,CL00011,2025-01-01,7547.0,Orange Money
F000173,CL00011,2025-02-01,7290.0,Wave
F000174,CL00011,2025-03-01,6867.0,Orange Money
F000175,CL00011,2025-04-01,7962.0,Orange Money
F000176,CL00011,2025-05-01,7904.0,Wave
F000177,CL00011,2025-06-01,7883.0,Wave
F000178,CL00011,2025-07-01,7395.0,Wave
F000179,CL00011,2025-08-01,8013.0,Especes
F000180,CL00011,2025-09-01,8042.0,Wave
F000181,CL00011,2025-10-01,5721.0,Especes
F000182,CL00011,2025-11-01,8297.0,Orange Money
F000183,CL00011,2025-12-01,7406.0,Orange Money
F000184,CL00012,2024-08-01,7585.0,Orange Money
F000185,CL00012,2024-09-01,6864.0,MTN MoMo
F000186,CL00012,2024-10-01,8385.0,Orange Money
F000187,CL00012,2024-11-01,7302.0,Orange Money
F000188,CL00012,2024-12-01,6715.0,MTN MoMo
F000189,CL00012,2025-01-01,8317.0,Orange Money
F000190,CL00012,2025-02-01,7384.0,Wave
F000191,CL00012,2025-03-01,8647.0,Wave
F000192,CL00012,2025-04-01,7506.0,MTN MoMo
F000193,CL00012,2025-05-01,7048.0,Virement
F000194,CL00012,2025-06-01,7986.0,Wave
F000195,CL00012,2025-07-01,7348.0,Orange Money
F000196,CL00012,2025-08-01,7860.0,Orange Money
F000197,CL00012,2025-09-01,7080.0,Wave
F000198,CL00012,2025-10-01,7788.0,Wave
F000199,CL00012,2025-11-01,7253.0,Orange Money
F000200,CL00012,2025-12-01,7943.0,MTN MoMo
F000201,CL00013,2024-01-01,7435.0,Orange Money
F000202,CL00013,2024-02-01,7584.0,Orange Money
F000203,CL00013,2024-03-01,5886.0,Especes
F000204,CL00013,2024-04-01,7337.0,Wave
F000205,CL00013,2024-05-01,7460.0,Virement
F000206,CL00013,2024-06-01,7932.0,Orange Money
F000207,CL00013,2024-07-01,6853.0,Wave
F000208,CL00013,2024-08-01,7656.0,Orange Money
F000209,CL00013,2024-09-01,9008.0,Wave
F000210,CL00013,2024-10-01,8215.0,Orange Money
F000211,CL00013,2024-11-01,7395.0,Orange Money
F000212,CL00013,2024-12-01,7550.0,Orange Money
F000213,CL00013,2025-01-01,7214.0,MTN MoMo
F000214,CL00013,2025-02-01,7838.0,Wave
F000215,CL00013,2025-03-01,6725.0,MTN MoMo
F000216,CL00013,2025-04-01,7252.0,Orange Money
F000217,CL00013,2025-05-01,7048.0,Orange Money
F000218,CL00013,2025-06-01,7236.0,Orange Money
F000219,CL00013,2025-07-01,7625.0,Orange Money
F000220,CL00013,2025-08-01,6158.0,Orange Money
F000221,CL00013,2025-09-01,7312.0,MTN MoMo
F000222,CL00013,2025-10-01,7187.0,MTN MoMo
F000223,CL00013,2025-11-01,8070.0,Orange Money
F000224,CL00013,2025-12-01,6944.0,Orange Money
F000225,CL00014,2025-04-01,3054.0,Orange Money
F000226,CL00014,2025-05-01,1431.0,Orange Money
F000227,CL00014,2025-06-01,1545.0,Virement
F000228,CL00014,2025-07-01,1479.0,Orange Money
F000229,CL00015,2025-09-01,2776.0,Orange Money
F000230,CL00015,2025-10-01,2158.0,Orange Money
F000231,CL00015,2025-11-01,1236.0,Wave
F000232,CL00015,2025-12-01,1922.0,Orange Money
F000233,CL00016,2024-01-01,7342.0,Orange Money
F000234,CL00016,2024-02-01,7563.0,Wave
F000235,CL00016,2024-03-01,7589.0,Wave
F000236,CL00016,2024-04-01,0.0,Orange Money
F000237,CL00016,2024-05-01,8271.0,Virement
F000238,CL00016,2024-06-01,8095.0,Wave
F000239,CL00016,2024-07-01,8334.0,Orange Money
F000240,CL00016,2024-08-01,7405.0,Wave
F000241,CL00016,2024-09-01,7449.0,Wave
F000242,CL00016,2024-10-01,7108.0,Wave
F000243,CL00016,2024-11-01,6798.0,Wave
F000244,CL00016,2024-12-01,7907.0,Wave
F000245,CL00016,2025-01-01,6834.0,Orange Money
F000246,CL00016,2025-02-01,6804.0,Orange Money
F000247,CL00016,2025-03-01,7866.0,Orange Money
F000248,CL00016,2025-04-01,7598.0,Orange Money
F000249,CL00016,2025-05-01,7910.0,Wave
F000250,CL00016,2025-06-01,7039.0,Orange Money
F000251,CL00016,2025-07-01,8596.0,Especes
F000252,CL00016,2025-08-01,6955.0,Especes
F000253,CL00016,2025-09-01,0.0,MTN MoMo
F000254,CL00016,2025-10-01,7062.0,Orange Money
F000255,CL00016,2025-11-01,8574.0,Orange Money
F000256,CL00016,2025-12-01,7261.0,Virement
F000257,CL00017,2024-01-01,6911.0,Orange Money
F000258,CL00017,2024-02-01,8954.0,MTN MoMo
F000259,CL00017,2024-03-01,8449.0,Virement
F000260,CL00017,2024-04-01,8227.0,Orange Money
F000261,CL00017,2024-05-01,8407.0,Orange Money
F000262,CL00017,2024-06-01,6932.0,Wave
F000263,CL00017,2024-07-01,8504.0,Orange Money
F000264,CL00017,2024-08-01,7365.0,Orange Money
F000265,CL00017,2024-09-01,7703.0,Wave
F000266,CL00017,2024-10-01,7479.0,Wave
F000267,CL00017,2024-11-01,8327.0,Wave
F000268,CL00017,2024-12-01,6112.0,Wave
F000269,CL00017,2025-01-01,6853.0,Orange Money
F000270,CL00017,2025-02-01,8406.0,Orange Money
F000271,CL00017,2025-03-01,7117.0,Orange Money
F000272,CL00017,2025-04-01,8301.0,Orange Money
F000273,CL00017,2025-05-01,7089.0,Wave
F000274,CL00017,2025-06-01,7343.0,Wave
F000275,CL00017,2025-07-01,8655.0,Wave
F000276,CL00017,2025-08-01,7973.0,Orange Money
F000277,CL00017,2025-09-01,7609.0,Wave
F000278,CL00017,2025-10-01,7813.0,Orange Money
F000279,CL00017,2025-11-01,8145.0,Wave
F000280,CL00017,2025-12-01,7573.0,Orange Money
F000281,CL00018,2024-01-01,7864.0,Orange Money
F000282,CL00018,2024-02-01,8970.0,Wave
F000283,CL00018,2024-03-01,0.0,Wave
F000284,CL00018,2024-04-01,7602.0,Orange Money
F000285,CL00018,2024-05-01,7212.0,Orange Money
F000286,CL00018,2024-06-01,6984.0,Orange Money
F000287,CL00018,2024-07-01,7595.0,Wave
F000288,CL00018,2024-08-01,6995.0,Wave
F000289,CL00018,2024-09-01,6914.0,Virement
F000290,CL00018,2024-10-01,0.0,Wave
F000291,CL00018,2024-11-01,7845.0,Virement
F000292,CL00018,2024-12-01,7794.0,Orange Money
F000293,CL00018,2025-01-01,7451.0,Wave
F000294,CL00018,2025-02-01,6722.0,Orange Money
F000295,CL00018,2025-03-01,6692.0,Orange Money
F000296,CL00018,2025-04-01,7722.0,Wave
F000297,CL00018,2025-05-01,7133.0,Wave
F000298,CL00018,2025-06-01,7637.0,Orange Money
F000299,CL00018,2025-07-01,7555.0,Especes
F000300,CL00018,2025-08-01,6414.0,Wave
F000301,CL00018,2025-09-01,8420.0,Orange Money
F000302,CL00018,2025-10-01,6685.0,Wave
F000303,CL00018,2025-11-01,7359.0,Orange Money
F000304,CL00018,2025-12-01,0.0,Orange Money
F000305,CL00019,2024-01-01,3797.0,Especes
F000306,CL00019,2024-02-01,3832.0,Wave
F000307,CL00019,2024-03-01,3861.0,Orange Money
F000308,CL00019,2024-04-01,3934.0,Wave
F000309,CL00019,2024-05-01,4571.0,Wave
F000310,CL00019,2024-06-01,3713.0,Wave
F000311,CL00019,2024-07-01,4196.0,Wave
F000312,CL00019,2024-08-01,4385.0,Orange Money
F000313,CL00019,2024-09-01,4160.0,Wave
