id_ticket,id_client,date_creation,type,statut,delai_resolution_jours
TK000001,CL00002,2024-02-25,Facturation,resolu,-20.0
TK000002,CL00002,2024-02-03,Facturation,abandonne,4.0
TK000003,CL00004,2024-03-23,Reseau,abandonne,-14.0
TK000004,CL00004,2024-09-23,Offre,abandonne,10.0
TK000005,CL00004,2025-04-03,Reseau,ouvert,
TK000006,CL00004,2025-01-02,Facturation,abandonne,3.0
TK000007,CL00005,2025-03-05,Facturation,resolu,1.0
TK000008,CL00006,2025-06-01,Facturation,resolu,5.0
TK000009,CL00007,2024-04-08,Reseau,resolu,9.0
TK000010,CL00010,2024-02-03,Facturation,abandonne,6.0
TK000011,CL00010,2024-01-24,Reseau,ouvert,
TK000012,CL00010,2024-02-17,Facturation,ouvert,
TK000013,CL00011,2025-03-21,Facturation,resolu,2.0
TK000014,CL00013,2024-10-11,Reseau,ouvert,
TK000015,CL00014,2025-06-28,Reseau,ouvert,
TK000016,CL00015,2025-12-25,Facturation,abandonne,1.0
TK000017,CL00015,2025-11-27,Reseau,resolu,4.0
TK000018,CL00017,2025-12-30,Offre,resolu,7.0
TK000019,CL00019,2024-07-01,Offre,resolu,2.0
TK000020,CL00020,2025-10-09,Offre,resolu,4.0
TK000021,CL00021,2024-06-20,Materiel,ouvert,
TK000022,CL00022,2025-09-13,Reseau,resolu,1.0
TK000023,CL00022,2025-09-15,Reseau,abandonne,1.0
TK000024,CL00023,2025-11-29,Offre,resolu,3.0
TK000025,CL00025,2025-08-26,Facturation,resolu,1.0
TK000026,CL00027,2025-01-20,Materiel,resolu,1.0
TK000027,CL00028,2025-09-06,Facturation,resolu,1.0
TK000028,CL00030,2025-06-24,Facturation,resolu,1.0
TK000029,CL00031,2024-03-24,Offre,ouvert,
TK000030,CL00031,2024-06-13,Materiel,ouvert,
TK000031,CL00032,2024-07-19,Reseau,resolu,1.0
TK000032,CL00032,2024-01-20,Offre,resolu,2.0
TK000033,CL00034,2025-06-05,Offre,resolu,4.0
TK000034,CL00034,2025-10-03,Facturation,ouvert,
TK000035,CL00034,2025-06-06,Materiel,ouvert,
TK000036,CL00034,2025-07-08,Reseau,resolu,3.0
TK000037,CL00034,2025-09-21,Offre,resolu,11.0
TK000038,CL00035,2025-12-26,Facturation,resolu,7.0
TK000039,CL00035,2025-07-09,Offre,resolu,1.0
TK000040,CL00035,2025-04-18,Reseau,resolu,1.0
TK000041,CL00036,2024-02-22,Materiel,resolu,6.0
TK000042,CL00037,2025-09-11,Reseau,ouvert,
TK000043,CL00037,2025-09-11,Facturation,resolu,5.0
TK000044,CL00037,2025-10-19,Offre,ouvert,
TK000045,CL00038,2024-09-07,Reseau,resolu,1.0
TK000046,CL00038,2025-11-21,Materiel,resolu,10.0
TK000047,CL00043,2025-08-23,Facturation,resolu,1.0
TK000048,CL00044,2025-05-03,Offre,resolu,1.0
TK000049,CL00045,2024-02-18,Facturation,resolu,17.0
TK000050,CL00050,2024-05-07,Materiel,resolu,7.0
TK000051,CL00051,2024-12-31,Facturation,ouvert,
TK000052,CL00053,2024-01-23,Facturation,abandonne,25.0
TK000053,CL00053,2024-02-19,Reseau,ouvert,
TK000054,CL00053,2024-02-10,Offre,ouvert,
TK000055,CL00053,2024-03-03,Offre,resolu,2.0
TK000056,CL00053,2024-03-04,Materiel,abandonne,2.0
TK000057,CL00055,2025-07-17,Reseau,resolu,18.0
TK000058,CL00055,2025-05-30,Materiel,abandonne,13.0
TK000059,CL00055,2025-07-30,Reseau,ouvert,
TK000060,CL00056,2024-01-13,Facturation,ouvert,
TK000061,CL00058,2024-12-04,Materiel,abandonne,9.0
TK000062,CL00058,2024-12-01,Facturation,ouvert,
TK000063,CL00058,2025-02-20,Facturation,resolu,2.0
TK000064,CL00058,2024-11-08,Reseau,abandonne,4.0
TK000065,CL00058,2025-01-16,Facturation,resolu,1.0
TK000066,CL00059,2025-09-03,Facturation,resolu,1.0
TK000067,CL00060,2024-03-31,Reseau,abandonne,15.0
TK000068,CL00060,2024-07-31,Facturation,resolu,1.0
TK000069,CL00060,2025-09-28,Facturation,abandonne,13.0
TK000070,CL00060,2025-10-20,Offre,ouvert,
TK000071,CL00061,2024-10-16,Offre,ouvert,
TK000072,CL00061,2025-01-21,Reseau,resolu,7.0
TK000073,CL00061,2024-06-07,Reseau,resolu,7.0
TK000074,CL00063,2024-09-26,Reseau,resolu,2.0
TK000075,CL00066,2024-12-07,Facturation,resolu,1.0
TK000076,CL00067,2024-09-08,Reseau,resolu,4.0
