id_client,code_offre,ville,statut,jours_depuis_derniere_facture,n_reclamations_6m,arpu_6m,R_score,F_score,M_score
CL04496,PULSE,Korhogo,resilie,183,1,0.0,1,1,1
CL01016,CONNECT,Yamoussoukro,resilie,730,0,0.0,1,3,1
CL03104,PULSE,Abidjan,resilie,730,0,0.0,1,3,1
CL07080,ETUDIANT,Abidjan,resilie,730,0,0.0,1,3,1
CL07194,ETUDIANT,Bouake,resilie,730,0,0.0,1,4,1
CL05425,CONNECT,Abidjan,resilie,730,0,0.0,1,4,1
CL05012,CONNECT,Abidjan,resilie,730,0,0.0,1,4,1
CL02128,PULSE,Abidjan,resilie,730,0,0.0,1,4,1
CL00483,PULSE,Abidjan,resilie,730,0,0.0,1,4,1
CL02039,CONNECT,Bouake,resilie,730,0,0.0,1,4,1
CL06083,PREMIUM,Bouake,resilie,730,0,0.0,1,4,1
CL03649,PULSE,Abidjan,resilie,730,0,0.0,1,4,1
CL02736,CONNECT,Abidjan,resilie,730,0,0.0,1,4,1
CL05760,ETUDIANT,Abidjan,resilie,730,0,0.0,1,4,1
CL00262,PULSE,Abidjan,resilie,730,0,0.0,1,4,1
CL01040,CONNECT,Korhogo,resilie,730,0,0.0,1,4,1
CL07178,PREMIUM,Abidjan,resilie,730,0,0.0,1,4,1
CL02074,PULSE,Bouake,resilie,730,0,0.0,1,4,1
CL02735,ETUDIANT,Bouake,resilie,730,0,0.0,1,4,1
CL03453,PULSE,Abidjan,resilie,730,0,0.0,1,4,1
CL03971,PULSE,Korhogo,resilie,730,0,0.0,1,4,1
CL03279,CONNECT,Korhogo,resilie,730,0,0.0,1,4,1
CL07742,PULSE,Abidjan,resilie,730,0,0.0,1,4,1
CL02636,ETUDIANT,Abidjan,resilie,730,0,0.0,1,4,1
CL06534,ETUDIANT,Abidjan,resilie,730,0,0.0,1,4,1
CL02646,CONNECT,Abidjan,resilie,730,0,0.0,1,4,1
CL06875,ETUDIANT,Yamoussoukro,resilie,730,0,0.0,1,4,1
CL06746,PREMIUM,Abidjan,resilie,730,0,0.0,1,4,1
CL03299,PULSE,Bouake,resilie,730,0,0.0,1,4,1
CL03054,CONNECT,Abidjan,resilie,730,0,0.0,1,4,1
CL02638,PREMIUM,Abidjan,resilie,730,0,0.0,1,4,1
CL00332,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL00500,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL01087,PREMIUM,Abidjan,resilie,699,0,0.0,1,4,1
CL01144,PRO,Bouake,resilie,699,0,0.0,1,4,1
CL01933,CONNECT,Bouake,resilie,699,0,0.0,1,4,1
CL02507,CONNECT,Abidjan,resilie,699,0,0.0,1,4,1
CL02531,PREMIUM,Bouake,resilie,699,0,0.0,1,4,1
CL02572,ETUDIANT,Bouake,resilie,699,0,0.0,1,4,1
CL07606,ETUDIANT,Bouake,resilie,699,0,0.0,1,4,1
CL06057,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL03263,ETUDIANT,Bouake,resilie,699,0,0.0,1,4,1
CL04505,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL00216,SENIOR,San-Pedro,resilie,699,0,0.0,1,4,1
CL00496,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL02434,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL01896,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL05461,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL07836,CONNECT,Bouake,resilie,699,0,0.0,1,4,1
CL03303,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL02519,PULSE,Bouake,resilie,699,0,0.0,1,4,1
CL06729,ETUDIANT,Bouake,resilie,699,0,0.0,1,4,1
CL01593,PULSE,Yamoussoukro,resilie,699,0,0.0,1,4,1
CL05495,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL05733,ETUDIANT,Korhogo,resilie,699,0,0.0,1,4,1
CL05489,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL02577,SENIOR,San-Pedro,resilie,699,0,0.0,1,4,1
CL07540,ETUDIANT,Abidjan,resilie,699,0,0.0,1,4,1
CL07561,PULSE,Yamoussoukro,resilie,699,0,0.0,1,4,1
CL07099,PULSE,Bouake,resilie,699,0,0.0,1,4,1
CL07928,PRO,Abidjan,resilie,699,0,0.0,1,4,1
CL01613,ETUDIANT,Abidjan,resilie,699,0,0.0,1,4,1
CL00056,ETUDIANT,Abidjan,resilie,699,0,0.0,1,4,1
CL00353,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL02964,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL02109,ETUDIANT,Abidjan,resilie,699,0,0.0,1,4,1
CL05816,PULSE,San-Pedro,resilie,699,0,0.0,1,4,1
CL03410,ETUDIANT,Abidjan,resilie,699,0,0.0,1,4,1
CL02710,ETUDIANT,Bouake,resilie,699,0,0.0,1,4,1
CL07593,ETUDIANT,Abidjan,resilie,699,0,0.0,1,4,1
CL07103,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL05642,SENIOR,Korhogo,resilie,699,0,0.0,1,4,1
CL04277,CONNECT,Korhogo,resilie,699,0,0.0,1,4,1
CL02072,PULSE,Korhogo,resilie,699,0,0.0,1,4,1
CL04872,ETUDIANT,Abidjan,resilie,699,0,0.0,1,4,1
CL02048,CONNECT,Abidjan,resilie,699,0,0.0,1,4,1
CL04222,PULSE,Abidjan,resilie,699,0,0.0,1,4,1
CL01056,PREMIUM,Abidjan,resilie,699,0,0.0,1,4,1
CL06732,CONNECT,Yamoussoukro,resilie,699,0,0.0,1,4,1
CL04441,CONNECT,Abidjan,resilie,699,0,0.0,1,4,1
CL05295,ETUDIANT,Abidjan,resilie,670,0,0.0,1,4,1
CL03732,PULSE,Bouake,resilie,670,0,0.0,1,4,1
CL05406,ETUDIANT,Abidjan,resilie,670,0,0.0,1,4,1
CL04964,SENIOR,Abidjan,resilie,670,0,0.0,1,4,1
CL04327,CONNECT,Abidjan,resilie,670,0,0.0,1,4,1
CL04238,CONNECT,Abidjan,resilie,670,0,0.0,1,4,1
CL04708,PULSE,Yamoussoukro,resilie,670,0,0.0,1,4,1
CL07155,PULSE,Yamoussoukro,resilie,670,0,0.0,1,4,1
CL06778,CONNECT,Abidjan,resilie,670,0,0.0,1,4,1
CL05128,PREMIUM,Bouake,resilie,670,0,0.0,1,4,1
CL00743,PULSE,Abidjan,resilie,670,0,0.0,1,4,1
CL05398,ETUDIANT,Bouake,resilie,670,0,0.0,1,4,1
