ticket_id,created_at,category_id,agent_id,pays,canal,priorite,statut,score_risque,niveau_alerte,predit_risque,ticket_at_risk
TKT012691,2024-01-22 21:40:00,CAT001,AGT004,CI,Téléphone,4,Escaladé,0.8235319279598894,ROUGE - Intervention immediate,1,1
TKT014857,2024-06-04 23:47:00,CAT007,AGT006,Cameroun,Email,5,Résolu,0.8138707217867247,ROUGE - Intervention immediate,1,1
TKT015064,2024-06-18 12:01:00,CAT007,AGT004,France,Web form,5,Escaladé,0.8041584381628426,ROUGE - Intervention immediate,1,1
TKT013869,2024-04-03 16:27:00,CAT007,AGT011,Senegal,Web form,5,Escaladé,0.7985742115675221,ROUGE - Intervention immediate,1,1
TKT013961,2024-04-09 21:39:00,CAT001,AGT004,Cameroun,Chat,4,Backlog,0.7956123879085674,ROUGE - Intervention immediate,1,1
TKT012988,2024-02-06 20:18:00,CAT001,AGT004,Senegal,Email,4,Backlog,0.7924638891350666,ROUGE - Intervention immediate,1,1
TKT014955,2024-06-11 21:49:00,CAT007,AGT003,France,Téléphone,5,Résolu,0.7891360220872989,ROUGE - Intervention immediate,1,0
TKT013209,2024-02-20 20:39:00,CAT007,AGT006,Ghana,Téléphone,5,Résolu,0.7849240618846675,ROUGE - Intervention immediate,1,0
TKT013910,2024-04-06 04:30:00,CAT007,AGT004,France,Email,5,Résolu,0.7814249354222892,ROUGE - Intervention immediate,1,1
TKT014107,2024-04-18 22:35:00,CAT007,AGT006,France,Email,5,Résolu,0.7778447472353112,ROUGE - Intervention immediate,1,1
TKT014883,2024-06-06 21:24:00,CAT007,AGT006,Maroc,Chat,5,En cours,0.7768654026880715,ROUGE - Intervention immediate,1,1
TKT014745,2024-05-29 04:50:00,CAT007,AGT004,France,Web form,5,Résolu,0.7750181016345021,ROUGE - Intervention immediate,1,1
TKT013645,2024-03-20 21:47:00,CAT007,AGT004,Mali,Téléphone,5,En cours,0.7739285450335707,ROUGE - Intervention immediate,1,1
TKT014849,2024-06-04 21:17:00,CAT007,AGT009,France,Email,5,Résolu,0.7699234187869743,ROUGE - Intervention immediate,1,1
TKT014152,2024-04-22 00:54:00,CAT007,AGT004,Mali,Email,5,Résolu,0.7698430103277351,ROUGE - Intervention immediate,1,0
TKT014599,2024-05-20 12:38:00,CAT001,AGT004,France,Chat,4,Backlog,0.7689959091952193,ROUGE - Intervention immediate,1,1
TKT013738,2024-03-26 12:17:00,CAT001,AGT004,CI,Chat,4,Résolu,0.7643082640218427,ROUGE - Intervention immediate,1,1
TKT013624,2024-03-19 21:46:00,CAT001,AGT004,Senegal,App mobile,4,Escaladé,0.7642559164061008,ROUGE - Intervention immediate,1,1
TKT014151,2024-04-22 22:46:00,CAT007,AGT007,France,Chat,5,Escaladé,0.7641900998900998,ROUGE - Intervention immediate,1,1
TKT015253,2024-06-28 21:47:00,CAT007,AGT004,Belgique,Chat,5,Résolu,0.7627607496721434,ROUGE - Intervention immediate,1,1
TKT013314,2024-02-26 06:07:00,CAT001,AGT004,France,Email,4,Résolu,0.7625821240798537,ROUGE - Intervention immediate,1,1
TKT015107,2024-06-20 07:59:00,CAT007,AGT003,CI,Téléphone,5,Escaladé,0.7625558060852246,ROUGE - Intervention immediate,1,1
TKT013665,2024-03-21 14:42:00,CAT007,AGT004,Senegal,Chat,5,Résolu,0.7620887471845396,ROUGE - Intervention immediate,1,1
TKT014986,2024-06-13 19:06:00,CAT007,AGT004,Ghana,Chat,5,Résolu,0.7613472148330402,ROUGE - Intervention immediate,1,0
TKT012253,2024-01-01 19:12:00,CAT007,AGT011,France,Téléphone,5,Résolu,0.7601770023980737,ROUGE - Intervention immediate,1,1
TKT012603,2024-01-17 19:15:00,CAT001,AGT011,Senegal,Chat,4,Escaladé,0.7597994364238775,ROUGE - Intervention immediate,1,1
TKT013714,2024-03-25 18:11:00,CAT007,AGT011,CI,Téléphone,5,Escaladé,0.7596843866000215,ROUGE - Intervention immediate,1,1
TKT013230,2024-02-21 20:35:00,CAT007,AGT011,Mali,Téléphone,5,Escaladé,0.759666992210716,ROUGE - Intervention immediate,1,1
TKT015280,2024-06-30 10:31:00,CAT001,AGT002,CI,App mobile,4,Résolu,0.7595794439280908,ROUGE - Intervention immediate,1,1
TKT012872,2024-01-30 20:21:00,CAT001,AGT011,Maroc,Email,4,Escaladé,0.7588532212137499,ROUGE - Intervention immediate,1,1
