interaction_id,ticket_id,timestamp,agent_id,action_type,visible_client
INT0000001,TKT008493,2023-05-27 11:33:00,AGT003,Note interne,False
INT0000002,TKT008493,2023-05-30 16:27:00,AGT003,Email client,True
INT0000003,TKT015221,2024-06-26 11:22:00,AGT006,Note interne,False
INT0000004,TKT001558,2022-04-02 09:25:00,AGT001,Note interne,False
INT0000005,TKT000026,2022-01-03 15:29:00,AGT004,Note interne,False
INT0000006,TKT000026,2022-01-11 21:59:00,AGT004,Email client,True
INT0000007,TKT009148,2023-07-04 20:06:00,AGT002,Note interne,False
INT0000008,TKT009148,2023-07-06 03:52:48,AGT002,Email client,True
INT0000009,TKT009148,2023-07-07 11:39:36,AGT002,Appel sortant,False
INT0000010,TKT009148,2023-07-08 19:26:24,AGT002,Escalade,True
INT0000011,TKT009148,2023-07-10 03:13:12,AGT002,Résolution,True
INT0000012,TKT001266,2022-03-16 17:31:00,AGT007,Note interne,False
INT0000013,TKT006053,2022-12-29 15:03:00,AGT007,Note interne,False
INT0000014,TKT014503,2024-05-14 07:37:00,AGT003,Note interne,True
INT0000015,TKT014503,2024-05-15 15:43:00,AGT003,Email client,False
INT0000016,TKT002894,2022-06-27 21:16:00,AGT006,Note interne,True
INT0000017,TKT002894,2022-07-06 17:28:00,AGT006,Email client,False
INT0000018,TKT002894,2022-07-15 13:40:00,AGT006,Appel sortant,True
INT0000019,TKT013284,2024-02-24 10:21:00,AGT011,Note interne,False
INT0000020,TKT003279,2022-07-21 07:47:00,AGT007,Note interne,False
INT0000021,TKT014949,2024-06-10 12:49:00,AGT002,Note interne,True
INT0000022,TKT014949,2024-06-16 11:22:00,AGT002,Email client,True
INT0000023,TKT014949,2024-06-22 09:55:00,AGT002,Appel sortant,False
INT0000024,TKT014949,2024-06-28 08:28:00,AGT002,Escalade,True
INT0000025,TKT012970,2024-02-05 12:41:00,AGT010,Note interne,True
INT0000026,TKT012970,2024-02-09 18:17:00,AGT010,Email client,False
INT0000027,TKT011053,2023-11-02 18:05:00,AGT005,Note interne,False
INT0000028,TKT005513,2022-12-03 12:00:00,AGT009,Note interne,True
INT0000029,TKT009345,2023-07-16 16:11:00,AGT008,Note interne,False
