ticket_id,alert_timestamp,depassement_heures,statut_notification,manager_alerte
TKT004693,2022-11-07 17:22:00,224.0,En attente,False
TKT001364,2022-03-31 02:33:00,140.4,Non notifié,True
TKT013144,2024-03-05 15:57:00,272.5,En attente,True
TKT009849,2023-08-25 07:45:00,176.5,En attente,True
TKT002792,2022-06-30 17:07:00,135.4,Non notifié,False
TKT009916,2023-09-04 09:58:00,51.2,Notifié,False
TKT015235,2024-07-06 15:07:00,182.4,En attente,False
TKT007823,2023-04-17 20:06:00,51.0,En attente,False
TKT000796,2022-02-24 14:40:00,9.1,En attente,False
TKT007055,2023-02-27 10:38:00,40.1,En attente,False
TKT014174,2024-05-11 11:18:00,564.3,Non notifié,True
TKT001526,2022-04-07 06:35:00,123.7,Non notifié,False
TKT013098,2024-03-02 11:56:00,349.5,Non notifié,True
TKT006197,2023-01-10 03:56:00,30.0,En attente,False
TKT006168,2023-01-11 10:17:00,43.9,En attente,True
TKT005848,2022-12-24 06:40:00,16.1,Non notifié,True
TKT002742,2022-07-01 00:22:00,33.2,En attente,True
TKT011342,2023-11-21 20:53:00,4.5,Notifié,False
TKT008303,2023-05-24 10:36:00,9.3,Notifié,False
TKT005472,2022-12-08 06:23:00,52.0,Notifié,False
TKT014296,2024-05-19 08:36:00,407.9,Notifié,False
TKT009774,2023-08-20 09:27:00,238.3,Non notifié,True
TKT001035,2022-03-14 15:38:00,142.3,En attente,False
TKT001840,2022-04-25 21:28:00,28.1,En attente,False
TKT012475,2024-01-29 10:24:00,647.4,Notifié,True
TKT007985,2023-05-01 12:50:00,57.2,Non notifié,False
TKT007273,2023-03-10 16:35:00,4.6,Notifié,True
TKT006373,2023-01-22 19:10:00,85.1,Non notifié,False
TKT007837,2023-04-23 20:25:00,36.2,Notifié,True
TKT009533,2023-08-15 11:54:00,415.9,Notifié,False
TKT014272,2024-05-17 22:11:00,217.0,Notifié,False
TKT014758,2024-06-16 20:26:00,48.3,En attente,True
TKT000260,2022-01-19 23:44:00,75.7,En attente,False
TKT007506,2023-04-09 14:02:00,190.3,Notifié,False
TKT011383,2023-11-22 14:11:00,8.1,Notifié,False
TKT007862,2023-04-23 07:09:00,123.6,En attente,False
TKT013636,2024-04-06 10:09:00,502.5,En attente,False
TKT005849,2022-12-24 03:12:00,93.1,Non notifié,True
TKT010927,2023-11-02 02:36:00,134.1,En attente,False
TKT007006,2023-02-28 07:08:00,93.3,Non notifié,True
TKT008326,2023-05-21 04:20:00,45.6,En attente,True
TKT012776,2024-01-29 18:22:00,57.6,En attente,True
TKT001901,2022-05-02 06:23:00,135.4,En attente,True
TKT012401,2024-01-15 02:50:00,82.2,En attente,True
TKT014821,2024-06-06 02:54:00,15.1,Non notifié,True
TKT007119,2023-03-15 20:04:00,272.4,En attente,False
TKT000780,2022-02-21 12:08:00,68.2,Notifié,False
TKT011980,2023-12-26 07:06:00,143.3,Non notifié,True
TKT002314,2022-05-30 00:39:00,49.5,Non notifié,True
TKT005285,2022-11-30 12:48:00,94.1,Notifié,False
TKT009679,2023-08-12 01:47:00,8.2,Notifié,True
TKT000826,2022-02-25 15:35:00,131.4,Non notifié,False
TKT014950,2024-06-20 12:34:00,67.5,Notifié,False
TKT013912,2024-04-11 21:55:00,21.2,En attente,False
TKT006742,2023-02-05 13:17:00,14.4,En attente,False
TKT012292,2024-01-07 07:13:00,23.9,Non notifié,True
TKT010283,2023-10-01 11:26:00,178.8,En attente,False
TKT007949,2023-04-30 14:45:00,117.3,En attente,True
TKT008164,2023-05-13 11:33:00,44.4,Notifié,True
TKT003572,2022-08-12 16:27:00,14.1,Notifié,False
TKT011850,2023-12-31 11:44:00,386.0,En attente,True
TKT013230,2024-03-10 20:35:00,724.2,Non notifié,False
TKT010122,2023-09-11 15:28:00,96.0,En attente,True
TKT010393,2023-09-29 15:30:00,66.0,En attente,True
TKT012927,2024-02-20 19:18:00,510.7,En attente,True
TKT001906,2022-05-05 12:57:00,210.5,Non notifié,True
TKT008756,2023-06-16 00:53:00,37.9,En attente,False
TKT000669,2022-02-15 22:31:00,106.0,En attente,False
TKT013314,2024-03-06 06:07:00,185.6,Notifié,False
TKT006768,2023-02-12 13:27:00,200.7,Non notifié,False
TKT011328,2023-11-26 09:53:00,15.5,En attente,True
TKT006628,2023-01-28 20:37:00,10.8,Notifié,True
TKT003803,2022-08-31 12:50:00,126.7,En attente,False
TKT011374,2023-12-03 19:51:00,69.8,Non notifié,True
TKT012924,2024-02-08 08:21:00,24.9,En attente,True
TKT006079,2023-01-17 17:54:00,79.4,En attente,False
TKT010357,2023-09-27 16:02:00,58.1,En attente,False
TKT007116,2023-03-11 08:58:00,77.6,Non notifié,True
TKT005264,2022-12-08 14:07:00,419.1,Notifié,True
TKT000240,2022-01-23 10:58:00,166.1,En attente,False
TKT007869,2023-04-22 01:59:00,56.3,En attente,True
TKT000197,2022-01-21 15:19:00,165.6,Notifié,True
TKT001017,2022-03-07 04:43:00,52.5,En attente,True
TKT003714,2022-09-06 15:56:00,266.7,En attente,False
