ticket_id,created_at,category_id,agent_id,pays,canal,priorite,statut,sla_heures,first_response_heures,resolution_heures,sla_breach,nb_contacts,reopened,csat,in_backlog,mois,jour_semaine,ratio_sla
TKT000001,2022-01-01 08:06:00,CAT006,AGT001,Ghana,Email,3,Backlog,360,29.1,431.4,1,1,0,,1,1,5,1.198
TKT000002,2022-01-01 13:45:00,CAT001,AGT004,CI,Téléphone,4,Résolu,240,56.2,401.6,1,1,0,3.8,0,1,5,1.673
TKT000003,2022-01-01 08:48:00,CAT008,AGT003,Maroc,Chat,2,Résolu,120,5.0,72.6,0,3,0,4.4,0,1,5,0.605
TKT000004,2022-01-01 19:05:00,CAT007,AGT012,France,Email,5,En cours,480,139.5,803.0,1,3,0,,0,1,5,1.673
TKT000005,2022-01-01 22:54:00,CAT007,AGT001,Maroc,Téléphone,5,Escaladé,480,68.4,485.9,1,3,1,,0,1,5,1.012
TKT000006,2022-01-01 14:38:00,CAT003,AGT011,Senegal,Web form,3,Résolu,180,18.0,217.4,1,1,0,3.7,0,1,5,1.208
TKT000007,2022-01-01 10:49:00,CAT010,AGT011,Maroc,Email,1,Résolu,60,3.2,57.5,0,1,0,3.4,0,1,5,0.958
TKT000008,2022-01-01 15:13:00,CAT002,AGT004,Mali,Chat,2,Escaladé,120,11.3,143.6,1,1,0,,0,1,5,1.197
TKT000009,2022-01-01 18:25:00,CAT007,AGT009,Senegal,Téléphone,5,Fermé,480,27.5,353.9,0,2,0,3.3,0,1,5,0.737
TKT000010,2022-01-01 15:38:00,CAT007,AGT002,CI,Email,5,Résolu,480,61.8,248.1,0,2,0,3.4,0,1,5,0.517
TKT000011,2022-01-01 18:48:00,CAT010,AGT001,Maroc,Email,1,Résolu,60,2.4,33.3,0,1,0,3.8,0,1,5,0.555
TKT000012,2022-01-01 12:11:00,CAT004,AGT012,Cameroun,Email,3,Résolu,240,29.7,169.5,0,3,0,5.0,0,1,5,0.706
TKT000013,2022-01-01 16:33:00,CAT002,AGT006,Ghana,Chat,2,Escaladé,120,7.7,142.5,1,4,0,,0,1,5,1.188
TKT000014,2022-01-01 13:05:00,CAT008,AGT005,CI,Email,2,Résolu,120,3.1,47.8,0,3,0,4.1,0,1,5,0.398
TKT000015,2022-01-01 13:38:00,CAT002,AGT008,Mali,Email,2,Résolu,120,12.3,78.0,0,2,0,4.3,0,1,5,0.65
TKT000016,2022-01-02 11:57:00,CAT002,AGT005,Senegal,Téléphone,2,Résolu,120,10.3,108.8,0,1,0,4.5,0,1,6,0.907
TKT000017,2022-01-02 15:03:00,CAT005,AGT004,France,Email,1,Backlog,60,6.1,27.5,0,1,0,,1,1,6,0.458
TKT000018,2022-01-02 15:56:00,CAT002,AGT011,France,Chat,2,Résolu,120,22.6,109.1,0,3,1,4.3,0,1,6,0.909
TKT000019,2022-01-02 17:03:00,CAT001,AGT007,Senegal,Chat,4,Fermé,240,24.7,355.1,1,1,0,3.2,0,1,6,1.48
TKT000020,2022-01-02 12:27:00,CAT003,AGT002,CI,Email,3,Résolu,180,33.0,146.7,0,1,0,3.3,0,1,6,0.815
TKT000021,2022-01-02 13:00:00,CAT007,AGT009,CI,Téléphone,5,Escaladé,480,233.2,1061.4,1,1,0,,0,1,6,2.211
TKT000022,2022-01-02 08:00:00,CAT004,AGT004,Cameroun,App mobile,3,Escaladé,240,36.8,343.7,1,2,0,,0,1,6,1.432
TKT000023,2022-01-02 08:13:00,CAT007,AGT009,Maroc,Chat,5,Résolu,480,182.4,913.6,1,1,0,3.6,0,1,6,1.903
TKT000024,2022-01-02 05:32:00,CAT005,AGT009,Mali,Chat,1,Résolu,60,5.0,29.3,0,2,0,4.1,0,1,6,0.488
TKT000025,2022-01-02 13:02:00,CAT002,AGT002,Mali,Chat,2,Escaladé,120,29.7,125.2,1,1,0,,0,1,6,1.043
TKT000026,2022-01-03 15:29:00,CAT007,AGT004,Senegal,Email,5,En cours,480,25.6,397.0,0,2,0,,0,1,0,0.827
TKT000027,2022-01-03 10:59:00,CAT010,AGT002,CI,Email,1,Résolu,60,2.8,28.3,0,1,0,3.6,0,1,0,0.472
TKT000028,2022-01-03 22:41:00,CAT003,AGT009,Maroc,Téléphone,3,Escaladé,180,55.1,233.1,1,1,0,,0,1,0,1.295
TKT000029,2022-01-03 14:17:00,CAT008,AGT005,CI,Email,2,Résolu,120,9.3,78.7,0,2,0,4.0,0,1,0,0.656
TKT000030,2022-01-03 18:05:00,CAT008,AGT009,France,App mobile,2,En cours,120,7.8,132.6,1,1,0,,0,1,0,1.105
TKT000031,2022-01-03 16:35:00,CAT002,AGT005,CI,Chat,2,Résolu,120,6.2,27.5,0,4,0,4.4,0,1,0,0.229
TKT000032,2022-01-03 04:23:00,CAT008,AGT010,France,Chat,2,En cours,120,35.8,161.0,1,4,1,,0,1,0,1.342
TKT000033,2022-01-03 19:39:00,CAT002,AGT002,Senegal,Chat,2,Escaladé,120,16.7,171.1,1,1,0,,0,1,0,1.426
TKT000034,2022-01-03 16:21:00,CAT007,AGT003,Cameroun,Email,5,Résolu,480,94.1,910.5,1,3,1,3.7,0,1,0,1.897
TKT000035,2022-01-03 12:19:00,CAT008,AGT008,CI,App mobile,2,Backlog,120,12.8,134.8,1,2,0,,1,1,0,1.123
TKT000036,2022-01-03 10:41:00,CAT003,AGT005,Cameroun,Web form,3,Escaladé,180,44.3,186.2,1,1,0,,0,1,0,1.034
TKT000037,2022-01-03 04:38:00,CAT010,AGT003,France,Web form,1,En cours,60,5.5,49.0,0,2,0,,0,1,0,0.817
TKT000038,2022-01-03 05:27:00,CAT004,AGT007,Mali,Email,3,Escaladé,240,11.0,69.7,0,2,0,,0,1,0,0.29
TKT000039,2022-01-03 21:58:00,CAT007,AGT011,CI,Chat,5,Résolu,480,101.9,525.6,1,1,0,3.1,0,1,0,1.095
TKT000040,2022-01-03 14:12:00,CAT003,AGT007,Senegal,Téléphone,3,Escaladé,180,23.7,127.8,0,4,0,,0,1,0,0.71
TKT000041,2022-01-03 09:50:00,CAT003,AGT009,Cameroun,Chat,3,Escaladé,180,32.7,236.5,1,2,0,,0,1,0,1.314
TKT000042,2022-01-03 13:40:00,CAT004,AGT012,CI,Email,3,Résolu,240,62.0,335.7,1,1,0,4.2,0,1,0,1.399
TKT000043,2022-01-03 14:49:00,CAT002,AGT001,CI,Web form,2,Résolu,120,12.4,70.7,0,1,0,4.3,0,1,0,0.589
TKT000044,2022-01-03 15:57:00,CAT007,AGT008,Senegal,Email,5,En cours,480,53.7,753.1,1,1,0,,0,1,0,1.569
TKT000045,2022-01-03 09:54:00,CAT002,AGT012,France,Email,2,Résolu,120,8.6,60.4,0,2,0,5.0,0,1,0,0.503
TKT000046,2022-01-03 14:46:00,CAT005,AGT006,Mali,App mobile,1,Résolu,60,13.7,59.1,0,1,0,5.0,0,1,0,0.985
TKT000047,2022-01-04 18:17:00,CAT002,AGT008,France,Téléphone,2,Résolu,120,16.3,154.9,1,1,0,4.2,0,1,1,1.291
TKT000048,2022-01-04 07:09:00,CAT002,AGT005,Senegal,App mobile,2,Résolu,120,10.9,57.1,0,1,0,4.7,0,1,1,0.476
TKT000049,2022-01-04 18:24:00,CAT003,AGT009,France,Email,3,Résolu,180,47.3,213.5,1,3,0,3.8,0,1,1,1.186
TKT000050,2022-01-04 19:53:00,CAT001,AGT006,Senegal,Chat,4,En cours,240,40.0,251.3,1,2,0,,0,1,1,1.047
TKT000051,2022-01-04 11:42:00,CAT002,AGT004,Senegal,Chat,2,Résolu,120,38.5,176.7,1,4,0,3.1,0,1,1,1.472
TKT000052,2022-01-04 07:27:00,CAT004,AGT007,Maroc,Téléphone,3,Résolu,240,5.8,97.1,0,1,0,3.7,0,1,1,0.405
TKT000053,2022-01-04 10:53:00,CAT002,AGT006,Senegal,App mobile,2,En cours,120,15.7,108.8,0,3,1,,0,1,1,0.907
TKT000054,2022-01-04 15:48:00,CAT010,AGT004,Maroc,Téléphone,1,Résolu,60,5.0,23.0,0,2,0,3.3,0,1,1,0.383
TKT000055,2022-01-04 09:44:00,CAT002,AGT008,Maroc,Chat,2,Résolu,120,14.0,82.0,0,5,0,4.3,0,1,1,0.683
TKT000056,2022-01-04 03:19:00,CAT007,AGT003,Belgique,Email,5,Backlog,480,94.5,755.3,1,4,1,,1,1,1,1.574
TKT000057,2022-01-04 10:43:00,CAT005,AGT011,CI,Téléphone,1,Résolu,60,10.9,44.2,0,3,0,3.5,0,1,1,0.737
TKT000058,2022-01-05 01:26:00,CAT003,AGT006,CI,Téléphone,3,Escaladé,180,33.2,187.4,1,3,0,,0,1,2,1.041
TKT000059,2022-01-05 15:58:00,CAT003,AGT012,France,Téléphone,3,Escaladé,180,42.0,195.4,1,2,0,,0,1,2,1.086
TKT000060,2022-01-05 19:15:00,CAT003,AGT004,Cameroun,Email,3,Escaladé,180,32.5,277.0,1,2,0,,0,1,2,1.539
TKT000061,2022-01-05 10:56:00,CAT003,AGT008,CI,Téléphone,3,Backlog,180,32.3,200.2,1,2,0,,1,1,2,1.112
TKT000062,2022-01-05 16:44:00,CAT002,AGT004,Ghana,Chat,2,En cours,120,14.8,105.9,0,1,0,,0,1,2,0.883
TKT000063,2022-01-05 14:30:00,CAT002,AGT007,Maroc,Chat,2,Résolu,120,20.2,81.1,0,2,0,3.7,0,1,2,0.676
TKT000064,2022-01-05 08:12:00,CAT003,AGT008,Senegal,Email,3,En cours,180,29.8,124.0,0,2,0,,0,1,2,0.689
TKT000065,2022-01-05 22:33:00,CAT002,AGT012,France,Téléphone,2,Fermé,120,20.1,92.9,0,1,0,4.3,0,1,2,0.774
TKT000066,2022-01-05 10:03:00,CAT003,AGT005,CI,Chat,3,Résolu,180,35.2,198.5,1,3,1,5.0,0,1,2,1.103
TKT000067,2022-01-05 08:03:00,CAT001,AGT005,France,Chat,4,Backlog,240,13.8,189.3,0,1,0,,1,1,2,0.789
TKT000068,2022-01-05 08:36:00,CAT004,AGT010,Maroc,Email,3,Résolu,240,27.4,371.3,1,3,0,4.3,0,1,2,1.547
TKT000069,2022-01-05 19:19:00,CAT007,AGT004,Ghana,Chat,5,Fermé,480,93.5,841.9,1,2,0,3.1,0,1,2,1.754
TKT000070,2022-01-05 15:16:00,CAT005,AGT012,CI,Téléphone,1,Résolu,60,4.3,50.2,0,1,0,5.0,0,1,2,0.837
TKT000071,2022-01-05 03:18:00,CAT001,AGT008,Maroc,Chat,4,En cours,240,47.3,336.0,1,2,0,,0,1,2,1.4
TKT000072,2022-01-05 09:07:00,CAT008,AGT011,France,App mobile,2,Escaladé,120,27.3,127.0,1,1,0,,0,1,2,1.058
TKT000073,2022-01-05 20:28:00,CAT002,AGT005,Maroc,App mobile,2,Résolu,120,9.5,50.1,0,4,0,4.2,0,1,2,0.418
TKT000074,2022-01-05 16:38:00,CAT004,AGT002,Maroc,App mobile,3,Résolu,240,56.5,233.2,0,3,0,4.1,0,1,2,0.972
TKT000075,2022-01-05 17:11:00,CAT010,AGT011,Cameroun,Chat,1,Résolu,60,12.7,54.4,0,1,0,3.2,0,1,2,0.907
TKT000076,2022-01-05 12:26:00,CAT005,AGT011,Cameroun,Web form,1,Résolu,60,11.9,53.6,0,1,0,3.0,0,1,2,0.893
TKT000077,2022-01-05 16:02:00,CAT007,AGT005,Maroc,Chat,5,Escaladé,480,45.3,619.2,1,3,0,,0,1,2,1.29
TKT000078,2022-01-05 12:12:00,CAT007,AGT001,Maroc,Chat,5,Escaladé,480,148.7,849.6,1,3,1,,0,1,2,1.77
TKT000079,2022-01-06 08:40:00,CAT005,AGT005,France,Téléphone,1,Résolu,60,3.2,39.0,0,2,0,4.7,0,1,3,0.65
TKT000080,2022-01-06 07:07:00,CAT005,AGT002,CI,App mobile,1,Résolu,60,11.4,48.3,0,1,0,3.2,0,1,3,0.805
TKT000081,2022-01-06 09:35:00,CAT007,AGT007,Cameroun,Web form,5,Résolu,480,62.4,367.5,0,3,1,3.5,0,1,3,0.766
TKT000082,2022-01-06 10:00:00,CAT001,AGT007,Senegal,Téléphone,4,Résolu,240,39.1,233.6,0,5,0,3.5,0,1,3,0.973
TKT000083,2022-01-06 17:24:00,CAT002,AGT009,France,Chat,2,Résolu,120,33.9,137.7,1,1,0,3.6,0,1,3,1.148
TKT000084,2022-01-06 16:51:00,CAT003,AGT007,CI,Téléphone,3,Fermé,180,31.2,149.8,0,2,0,4.2,0,1,3,0.832
TKT000085,2022-01-06 10:06:00,CAT002,AGT001,CI,Web form,2,Escaladé,120,6.4,121.2,1,1,0,,0,1,3,1.01
