customer_id,frequency,monetary,segment,pays,recency,R_score,F_score,M_score,rfm_score,rfm_total,segment_rfm
CUS00001,1,99.0,Occasionnel,Senegal,195,2,1,1,211,4,Dormants
CUS00002,5,3559.0,Occasionnel,Cameroun,50,4,2,2,422,8,Nouveaux prometteurs
CUS00003,6,3519.0,Standard,Senegal,205,2,3,2,232,7,Dormants
CUS00004,6,5441.0,Standard,Senegal,14,5,3,2,532,10,Fidèles
CUS00005,6,13285.0,Occasionnel,Cote d'Ivoire,94,4,3,5,435,12,Fidèles
CUS00006,6,6003.0,Standard,Ghana,72,4,3,3,433,10,Fidèles
CUS00007,3,2523.0,Occasionnel,Cote d'Ivoire,193,2,1,1,211,4,Dormants
CUS00008,7,14049.0,Standard,Maroc,189,2,4,5,245,11,À réactiver
CUS00009,5,7531.0,Standard,Senegal,245,2,2,3,223,7,Dormants
CUS00010,1,36.0,Standard,Nigeria,852,1,1,1,111,3,Dormants
CUS00011,5,2693.0,Nouveau,Belgique,65,4,2,1,421,7,Nouveaux prometteurs
CUS00012,3,2563.0,Standard,Senegal,28,5,1,1,511,7,Nouveaux prometteurs
CUS00013,6,6712.0,Standard,Nigeria,163,3,3,3,333,9,Fidèles
CUS00014,5,4379.0,Occasionnel,Cote d'Ivoire,521,1,2,2,122,5,Dormants
CUS00015,11,10959.0,Standard,Cameroun,61,4,5,5,455,14,Champions
CUS00016,6,6998.0,Standard,Nigeria,43,4,3,3,433,10,Fidèles
CUS00017,4,3050.0,Nouveau,Maroc,163,3,2,1,321,6,Dormants
CUS00018,5,7465.0,Standard,France,155,3,2,3,323,8,Dormants
CUS00019,7,8274.0,Occasionnel,Maroc,301,1,4,4,144,9,À réactiver
CUS00020,9,12081.0,Standard,Nigeria,8,5,5,5,555,15,Champions
CUS00021,2,8927.0,Standard,Nigeria,133,3,1,4,314,8,Gros dépensiers occasionnels
CUS00022,9,13094.0,Occasionnel,Nigeria,130,3,5,5,355,13,Fidèles
CUS00023,4,2561.0,Standard,Belgique,15,5,2,1,521,8,Nouveaux prometteurs
CUS00024,4,5974.0,Occasionnel,Maroc,43,4,2,3,423,9,Nouveaux prometteurs
CUS00025,5,10609.0,Standard,Ghana,33,5,2,5,525,12,Gros dépensiers occasionnels
CUS00026,3,2532.0,Occasionnel,Belgique,44,4,1,1,411,6,Nouveaux prometteurs
CUS00027,7,19975.0,Occasionnel,France,17,5,4,5,545,14,Champions
CUS00028,11,9293.0,Standard,Senegal,88,4,5,4,454,13,Champions
CUS00029,8,13889.0,Nouveau,Maroc,337,1,5,5,155,11,À réactiver
CUS00030,11,17280.0,Nouveau,Senegal,15,5,5,5,555,15,Champions
CUS00031,5,7014.0,Standard,Nigeria,71,4,2,3,423,9,Nouveaux prometteurs
CUS00032,10,9101.0,Nouveau,Belgique,18,5,5,4,554,14,Champions
CUS00033,11,10519.0,Nouveau,France,8,5,5,4,554,14,Champions
CUS00034,3,2310.0,Standard,Cameroun,251,2,1,1,211,4,Dormants
CUS00035,6,4127.0,Standard,Cote d'Ivoire,156,3,3,2,332,8,Fidèles
CUS00036,7,13045.0,Standard,Nigeria,195,2,4,5,245,11,À réactiver
CUS00037,2,942.0,Occasionnel,Senegal,513,1,1,1,111,3,Dormants
CUS00038,10,14555.0,Occasionnel,France,113,3,5,5,355,13,Fidèles
CUS00039,6,4142.0,Occasionnel,France,229,2,3,2,232,7,Dormants
CUS00040,5,11464.0,Nouveau,Ghana,93,4,2,5,425,11,Gros dépensiers occasionnels
CUS00041,4,10868.0,Nouveau,Maroc,143,3,2,5,325,10,Gros dépensiers occasionnels
CUS00042,4,2698.0,Premium,Belgique,11,5,2,1,521,8,Nouveaux prometteurs
CUS00043,10,22935.0,Premium,Senegal,5,5,5,5,555,15,Champions
CUS00044,4,3344.0,Premium,Cameroun,13,5,2,2,522,9,Nouveaux prometteurs
CUS00045,7,17068.0,Nouveau,Cameroun,88,4,4,5,445,13,Champions
CUS00046,5,7895.0,Standard,Senegal,434,1,2,4,124,7,Gros dépensiers occasionnels
CUS00047,5,12796.0,Occasionnel,Cameroun,177,2,2,5,225,9,Gros dépensiers occasionnels
CUS00048,4,2391.0,Occasionnel,Belgique,219,2,2,1,221,5,Dormants
CUS00049,5,10262.0,Premium,Cameroun,8,5,2,4,524,11,Gros dépensiers occasionnels
CUS00050,8,13665.0,Standard,Nigeria,68,4,5,5,455,14,Champions
CUS00051,4,15943.0,Standard,Senegal,324,1,2,5,125,8,Gros dépensiers occasionnels
CUS00052,3,4230.0,Standard,Senegal,43,4,1,2,412,7,Nouveaux prometteurs
CUS00053,7,10409.0,Standard,Belgique,103,3,4,4,344,11,Fidèles
CUS00054,7,6819.0,Nouveau,Belgique,33,5,4,3,543,12,Fidèles
CUS00055,6,7491.0,Premium,Belgique,56,4,3,3,433,10,Fidèles
