customer_id,pays,ville,segment_client,date_inscription,customer_age_days
CUS00001,Senegal,Dakar,Occasionnel,2022-05-17,959
CUS00002,Cameroun,Douala,Occasionnel,2024-01-22,344
CUS00003,Senegal,Saint-Louis,Standard,2021-03-03,1399
CUS00004,Senegal,Dakar,Standard,2024-05-17,228
CUS00005,Cote d'Ivoire,Bouake,Occasionnel,2024-01-22,344
CUS00006,Ghana,Accra,Standard,2022-07-24,891
CUS00007,Cote d'Ivoire,Bouake,Occasionnel,2022-11-28,764
CUS00008,Maroc,Casablanca,Standard,2022-11-21,771
CUS00009,Senegal,Dakar,Standard,2023-01-06,725
CUS00010,Nigeria,Kano,Standard,2021-03-30,1372
CUS00011,Belgique,Bruxelles,Nouveau,2023-02-15,685
CUS00012,Senegal,Saint-Louis,Standard,2024-06-20,194
CUS00013,Nigeria,Kano,Standard,2021-05-23,1318
CUS00014,Cote d'Ivoire,Bouake,Occasionnel,2021-06-13,1297
CUS00015,Cameroun,Douala,Standard,2023-07-18,532
CUS00016,Nigeria,Lagos,Standard,2022-03-06,1031
CUS00017,Maroc,Marrakech,Nouveau,2021-05-27,1314
CUS00018,France,Lyon,Standard,2023-02-17,683
CUS00019,Maroc,Marrakech,Occasionnel,2022-03-26,1011
CUS00020,Nigeria,Lagos,Standard,2021-03-07,1395
CUS00021,Nigeria,Abuja,Standard,2022-03-09,1028
CUS00022,Nigeria,Lagos,Occasionnel,2023-03-22,650
CUS00023,Belgique,Bruxelles,Standard,2022-05-21,955
CUS00024,Maroc,Marrakech,Occasionnel,2024-04-10,265
CUS00025,Ghana,Kumasi,Standard,2021-10-11,1177
CUS00026,Belgique,Bruxelles,Occasionnel,2021-08-13,1236
CUS00027,France,Lyon,Occasionnel,2023-05-15,596
CUS00028,Senegal,Thies,Standard,2023-08-17,502
CUS00029,Maroc,Marrakech,Nouveau,2021-01-24,1437
CUS00030,Senegal,Saint-Louis,Nouveau,2022-07-01,914
CUS00031,Nigeria,Lagos,Standard,2021-11-20,1137
CUS00032,Belgique,Bruxelles,Nouveau,2022-06-24,921
CUS00033,France,Paris,Nouveau,2022-09-04,849
CUS00034,Cameroun,Douala,Standard,2021-11-27,1130
CUS00035,Cote d'Ivoire,Yamoussoukro,Standard,2021-08-18,1231
CUS00036,Nigeria,Abuja,Standard,2022-05-09,967
CUS00037,Senegal,Dakar,Occasionnel,2021-05-22,1319
CUS00038,France,Lyon,Occasionnel,2024-01-31,335
