item_id,order_id,product_id,quantite,prix_unitaire,line_revenue,line_cost,line_margin
ITM000001,ORD000001,PRD026,2,12.0,24.0,5.0,19.0
ITM000002,ORD000001,PRD017,2,149.0,298.0,120.0,178.0
ITM000003,ORD000001,PRD025,2,39.0,78.0,28.0,50.0
ITM000004,ORD000002,PRD025,2,39.0,78.0,28.0,50.0
ITM000005,ORD000002,PRD028,3,129.0,387.0,156.0,231.0
ITM000006,ORD000003,PRD027,3,29.0,87.0,24.0,63.0
ITM000007,ORD000003,PRD024,2,89.0,178.0,64.0,114.0
ITM000008,ORD000003,PRD014,1,99.0,99.0,38.0,61.0
ITM000009,ORD000004,PRD020,3,15.0,45.0,12.0,33.0
ITM000010,ORD000004,PRD012,2,149.0,298.0,110.0,188.0
ITM000011,ORD000005,PRD010,2,749.0,1498.0,860.0,638.0
ITM000012,ORD000005,PRD014,1,99.0,99.0,38.0,61.0
ITM000013,ORD000005,PRD015,2,29.0,58.0,18.0,40.0
ITM000014,ORD000006,PRD006,1,649.0,649.0,380.0,269.0
ITM000015,ORD000007,PRD015,3,29.0,87.0,27.0,60.0
ITM000016,ORD000007,PRD020,1,15.0,15.0,4.0,11.0
ITM000017,ORD000008,PRD024,3,89.0,267.0,96.0,171.0
ITM000018,ORD000009,PRD001,1,1299.0,1299.0,780.0,519.0
ITM000019,ORD000009,PRD024,2,89.0,178.0,64.0,114.0
ITM000020,ORD000009,PRD024,3,89.0,267.0,96.0,171.0
ITM000021,ORD000010,PRD020,3,15.0,45.0,12.0,33.0
ITM000022,ORD000011,PRD025,2,39.0,78.0,28.0,50.0
ITM000023,ORD000011,PRD009,3,79.0,237.0,96.0,141.0
ITM000024,ORD000012,PRD006,3,649.0,1947.0,1140.0,807.0
ITM000025,ORD000012,PRD010,2,749.0,1498.0,860.0,638.0
ITM000026,ORD000012,PRD001,2,1299.0,2598.0,1560.0,1038.0
ITM000027,ORD000013,PRD026,3,12.0,36.0,7.5,28.5
ITM000028,ORD000013,PRD011,1,649.0,649.0,370.0,279.0
ITM000029,ORD000014,PRD014,3,99.0,297.0,114.0,183.0
ITM000030,ORD000014,PRD020,2,15.0,30.0,8.0,22.0
ITM000031,ORD000014,PRD018,2,299.0,598.0,280.0,318.0
ITM000032,ORD000015,PRD015,3,29.0,87.0,27.0,60.0
ITM000033,ORD000015,PRD016,1,59.0,59.0,18.0,41.0
ITM000034,ORD000016,PRD016,3,59.0,177.0,54.0,123.0
ITM000035,ORD000017,PRD011,2,649.0,1298.0,740.0,558.0
ITM000036,ORD000017,PRD022,2,18.0,36.0,10.0,26.0
ITM000037,ORD000017,PRD001,1,1299.0,1299.0,780.0,519.0
ITM000038,ORD000018,PRD010,3,749.0,2247.0,1290.0,957.0
ITM000039,ORD000018,PRD024,2,89.0,178.0,64.0,114.0
ITM000040,ORD000019,PRD007,1,279.0,279.0,130.0,149.0
