order_id,customer_id,order_date,canal,payment_method,order_status,montant_total,delivery_delay,date_id
ORD000001,CUS01731,2022-01-01,Email,Carte bancaire,Livree,400.0,4,20220101
ORD000002,CUS02917,2022-01-01,Paid Search,Mobile Money,Livree,465.0,6,20220101
ORD000003,CUS00328,2022-01-01,Organic,Carte bancaire,Annulee,364.0,9,20220101
ORD000004,CUS01904,2022-01-01,Paid Search,Carte bancaire,Livree,343.0,4,20220101
ORD000005,CUS01744,2022-01-01,Paid Search,Carte bancaire,Livree,1655.0,4,20220101
ORD000006,CUS01220,2022-01-01,Social Media,Mobile Money,Livree,649.0,9,20220101
ORD000007,CUS02192,2022-01-01,Organic,PayPal,Livree,102.0,7,20220101
ORD000008,CUS02145,2022-01-01,Social Media,Carte bancaire,Livree,267.0,3,20220101
ORD000009,CUS00415,2022-01-01,Paid Search,Cash on Delivery,Livree,1744.0,6,20220101
ORD000010,CUS00325,2022-01-01,Direct,Mobile Money,Livree,45.0,3,20220101
ORD000011,CUS02209,2022-01-01,Direct,Carte bancaire,Livree,315.0,3,20220101
ORD000012,CUS02822,2022-01-01,Email,Carte bancaire,Livree,6043.0,5,20220101
ORD000013,CUS00849,2022-01-01,Organic,Mobile Money,Livree,685.0,0,20220101
ORD000014,CUS00907,2022-01-01,Organic,PayPal,Livree,925.0,0,20220101
ORD000015,CUS01949,2022-01-01,Affiliate,Carte bancaire,Livree,146.0,3,20220101
ORD000016,CUS02181,2022-01-01,Email,PayPal,Livree,177.0,1,20220101
ORD000017,CUS01415,2022-01-01,Organic,PayPal,Livree,2633.0,5,20220101
ORD000018,CUS02560,2022-01-01,Social Media,Mobile Money,Livree,2425.0,2,20220101
ORD000019,CUS00962,2022-01-01,Paid Search,Mobile Money,Livree,279.0,0,20220101
ORD000020,CUS00454,2022-01-01,Social Media,Carte bancaire,Livree,534.0,9,20220101
ORD000021,CUS01143,2022-01-01,Paid Search,Mobile Money,Livree,1335.0,4,20220101
ORD000022,CUS02027,2022-01-01,Email,Carte bancaire,Annulee,749.0,5,20220101
ORD000023,CUS02182,2022-01-01,Direct,PayPal,Livree,564.0,0,20220101
ORD000024,CUS02607,2022-01-01,Organic,Carte bancaire,Livree,1947.0,3,20220101
ORD000025,CUS01024,2022-01-01,Organic,Mobile Money,Livree,734.0,5,20220101
ORD000026,CUS00662,2022-01-01,Social Media,PayPal,Livree,1687.0,1,20220101
ORD000027,CUS00848,2022-01-01,Social Media,Mobile Money,Livree,6300.0,6,20220101
ORD000028,CUS00653,2022-01-01,Organic,PayPal,Livree,298.0,3,20220101
ORD000029,CUS01579,2022-01-01,Organic,Mobile Money,Livree,451.0,4,20220101
ORD000030,CUS01797,2022-01-01,Social Media,PayPal,Livree,987.0,3,20220101
ORD000031,CUS02578,2022-01-01,Social Media,Mobile Money,Livree,87.0,10,20220101
ORD000032,CUS00458,2022-01-02,Email,Mobile Money,Livree,59.0,1,20220102
ORD000033,CUS01084,2022-01-02,Organic,PayPal,Livree,2394.0,7,20220102
ORD000034,CUS01355,2022-01-02,Email,PayPal,Livree,2346.0,1,20220102
ORD000035,CUS01520,2022-01-02,Social Media,PayPal,Livree,354.0,5,20220102
ORD000036,CUS01208,2022-01-02,Organic,PayPal,Livree,1704.0,0,20220102
ORD000037,CUS02389,2022-01-02,Paid Search,Mobile Money,Livree,2709.0,1,20220102
ORD000038,CUS02053,2022-01-02,Paid Search,Mobile Money,En cours,1596.0,5,20220102
ORD000039,CUS01556,2022-01-02,Organic,Cash on Delivery,Livree,1543.0,7,20220102
ORD000040,CUS00490,2022-01-02,Social Media,Mobile Money,Livree,755.0,5,20220102
ORD000041,CUS01490,2022-01-02,Social Media,Mobile Money,Livree,1284.0,4,20220102
ORD000042,CUS02203,2022-01-02,Direct,Cash on Delivery,Livree,2631.0,4,20220102
ORD000043,CUS01004,2022-01-02,Organic,PayPal,Livree,257.0,0,20220102
ORD000044,CUS00543,2022-01-02,Social Media,Carte bancaire,Livree,6843.0,2,20220102
ORD000045,CUS00300,2022-01-02,Organic,Carte bancaire,Livree,89.0,3,20220102
ORD000046,CUS02451,2022-01-02,Social Media,Mobile Money,Livree,45.0,8,20220102
ORD000047,CUS02413,2022-01-02,Direct,Mobile Money,Livree,297.0,6,20220102
ORD000048,CUS01109,2022-01-02,Social Media,Carte bancaire,Livree,2583.0,0,20220102
ORD000049,CUS01128,2022-01-02,Email,Mobile Money,Livree,2598.0,5,20220102
ORD000050,CUS02088,2022-01-02,Social Media,Carte bancaire,Livree,2245.0,3,20220102
ORD000051,CUS02814,2022-01-02,Social Media,Carte bancaire,Livree,298.0,2,20220102
ORD000052,CUS01311,2022-01-02,Email,Mobile Money,Livree,1225.0,6,20220102
ORD000053,CUS00704,2022-01-02,Direct,Mobile Money,Livree,226.0,8,20220102
ORD000054,CUS01077,2022-01-02,Social Media,Virement,Livree,178.0,7,20220102
ORD000055,CUS01292,2022-01-02,Paid Search,Mobile Money,Livree,378.0,2,20220102
ORD000056,CUS02646,2022-01-02,Direct,Cash on Delivery,Livree,54.0,4,20220102
ORD000057,CUS01049,2022-01-02,Paid Search,Mobile Money,Livree,1176.0,5,20220102
ORD000058,CUS02530,2022-01-02,Social Media,Virement,Livree,445.0,7,20220102
ORD000059,CUS01925,2022-01-03,Affiliate,Cash on Delivery,Livree,415.0,4,20220103
ORD000060,CUS00243,2022-01-03,Organic,PayPal,Livree,808.0,1,20220103
ORD000061,CUS00304,2022-01-03,Paid Search,PayPal,Livree,3084.0,1,20220103
ORD000062,CUS00361,2022-01-03,Paid Search,Carte bancaire,Livree,1246.0,7,20220103
ORD000063,CUS02865,2022-01-03,Email,Carte bancaire,En cours,1996.0,9,20220103
ORD000064,CUS01484,2022-01-03,Paid Search,PayPal,Livree,4695.0,4,20220103
ORD000065,CUS01624,2022-01-03,Direct,PayPal,Livree,178.0,8,20220103
ORD000066,CUS00132,2022-01-03,Affiliate,Virement,Livree,312.0,6,20220103
ORD000067,CUS02316,2022-01-03,Organic,Mobile Money,Livree,298.0,3,20220103
ORD000068,CUS02499,2022-01-03,Social Media,Carte bancaire,Livree,2492.0,6,20220103
ORD000069,CUS01354,2022-01-03,Organic,PayPal,Livree,6673.0,9,20220103
ORD000070,CUS01598,2022-01-03,Organic,Carte bancaire,Livree,634.0,4,20220103
ORD000071,CUS02678,2022-01-03,Social Media,PayPal,Livree,597.0,9,20220103
ORD000072,CUS00744,2022-01-03,Organic,Mobile Money,Remboursee,149.0,0,20220103
ORD000073,CUS01342,2022-01-03,Direct,Cash on Delivery,Livree,198.0,7,20220103
ORD000074,CUS00955,2022-01-03,Affiliate,Carte bancaire,Livree,58.0,5,20220103
ORD000075,CUS00105,2022-01-03,Paid Search,PayPal,Livree,337.0,4,20220103
ORD000076,CUS01559,2022-01-03,Social Media,Carte bancaire,Remboursee,3304.0,5,20220103
ORD000077,CUS01468,2022-01-03,Email,Carte bancaire,Livree,237.0,0,20220103
ORD000078,CUS00459,2022-01-04,Affiliate,Carte bancaire,Livree,3296.0,6,20220104
ORD000079,CUS00268,2022-01-04,Paid Search,Virement,Livree,59.0,9,20220104
ORD000080,CUS01126,2022-01-04,Email,Virement,Livree,1299.0,3,20220104
ORD000081,CUS02125,2022-01-04,Organic,PayPal,Livree,267.0,2,20220104
ORD000082,CUS01201,2022-01-04,Paid Search,Mobile Money,Livree,149.0,3,20220104
ORD000083,CUS02739,2022-01-04,Organic,Virement,Livree,558.0,7,20220104
ORD000084,CUS01654,2022-01-04,Social Media,Virement,Livree,5196.0,5,20220104
ORD000085,CUS00141,2022-01-04,Email,Carte bancaire,Livree,843.0,3,20220104
ORD000086,CUS00062,2022-01-04,Paid Search,Carte bancaire,Livree,58.0,6,20220104
ORD000087,CUS02199,2022-01-04,Paid Search,Virement,Livree,118.0,5,20220104
ORD000088,CUS00526,2022-01-04,Paid Search,Mobile Money,Remboursee,543.0,7,20220104
ORD000089,CUS00899,2022-01-04,Social Media,PayPal,Livree,6054.0,2,20220104
ORD000090,CUS00432,2022-01-04,Organic,Carte bancaire,Livree,354.0,4,20220104
ORD000091,CUS02118,2022-01-04,Social Media,Virement,Livree,447.0,3,20220104
ORD000092,CUS00595,2022-01-04,Social Media,Cash on Delivery,Livree,1578.0,0,20220104
ORD000093,CUS02600,2022-01-04,Organic,PayPal,Livree,1213.0,5,20220104
ORD000094,CUS02365,2022-01-04,Paid Search,Cash on Delivery,Livree,611.0,5,20220104
ORD000095,CUS01382,2022-01-04,Affiliate,Carte bancaire,Livree,4951.0,5,20220104
ORD000096,CUS01497,2022-01-04,Paid Search,Carte bancaire,Livree,29.0,4,20220104
ORD000097,CUS00493,2022-01-04,Social Media,Carte bancaire,En cours,1984.0,0,20220104
ORD000098,CUS02093,2022-01-05,Organic,Virement,Livree,178.0,3,20220105
ORD000099,CUS02153,2022-01-05,Social Media,Carte bancaire,En cours,1494.0,2,20220105
ORD000100,CUS00684,2022-01-05,Paid Search,Carte bancaire,Livree,2724.0,4,20220105
ORD000101,CUS00829,2022-01-05,Paid Search,Cash on Delivery,Remboursee,1096.0,6,20220105
ORD000102,CUS01917,2022-01-05,Paid Search,PayPal,Livree,897.0,10,20220105
ORD000103,CUS01277,2022-01-05,Organic,PayPal,Livree,99.0,5,20220105
ORD000104,CUS00589,2022-01-05,Social Media,Carte bancaire,Remboursee,1947.0,5,20220105
ORD000105,CUS01717,2022-01-05,Paid Search,Carte bancaire,En cours,1498.0,4,20220105
ORD000106,CUS00506,2022-01-05,Email,Mobile Money,Livree,36.0,0,20220105
ORD000107,CUS01342,2022-01-05,Organic,Carte bancaire,Livree,36.0,4,20220105
ORD000108,CUS01224,2022-01-05,Direct,Mobile Money,Livree,1415.0,5,20220105
ORD000109,CUS00168,2022-01-05,Paid Search,Virement,Livree,3470.0,12,20220105
ORD000110,CUS00423,2022-01-05,Organic,PayPal,Remboursee,564.0,4,20220105
ORD000111,CUS01772,2022-01-05,Paid Search,PayPal,En cours,535.0,5,20220105
ORD000112,CUS01719,2022-01-05,Social Media,Carte bancaire,Livree,24.0,4,20220105
ORD000113,CUS00995,2022-01-05,Social Media,Carte bancaire,Livree,264.0,1,20220105
ORD000114,CUS02485,2022-01-05,Direct,Mobile Money,Livree,4779.0,8,20220105
ORD000115,CUS00389,2022-01-05,Organic,PayPal,Livree,1076.0,7,20220105
ORD000116,CUS01804,2022-01-05,Direct,Mobile Money,Livree,986.0,7,20220105
ORD000117,CUS00741,2022-01-06,Organic,Cash on Delivery,Livree,1501.0,9,20220106
ORD000118,CUS01827,2022-01-06,Email,Carte bancaire,Livree,966.0,0,20220106
ORD000119,CUS02656,2022-01-06,Paid Search,Mobile Money,Livree,378.0,6,20220106
ORD000120,CUS01441,2022-01-06,Social Media,PayPal,En cours,749.0,11,20220106
ORD000121,CUS02958,2022-01-06,Organic,Mobile Money,Livree,535.0,2,20220106
ORD000122,CUS01381,2022-01-06,Direct,Virement,Livree,1677.0,3,20220106
ORD000123,CUS02074,2022-01-06,Email,Mobile Money,Livree,423.0,5,20220106
ORD000124,CUS02915,2022-01-06,Social Media,Virement,Livree,2245.0,3,20220106
ORD000125,CUS00545,2022-01-06,Affiliate,Carte bancaire,Remboursee,727.0,0,20220106
ORD000126,CUS01008,2022-01-06,Social Media,PayPal,Livree,647.0,5,20220106
ORD000127,CUS00596,2022-01-06,Organic,Carte bancaire,Livree,1044.0,1,20220106
ORD000128,CUS01689,2022-01-06,Organic,Mobile Money,Livree,285.0,6,20220106
ORD000129,CUS01767,2022-01-06,Paid Search,Virement,Annulee,2146.0,2,20220106
ORD000130,CUS01012,2022-01-06,Email,Mobile Money,Livree,1732.0,9,20220106
ORD000131,CUS01427,2022-01-06,Email,PayPal,Livree,89.0,2,20220106
ORD000132,CUS01886,2022-01-06,Social Media,Mobile Money,Livree,87.0,4,20220106
ORD000133,CUS02664,2022-01-06,Organic,Carte bancaire,En cours,327.0,7,20220106
ORD000134,CUS02334,2022-01-07,Paid Search,Virement,Livree,415.0,5,20220107
ORD000135,CUS01270,2022-01-07,Social Media,PayPal,Livree,820.0,8,20220107
ORD000136,CUS02497,2022-01-07,Organic,PayPal,Livree,297.0,0,20220107
ORD000137,CUS00661,2022-01-07,Email,Carte bancaire,Livree,90.0,5,20220107
ORD000138,CUS02985,2022-01-07,Organic,Carte bancaire,Remboursee,2094.0,5,20220107
ORD000139,CUS00750,2022-01-07,Organic,Mobile Money,Livree,2176.0,7,20220107
ORD000140,CUS02652,2022-01-07,Social Media,Carte bancaire,Livree,7191.0,1,20220107
ORD000141,CUS01529,2022-01-07,Organic,Carte bancaire,Remboursee,360.0,1,20220107
ORD000142,CUS00114,2022-01-07,Direct,Mobile Money,Livree,135.0,6,20220107
ORD000143,CUS02041,2022-01-07,Organic,Carte bancaire,Livree,1944.0,5,20220107
ORD000144,CUS02079,2022-01-07,Organic,Virement,Livree,298.0,5,20220107
ORD000145,CUS01194,2022-01-07,Organic,PayPal,Livree,837.0,6,20220107
ORD000146,CUS00636,2022-01-07,Affiliate,Cash on Delivery,Annulee,1879.0,2,20220107
ORD000147,CUS02011,2022-01-07,Organic,Mobile Money,Livree,2417.0,5,20220107
ORD000148,CUS02877,2022-01-07,Social Media,Mobile Money,Livree,1498.0,5,20220107
ORD000149,CUS00812,2022-01-08,Paid Search,Mobile Money,Livree,5596.0,10,20220108
ORD000150,CUS02299,2022-01-08,Social Media,Mobile Money,Livree,308.0,6,20220108
ORD000151,CUS01258,2022-01-08,Direct,PayPal,Livree,2997.0,1,20220108
ORD000152,CUS00115,2022-01-08,Organic,Carte bancaire,Livree,612.0,6,20220108
ORD000153,CUS02147,2022-01-08,Direct,Mobile Money,Livree,29.0,2,20220108
ORD000154,CUS00908,2022-01-08,Email,Carte bancaire,Livree,298.0,7,20220108
ORD000155,CUS00844,2022-01-08,Direct,Carte bancaire,Livree,180.0,8,20220108
ORD000156,CUS01523,2022-01-08,Direct,Mobile Money,Livree,352.0,2,20220108
ORD000157,CUS02909,2022-01-08,Direct,Mobile Money,Livree,3016.0,7,20220108
ORD000158,CUS00777,2022-01-08,Direct,Mobile Money,Livree,3091.0,6,20220108
ORD000159,CUS00469,2022-01-08,Organic,Virement,Livree,178.0,7,20220108
ORD000160,CUS02789,2022-01-08,Email,PayPal,Livree,1677.0,10,20220108
ORD000161,CUS01618,2022-01-08,Direct,Virement,Remboursee,4304.0,4,20220108
ORD000162,CUS00457,2022-01-08,Organic,Virement,Livree,30.0,2,20220108
