customer_id,pays,ville,segment_client,date_inscription
CUS00001,Senegal,Dakar,Occasionnel,2022-05-17
CUS00002,Cameroun,Douala,Occasionnel,2024-01-22
CUS00003,Senegal,Saint-Louis,Standard,2021-03-03
CUS00004,Senegal,Dakar,Standard,2024-05-17
CUS00005,Cote d'Ivoire,Bouake,Occasionnel,2024-01-22
CUS00006,Ghana,Accra,Standard,2022-07-24
CUS00007,Cote d'Ivoire,Bouake,Occasionnel,2022-11-28
CUS00008,Maroc,Casablanca,Standard,2022-11-21
CUS00009,Senegal,Dakar,Standard,2023-01-06
CUS00010,Nigeria,Kano,Standard,2021-03-30
CUS00011,Belgique,Bruxelles,Nouveau,2023-02-15
CUS00012,Senegal,Saint-Louis,Standard,2024-06-20
CUS00013,Nigeria,Kano,Standard,2021-05-23
CUS00014,Cote d'Ivoire,Bouake,Occasionnel,2021-06-13
CUS00015,Cameroun,Douala,Standard,2023-07-18
CUS00016,Nigeria,Lagos,Standard,2022-03-06
CUS00017,Maroc,Marrakech,Nouveau,2021-05-27
CUS00018,France,Lyon,Standard,2023-02-17
CUS00019,Maroc,Marrakech,Occasionnel,2022-03-26
CUS00020,Nigeria,Lagos,Standard,2021-03-07
CUS00021,Nigeria,Abuja,Standard,2022-03-09
CUS00022,Nigeria,Lagos,Occasionnel,2023-03-22
CUS00023,Belgique,Bruxelles,Standard,2022-05-21
CUS00024,Maroc,Marrakech,Occasionnel,2024-04-10
CUS00025,Ghana,Kumasi,Standard,2021-10-11
CUS00026,Belgique,Bruxelles,Occasionnel,2021-08-13
CUS00027,France,Lyon,Occasionnel,2023-05-15
CUS00028,Senegal,Thies,Standard,2023-08-17
CUS00029,Maroc,Marrakech,Nouveau,2021-01-24
CUS00030,Senegal,Saint-Louis,Nouveau,2022-07-01
CUS00031,Nigeria,Lagos,Standard,2021-11-20
CUS00032,Belgique,Bruxelles,Nouveau,2022-06-24
CUS00033,France,Paris,Nouveau,2022-09-04
CUS00034,Cameroun,Douala,Standard,2021-11-27
CUS00035,Cote d'Ivoire,Yamoussoukro,Standard,2021-08-18
CUS00036,Nigeria,Abuja,Standard,2022-05-09
CUS00037,Senegal,Dakar,Occasionnel,2021-05-22
CUS00038,France,Lyon,Occasionnel,2024-01-31
CUS00039,France,Marseille,Occasionnel,2024-05-27
CUS00040,Ghana,Accra,Nouveau,2022-02-16
CUS00041,Maroc,Rabat,Nouveau,2023-02-04
CUS00042,Belgique,Liege,Premium,2022-04-06
CUS00043,Senegal,Thies,Premium,2024-02-09
CUS00044,Cameroun,Douala,Premium,2021-05-01
CUS00045,Cameroun,Douala,Nouveau,2022-11-08
CUS00046,Senegal,Saint-Louis,Standard,2023-09-22
CUS00047,Cameroun,Douala,Occasionnel,2024-03-15
CUS00048,Belgique,Bruxelles,Occasionnel,2023-04-14
CUS00049,Cameroun,Douala,Premium,2023-06-02
CUS00050,Nigeria,Abuja,Standard,2021-04-21
CUS00051,Senegal,Dakar,Standard,2022-11-26
CUS00052,Senegal,Dakar,Standard,2024-01-04
CUS00053,Belgique,Bruxelles,Standard,2022-07-25
CUS00054,Belgique,Bruxelles,Nouveau,2021-06-04
CUS00055,Belgique,Bruxelles,Premium,2024-01-13
CUS00056,Cote d'Ivoire,Abidjan,Nouveau,2022-04-30
CUS00057,France,Bordeaux,Standard,2022-03-14
CUS00058,Ghana,Accra,Standard,2021-01-05
CUS00059,Ghana,Kumasi,Nouveau,2023-07-21
CUS00060,Maroc,Rabat,Occasionnel,2024-02-13
CUS00061,Belgique,Bruxelles,Standard,2022-03-22
CUS00062,Cote d'Ivoire,Abidjan,Occasionnel,2021-04-28
CUS00063,Cote d'Ivoire,Daloa,Occasionnel,2023-12-24
CUS00064,France,Paris,Nouveau,2021-06-14
CUS00065,France,Paris,Occasionnel,2022-04-27
CUS00066,Ghana,Accra,Nouveau,2024-03-12
CUS00067,Cameroun,Douala,Occasionnel,2023-05-09
CUS00068,Nigeria,Abuja,Standard,2022-10-06
CUS00069,Cameroun,Yaounde,Standard,2022-09-07
CUS00070,Belgique,Liege,Nouveau,2021-05-29
CUS00071,Cote d'Ivoire,Daloa,Occasionnel,2024-02-28
CUS00072,Senegal,Dakar,Occasionnel,2023-11-03
CUS00073,Maroc,Casablanca,Nouveau,2021-05-21
CUS00074,Cameroun,Yaounde,Standard,2023-06-17
CUS00075,Maroc,Marrakech,Nouveau,2023-12-20
CUS00076,Cote d'Ivoire,Yamoussoukro,Nouveau,2021-08-01
CUS00077,France,Marseille,Premium,2021-08-08
CUS00078,France,Marseille,Standard,2022-03-08
CUS00079,Nigeria,Lagos,Occasionnel,2022-06-25
CUS00080,Belgique,Liege,Nouveau,2021-04-15
CUS00081,Senegal,Saint-Louis,Standard,2022-07-21
CUS00082,Cote d'Ivoire,Abidjan,Standard,2021-09-25
CUS00083,Maroc,Casablanca,Occasionnel,2024-02-04
CUS00084,Ghana,Accra,Premium,2021-11-02
CUS00085,Cote d'Ivoire,Yamoussoukro,Occasionnel,2021-10-31
CUS00086,Ghana,Accra,Premium,2023-01-17
CUS00087,Cote d'Ivoire,Yamoussoukro,Standard,2022-05-27
CUS00088,Senegal,Thies,Occasionnel,2023-04-13
CUS00089,France,Lyon,Nouveau,2021-12-29
CUS00090,Ghana,Accra,Standard,2022-11-12
CUS00091,Ghana,Accra,Standard,2021-08-10
CUS00092,Ghana,Accra,Nouveau,2022-04-01
CUS00093,Cameroun,Yaounde,Standard,2022-04-12
CUS00094,Cameroun,Douala,Occasionnel,2023-03-28
CUS00095,Nigeria,Abuja,Nouveau,2022-07-26
CUS00096,Nigeria,Kano,Occasionnel,2024-01-04
CUS00097,Nigeria,Lagos,Premium,2022-06-19
CUS00098,France,Marseille,Premium,2024-05-06
CUS00099,Ghana,Kumasi,Occasionnel,2022-10-05
CUS00100,Ghana,Accra,Standard,2024-03-26
CUS00101,Cameroun,Yaounde,Premium,2023-06-13
CUS00102,Cote d'Ivoire,Bouake,Standard,2021-05-24
CUS00103,Nigeria,Kano,Standard,2021-09-13
CUS00104,Maroc,Marrakech,Standard,2023-04-17
CUS00105,Nigeria,Abuja,Occasionnel,2024-02-10
CUS00106,France,Lyon,Standard,2023-02-16
CUS00107,France,Marseille,Standard,2021-01-01
CUS00108,Maroc,Rabat,Standard,2024-04-02
CUS00109,Nigeria,Abuja,Standard,2022-03-14
CUS00110,Belgique,Bruxelles,Occasionnel,2022-08-05
CUS00111,Nigeria,Lagos,Occasionnel,2022-04-27
CUS00112,Maroc,Casablanca,Occasionnel,2021-10-29
CUS00113,Cote d'Ivoire,Abidjan,Standard,2023-09-01
CUS00114,Senegal,Thies,Standard,2024-03-24
CUS00115,Cameroun,Yaounde,Standard,2022-05-15
CUS00116,France,Paris,Nouveau,2021-08-07
CUS00117,Ghana,Accra,Standard,2023-11-27
CUS00118,Belgique,Bruxelles,Occasionnel,2021-09-06
CUS00119,Belgique,Bruxelles,Occasionnel,2023-12-24
CUS00120,Nigeria,Abuja,Occasionnel,2023-10-31
CUS00121,Ghana,Kumasi,Nouveau,2023-08-31
CUS00122,Belgique,Liege,Occasionnel,2022-07-22
CUS00123,Belgique,Bruxelles,Standard,2021-06-08
CUS00124,Maroc,Casablanca,Standard,2022-10-17
CUS00125,Senegal,Dakar,Standard,2023-02-24
CUS00126,France,Lyon,Premium,2023-04-15
CUS00127,Nigeria,Kano,Standard,2021-05-08
CUS00128,Cameroun,Yaounde,Standard,2024-04-11
CUS00129,Cote d'Ivoire,Daloa,Standard,2022-12-22
CUS00130,Maroc,Rabat,Nouveau,2023-05-09
CUS00131,Cameroun,Yaounde,Standard,2023-06-12
CUS00132,Belgique,Bruxelles,Standard,2023-04-09
CUS00133,France,Bordeaux,Nouveau,2024-06-28
CUS00134,Cote d'Ivoire,Daloa,Occasionnel,2021-02-25
CUS00135,Senegal,Saint-Louis,Standard,2023-08-04
CUS00136,France,Paris,Standard,2022-11-02
CUS00137,Cameroun,Yaounde,Standard,2023-02-16
CUS00138,Maroc,Rabat,Standard,2021-06-17
CUS00139,Belgique,Bruxelles,Occasionnel,2021-04-17
CUS00140,Nigeria,Lagos,Occasionnel,2021-03-24
CUS00141,Cote d'Ivoire,Bouake,Standard,2021-02-11
CUS00142,France,Lyon,Premium,2021-08-23
CUS00143,Cameroun,Yaounde,Occasionnel,2023-01-26
CUS00144,France,Paris,Occasionnel,2021-12-02
CUS00145,Maroc,Casablanca,Occasionnel,2022-10-01
CUS00146,Ghana,Kumasi,Nouveau,2022-02-11
CUS00147,Senegal,Saint-Louis,Occasionnel,2022-05-13
CUS00148,Senegal,Saint-Louis,Occasionnel,2024-05-14
CUS00149,Senegal,Saint-Louis,Occasionnel,2022-12-13
CUS00150,Ghana,Kumasi,Premium,2022-11-30
CUS00151,Cote d'Ivoire,Daloa,Occasionnel,2021-08-05
CUS00152,Ghana,Kumasi,Occasionnel,2023-07-31
CUS00153,France,Bordeaux,Standard,2023-12-05
CUS00154,Maroc,Marrakech,Occasionnel,2024-01-08
CUS00155,Belgique,Liege,Standard,2024-04-28
CUS00156,Maroc,Rabat,Nouveau,2021-06-27
CUS00157,Maroc,Rabat,Standard,2023-08-10
CUS00158,Ghana,Kumasi,Premium,2022-10-28
CUS00159,France,Bordeaux,Standard,2022-06-14
CUS00160,Nigeria,Abuja,Nouveau,2022-07-20
CUS00161,Cote d'Ivoire,Bouake,Premium,2023-04-13
CUS00162,Belgique,Bruxelles,Occasionnel,2023-10-03
CUS00163,Belgique,Bruxelles,Premium,2022-03-30
CUS00164,Ghana,Accra,Standard,2024-04-06
CUS00165,Nigeria,Abuja,Occasionnel,2022-12-06
CUS00166,Ghana,Kumasi,Standard,2023-07-19
CUS00167,Maroc,Rabat,Standard,2021-09-05
CUS00168,Cameroun,Yaounde,Premium,2024-01-03
CUS00169,France,Lyon,Standard,2023-09-19
CUS00170,Maroc,Marrakech,Occasionnel,2023-12-11
CUS00171,Maroc,Casablanca,Occasionnel,2022-08-30
CUS00172,Cameroun,Yaounde,Standard,2021-01-29
CUS00173,France,Marseille,Premium,2021-04-22
CUS00174,Maroc,Marrakech,Nouveau,2023-10-03
CUS00175,Senegal,Dakar,Occasionnel,2023-08-20
CUS00176,Belgique,Liege,Standard,2021-04-16
CUS00177,Maroc,Rabat,Premium,2021-05-14
CUS00178,Ghana,Kumasi,Premium,2021-04-20
CUS00179,France,Lyon,Occasionnel,2022-09-15
CUS00180,Senegal,Dakar,Premium,2023-05-03
CUS00181,Cameroun,Yaounde,Standard,2023-06-26
CUS00182,Maroc,Marrakech,Nouveau,2022-09-18
CUS00183,Cote d'Ivoire,Abidjan,Nouveau,2022-03-02
CUS00184,Cameroun,Yaounde,Occasionnel,2021-11-18
CUS00185,Cameroun,Douala,Occasionnel,2021-11-17
CUS00186,Cote d'Ivoire,Daloa,Standard,2024-05-01
CUS00187,Belgique,Liege,Premium,2022-08-14
CUS00188,Maroc,Marrakech,Nouveau,2021-05-26
CUS00189,Cameroun,Yaounde,Occasionnel,2024-04-22
CUS00190,Cameroun,Yaounde,Premium,2022-04-06
CUS00191,France,Marseille,Occasionnel,2021-05-27
CUS00192,Cote d'Ivoire,Bouake,Occasionnel,2024-05-03
