inscription_id,apprenant_id,parcours_id,date_inscription,date_fin_reelle,statut,progression_pct,csat,certificat_obtenu
INS00001,APP0001,PAR011,2022-01-13,2022-03-18,Termine,100.0,3.0,1
INS00002,APP0001,PAR005,2022-01-13,,En cours,73.0,,0
INS00003,APP0002,PAR005,2022-03-01,2022-05-25,Termine,100.0,5.0,1
INS00004,APP0002,PAR011,2022-03-01,2022-03-17,Abandonne,30.0,,0
INS00005,APP0003,PAR012,2024-06-30,,En cours,8.0,,0
INS00006,APP0004,PAR012,2023-06-01,2023-06-19,Abandonne,41.0,,0
INS00007,APP0005,PAR006,2022-03-14,2022-05-27,Abandonne,44.0,,0
INS00008,APP0006,PAR002,2022-01-31,2022-05-09,Termine,100.0,4.0,1
INS00009,APP0007,PAR009,2024-02-10,2024-04-10,Termine,100.0,5.0,1
INS00010,APP0007,PAR010,2024-02-10,2024-04-05,Termine,100.0,5.0,1
INS00011,APP0008,PAR006,2024-06-30,,En cours,105.0,,0
INS00012,APP0009,PAR003,2022-10-25,2022-12-09,Termine,100.0,5.0,1
INS00013,APP0010,PAR001,2022-11-07,2022-11-21,Abandonne,23.0,,0
INS00014,APP0011,PAR003,2022-02-05,,Suspendu,1.0,,0
INS00015,APP0011,PAR009,2022-02-05,2022-04-09,Termine,100.0,5.0,1
INS00016,APP0012,PAR005,2022-09-28,2023-01-01,Termine,100.0,5.0,1
INS00017,APP0013,PAR006,2022-11-19,2023-03-22,Termine,100.0,5.0,1
INS00018,APP0014,PAR008,2024-06-30,,En cours,8.0,,0
INS00019,APP0015,PAR007,2022-03-17,2022-07-24,Termine,100.0,4.0,1
INS00020,APP0016,PAR006,2022-06-21,,En cours,50.0,,0
INS00021,APP0017,PAR003,2022-09-16,2022-09-25,Abandonne,33.0,,0
INS00022,APP0017,PAR002,2022-09-16,,Suspendu,23.0,,0
INS00023,APP0018,PAR004,2022-03-15,2022-05-31,Termine,100.0,4.0,1
INS00024,APP0019,PAR003,2023-09-09,2023-10-05,Abandonne,5.0,,0
INS00025,APP0020,PAR009,2022-05-19,,En cours,75.0,,0
INS00026,APP0021,PAR004,2022-05-17,,En cours,34.0,,0
INS00027,APP0021,PAR012,2022-05-17,,En cours,13.0,,0
INS00028,APP0022,PAR009,2023-09-20,2023-12-14,Termine,100.0,3.0,1
INS00029,APP0023,PAR010,2022-02-09,,En cours,71.0,,0
INS00030,APP0023,PAR009,2022-02-09,2022-02-27,Abandonne,25.0,,0
INS00031,APP0023,PAR011,2022-02-09,,En cours,65.0,,0
INS00032,APP0024,PAR012,2022-11-09,2023-01-04,Termine,100.0,5.0,1
INS00033,APP0025,PAR009,2022-05-23,2022-07-24,Termine,100.0,5.0,1
INS00034,APP0026,PAR012,2022-07-23,,Suspendu,24.0,,0
INS00035,APP0026,PAR002,2022-07-23,2022-10-27,Termine,100.0,4.0,1
INS00036,APP0027,PAR007,2022-09-21,2023-02-01,Termine,100.0,4.0,1
