inscription_id,apprenant_id,parcours_id,date_inscription,statut,progression_pct,csat,jours_depuis_inscription,mois_inscription,est_inscription_weekend,nb_sessions,duree_totale_min,nb_semaines_actives,engagement_score,nb_jours_inactif,at_risk_dropout
INS00001,APP0001,PAR011,2022-01-13,Termine,100.0,3.0,899,1,0,0.0,0.0,0.0,0.0,899.0,0
INS00002,APP0001,PAR005,2022-01-13,En cours,73.0,,899,1,0,0.0,0.0,0.0,0.0,899.0,1
INS00003,APP0002,PAR005,2022-03-01,Termine,100.0,5.0,852,3,0,0.0,0.0,0.0,0.0,852.0,0
INS00004,APP0002,PAR011,2022-03-01,Abandonne,30.0,,852,3,0,0.0,0.0,0.0,0.0,852.0,1
INS00005,APP0003,PAR012,2024-06-30,En cours,8.0,,0,6,1,0.0,0.0,0.0,0.0,0.0,0
INS00006,APP0004,PAR012,2023-06-01,Abandonne,41.0,,395,6,0,0.0,0.0,0.0,0.0,395.0,1
INS00007,APP0005,PAR006,2022-03-14,Abandonne,44.0,,839,3,0,0.0,0.0,0.0,0.0,839.0,1
INS00008,APP0006,PAR002,2022-01-31,Termine,100.0,4.0,881,1,0,0.0,0.0,0.0,0.0,881.0,0
INS00009,APP0007,PAR009,2024-02-10,Termine,100.0,5.0,141,2,1,40.0,1713.0,18.0,31.89631310411331,3.0,0
INS00010,APP0007,PAR010,2024-02-10,Termine,100.0,5.0,141,2,1,0.0,0.0,0.0,0.0,141.0,0
INS00011,APP0008,PAR006,2024-06-30,En cours,100.0,,0,6,1,0.0,0.0,0.0,0.0,0.0,0
INS00012,APP0009,PAR003,2022-10-25,Termine,100.0,5.0,614,10,0,0.0,0.0,0.0,0.0,614.0,0
INS00013,APP0010,PAR001,2022-11-07,Abandonne,23.0,,601,11,0,8.0,426.0,8.0,8.745758811755483,15.0,1
INS00016,APP0012,PAR005,2022-09-28,Termine,100.0,5.0,641,9,0,46.0,1645.0,28.0,37.645073372164916,12.0,0
INS00017,APP0013,PAR006,2022-11-19,Termine,100.0,5.0,589,11,1,0.0,0.0,0.0,0.0,589.0,0
INS00018,APP0014,PAR008,2024-06-30,En cours,8.0,,0,6,1,1.0,4.0,1.0,0.7783724805248934,0.0,0
INS00019,APP0015,PAR007,2022-03-17,Termine,100.0,4.0,836,3,0,0.0,0.0,0.0,0.0,836.0,0
