paiement_id,apprenant_id,parcours_id,date_paiement,montant_fcfa,methode,type_paiement,statut_paiement
PAY00001,APP0001,PAR011,2022-01-13,54500,Carte bancaire,En 2 fois,Valide
PAY00002,APP0001,PAR011,2022-02-12,54500,PayPal,En 2 fois,Valide
PAY00003,APP0001,PAR005,2022-01-13,49500,Carte bancaire,En 2 fois,Valide
PAY00004,APP0001,PAR005,2022-02-12,49500,Virement,En 2 fois,Valide
PAY00005,APP0002,PAR005,2022-03-01,79200,Carte bancaire,Integral,Valide
PAY00006,APP0002,PAR011,2022-03-01,87200,Mobile Money,Integral,Valide
PAY00007,APP0003,PAR012,2024-06-30,71200,Mobile Money,Integral,Valide
PAY00008,APP0004,PAR012,2023-06-01,71200,Mobile Money,Integral,Valide
PAY00009,APP0005,PAR006,2022-03-14,199200,Mobile Money,Integral,Valide
PAY00010,APP0006,PAR002,2022-01-31,199000,Virement,Integral,Valide
PAY00011,APP0007,PAR009,2024-02-10,-10000,Mobile Money,Integral,Valide
PAY00012,APP0007,PAR010,2024-02-10,69000,Carte bancaire,Integral,Valide
PAY00013,APP0008,PAR006,2024-06-30,124500,Carte bancaire,En 2 fois,Valide
PAY00014,APP0008,PAR006,2024-07-30,124500,Mobile Money,En 2 fois,Valide
PAY00015,APP0009,PAR003,2022-10-25,89000,Virement,Integral,Valide
PAY00016,APP0010,PAR001,2022-11-07,119200,Virement,Integral,Valide
PAY00017,APP0011,PAR003,2022-02-05,71200,Mobile Money,Integral,Valide
PAY00018,APP0011,PAR009,2022-02-05,23800,Carte bancaire,Mensuel,Valide
PAY00019,APP0011,PAR009,2022-03-07,23800,Carte bancaire,Mensuel,Valide
PAY00020,APP0011,PAR009,2022-04-06,23800,Mobile Money,Mensuel,Valide
PAY00021,APP0011,PAR009,2022-05-06,23800,Mobile Money,Mensuel,Valide
PAY00022,APP0012,PAR005,2022-09-28,99000,Mobile Money,Integral,Valide
PAY00023,APP0013,PAR006,2022-11-19,124500,Mobile Money,En 2 fois,Valide
PAY00024,APP0013,PAR006,2022-12-19,124500,Carte bancaire,En 2 fois,Valide
PAY00025,APP0014,PAR008,2024-06-30,31600,Mobile Money,En 2 fois,Valide
PAY00026,APP0014,PAR008,2024-07-30,31600,Carte bancaire,En 2 fois,Valide
PAY00027,APP0015,PAR007,2022-03-17,179000,Carte bancaire,Integral,Valide
PAY00028,APP0016,PAR006,2022-06-21,249000,Carte bancaire,Integral,Valide
PAY00029,APP0017,PAR003,2022-09-16,89000,Carte bancaire,Integral,Valide
PAY00030,APP0017,PAR002,2022-09-16,199000,Mobile Money,Integral,Valide
PAY00031,APP0018,PAR004,2022-03-15,129000,Carte bancaire,Integral,Valide
PAY00032,APP0019,PAR003,2023-09-09,89000,Mobile Money,Integral,Valide
PAY00033,APP0020,PAR009,2022-05-19,59500,Virement,En 2 fois,Valide
PAY00034,APP0020,PAR009,2022-06-18,59500,Carte bancaire,En 2 fois,Valide
PAY00035,APP0021,PAR004,2022-05-17,129000,Mobile Money,Integral,Valide
PAY00036,APP0021,PAR012,2022-05-17,89000,Virement,Integral,Valide
PAY00037,APP0022,PAR009,2023-09-20,119000,Carte bancaire,Integral,Valide
PAY00038,APP0023,PAR010,2022-02-09,34500,Carte bancaire,En 2 fois,Valide
PAY00039,APP0023,PAR010,2022-03-11,34500,Mobile Money,En 2 fois,Valide
PAY00040,APP0023,PAR009,2022-02-09,119000,Virement,Integral,Valide
PAY00041,APP0023,PAR011,2022-02-09,109000,Mobile Money,Integral,Valide
PAY00042,APP0024,PAR012,2022-11-09,89000,Mobile Money,Integral,Valide
PAY00043,APP0025,PAR009,2022-05-23,119000,Mobile Money,Integral,Valide
PAY00044,APP0026,PAR012,2022-07-23,89000,Mobile Money,Integral,Valide
PAY00045,APP0026,PAR002,2022-07-23,199000,Virement,Integral,Valide
PAY00046,APP0027,PAR007,2022-09-21,143200,Mobile Money,Integral,Valide
PAY00047,APP0027,PAR008,2022-09-21,63200,Carte bancaire,Integral,Valide
PAY00048,APP0028,PAR002,2023-06-09,159200,Mobile Money,Integral,Valide
PAY00049,APP0029,PAR002,2023-01-14,199000,Virement,Integral,Valide
PAY00050,APP0029,PAR003,2023-01-14,89000,Virement,Integral,Valide
PAY00051,APP0030,PAR001,2023-02-22,149000,Virement,Integral,Valide
PAY00052,APP0031,PAR008,2022-12-18,39500,Mobile Money,En 2 fois,Valide
PAY00053,APP0031,PAR008,2023-01-17,39500,Mobile Money,En 2 fois,Valide
PAY00054,APP0032,PAR006,2022-09-22,249000,PayPal,Integral,Valide
PAY00055,APP0033,PAR005,2024-02-28,79200,Mobile Money,Integral,Valide
PAY00056,APP0033,PAR006,2024-02-28,99600,Mobile Money,En 2 fois,Valide
PAY00057,APP0033,PAR006,2024-03-29,99600,PayPal,En 2 fois,Valide
PAY00058,APP0034,PAR003,2022-01-26,71200,Carte bancaire,Integral,Valide
PAY00059,APP0034,PAR008,2022-01-26,63200,Carte bancaire,Integral,Valide
PAY00060,APP0035,PAR010,2023-03-14,69000,Mobile Money,Integral,Valide
PAY00061,APP0036,PAR009,2022-09-26,119000,Mobile Money,Integral,Valide
PAY00062,APP0036,PAR006,2022-09-26,249000,Mobile Money,Integral,Valide
PAY00063,APP0036,PAR003,2022-09-26,89000,Mobile Money,Integral,Valide
PAY00064,APP0037,PAR012,2022-03-22,44500,Virement,En 2 fois,Valide
PAY00065,APP0037,PAR012,2022-04-21,44500,Mobile Money,En 2 fois,Valide
PAY00066,APP0037,PAR005,2022-03-22,99000,Virement,Integral,Valide
PAY00067,APP0038,PAR001,2024-06-30,74500,Carte bancaire,En 2 fois,Valide
PAY00068,APP0038,PAR001,2024-07-30,74500,Carte bancaire,En 2 fois,Valide
PAY00069,APP0038,PAR002,2024-06-30,199000,Mobile Money,Integral,Valide
PAY00070,APP0039,PAR004,2024-02-11,129000,Carte bancaire,Integral,Valide
PAY00071,APP0040,PAR003,2024-02-26,35600,Mobile Money,En 2 fois,Valide
PAY00072,APP0040,PAR003,2024-03-27,35600,PayPal,En 2 fois,Valide
PAY00073,APP0041,PAR012,2022-06-13,89000,Virement,Integral,Valide
PAY00074,APP0041,PAR003,2022-06-13,89000,Mobile Money,Integral,Valide
PAY00075,APP0042,PAR012,2022-12-18,71200,Mobile Money,Integral,Valide
PAY00076,APP0043,PAR004,2023-04-26,103200,Mobile Money,Integral,Valide
PAY00077,APP0044,PAR005,2022-11-16,99000,Mobile Money,Integral,Valide
PAY00078,APP0045,PAR003,2023-02-05,71200,Carte bancaire,Integral,Valide
PAY00079,APP0046,PAR004,2023-01-29,25800,Mobile Money,Mensuel,Valide
PAY00080,APP0046,PAR004,2023-02-28,25800,Mobile Money,Mensuel,Valide
PAY00081,APP0046,PAR004,2023-03-30,25800,Virement,Mensuel,Valide
PAY00082,APP0046,PAR004,2023-04-29,25800,Carte bancaire,Mensuel,Valide
PAY00083,APP0047,PAR003,2022-08-18,89000,Mobile Money,Integral,Valide
PAY00084,APP0048,PAR002,2022-06-17,159200,Virement,Integral,Valide
PAY00085,APP0049,PAR007,2022-06-17,71600,Mobile Money,En 2 fois,Valide
PAY00086,APP0049,PAR007,2022-07-17,71600,Virement,En 2 fois,Valide
PAY00087,APP0050,PAR012,2022-03-09,89000,Virement,Integral,Valide
PAY00088,APP0051,PAR002,2023-11-27,99500,Mobile Money,En 2 fois,Valide
PAY00089,APP0051,PAR002,2023-12-27,99500,Virement,En 2 fois,Valide
PAY00090,APP0051,PAR012,2023-11-27,44500,Carte bancaire,En 2 fois,Valide
PAY00091,APP0051,PAR012,2023-12-27,44500,Mobile Money,En 2 fois,Valide
PAY00092,APP0052,PAR001,2024-06-30,149000,Carte bancaire,Integral,Valide
PAY00093,APP0052,PAR008,2024-06-30,39500,Mobile Money,En 2 fois,Valide
PAY00094,APP0052,PAR008,2024-07-30,39500,Virement,En 2 fois,Valide
PAY00095,APP0053,PAR007,2022-10-12,143200,Carte bancaire,Integral,Valide
PAY00096,APP0053,PAR001,2022-10-12,119200,Mobile Money,Integral,Valide
PAY00097,APP0053,PAR004,2022-10-12,103200,Mobile Money,Integral,Valide
PAY00098,APP0054,PAR002,2022-11-01,79600,Virement,En 2 fois,Valide
PAY00099,APP0054,PAR002,2022-12-01,79600,Mobile Money,En 2 fois,Valide
PAY00100,APP0055,PAR001,2024-06-30,149000,Carte bancaire,Integral,Valide
PAY00101,APP0056,PAR011,2024-01-28,109000,Carte bancaire,Integral,Valide
PAY00102,APP0057,PAR009,2023-08-13,59500,Carte bancaire,En 2 fois,Valide
PAY00103,APP0057,PAR009,2023-09-12,59500,Mobile Money,En 2 fois,Valide
PAY00104,APP0058,PAR010,2022-04-21,55200,Mobile Money,Integral,Valide
PAY00105,APP0058,PAR001,2022-04-21,119200,Mobile Money,Integral,Valide
PAY00106,APP0059,PAR008,2023-09-03,79000,Carte bancaire,Integral,Valide
PAY00107,APP0059,PAR002,2023-09-03,99500,Mobile Money,En 2 fois,Valide
PAY00108,APP0059,PAR002,2023-10-03,99500,Carte bancaire,En 2 fois,Valide
PAY00109,APP0060,PAR005,2022-02-11,99000,Carte bancaire,Integral,Valide
PAY00110,APP0060,PAR001,2022-02-11,149000,Carte bancaire,Integral,Valide
PAY00111,APP0061,PAR002,2022-04-08,199000,PayPal,Integral,Valide
PAY00112,APP0062,PAR005,2022-11-15,39600,Mobile Money,En 2 fois,Valide
PAY00113,APP0062,PAR005,2022-12-15,39600,Mobile Money,En 2 fois,Valide
PAY00114,APP0063,PAR011,2022-06-06,109000,Carte bancaire,Integral,Valide
PAY00115,APP0063,PAR001,2022-06-06,149000,Mobile Money,Integral,Valide
PAY00116,APP0064,PAR002,2022-08-05,199000,Carte bancaire,Integral,Valide
PAY00117,APP0065,PAR002,2022-06-30,199000,Mobile Money,Integral,Valide
PAY00118,APP0066,PAR010,2023-04-05,69000,Mobile Money,Integral,Valide
PAY00119,APP0067,PAR004,2022-07-07,129000,Carte bancaire,Integral,Valide
PAY00120,APP0068,PAR010,2022-08-18,17250,Carte bancaire,Mensuel,Valide
PAY00121,APP0068,PAR010,2022-09-17,17250,Mobile Money,Mensuel,Valide
PAY00122,APP0068,PAR010,2022-10-17,17250,Carte bancaire,Mensuel,Valide
PAY00123,APP0068,PAR010,2022-11-16,17250,Carte bancaire,Mensuel,Valide
PAY00124,APP0068,PAR004,2022-08-18,64500,Carte bancaire,En 2 fois,Valide
PAY00125,APP0068,PAR004,2022-09-17,64500,Carte bancaire,En 2 fois,Valide
PAY00126,APP0069,PAR003,2024-06-29,71200,Carte bancaire,Integral,Valide
PAY00127,APP0070,PAR011,2024-02-29,109000,Mobile Money,Integral,Valide
PAY00128,APP0071,PAR006,2022-01-26,249000,Carte bancaire,Integral,Valide
PAY00129,APP0072,PAR001,2022-05-03,74500,PayPal,En 2 fois,Valide
PAY00130,APP0072,PAR001,2022-06-02,74500,Mobile Money,En 2 fois,Valide
PAY00131,APP0073,PAR002,2024-04-24,199000,Mobile Money,Integral,Valide
PAY00132,APP0074,PAR003,2022-01-15,44500,Mobile Money,En 2 fois,Valide
PAY00133,APP0074,PAR003,2022-02-14,44500,Carte bancaire,En 2 fois,Valide
PAY00134,APP0074,PAR005,2022-01-15,49500,Mobile Money,En 2 fois,Valide
PAY00135,APP0074,PAR005,2022-02-14,49500,Virement,En 2 fois,Valide
PAY00136,APP0075,PAR010,2022-04-04,69000,Mobile Money,Integral,Valide
PAY00137,APP0076,PAR006,2023-01-19,249000,Virement,Integral,Valide
PAY00138,APP0076,PAR012,2023-01-19,89000,Mobile Money,Integral,Valide
PAY00139,APP0077,PAR003,2022-12-26,44500,PayPal,En 2 fois,Valide
PAY00140,APP0077,PAR003,2023-01-25,44500,Carte bancaire,En 2 fois,Valide
PAY00141,APP0078,PAR009,2022-09-07,95200,Carte bancaire,Integral,Valide
PAY00142,APP0079,PAR012,2022-08-18,89000,Mobile Money,Integral,Echoue
PAY00143,APP0079,PAR010,2022-08-18,69000,Mobile Money,Integral,Valide
PAY00144,APP0079,PAR004,2022-08-18,129000,Carte bancaire,Integral,Valide
PAY00145,APP0080,PAR009,2023-04-15,59500,Mobile Money,En 2 fois,Valide
PAY00146,APP0080,PAR009,2023-05-15,59500,Virement,En 2 fois,Valide
PAY00147,APP0081,PAR010,2023-06-11,55200,Carte bancaire,Integral,Valide
PAY00148,APP0082,PAR002,2023-10-26,199000,Mobile Money,Integral,Valide
PAY00149,APP0082,PAR012,2023-10-26,89000,PayPal,Integral,Valide
PAY00150,APP0083,PAR010,2022-10-05,55200,Mobile Money,Integral,Valide
PAY00151,APP0084,PAR001,2022-03-13,149000,PayPal,Integral,Valide
PAY00152,APP0085,PAR009,2022-12-25,47600,Mobile Money,En 2 fois,Valide
PAY00153,APP0085,PAR009,2023-01-24,47600,PayPal,En 2 fois,Valide
PAY00154,APP0085,PAR004,2022-12-25,103200,Mobile Money,Integral,Valide
PAY00155,APP0086,PAR012,2023-06-25,71200,Carte bancaire,Integral,Valide
PAY00156,APP0087,PAR004,2024-06-30,129000,Virement,Integral,Valide
PAY00157,APP0088,PAR005,2022-10-06,79200,Carte bancaire,Integral,Valide
PAY00158,APP0088,PAR003,2022-10-06,71200,PayPal,Integral,Valide
PAY00159,APP0088,PAR009,2022-10-06,95200,Mobile Money,Integral,Valide
PAY00160,APP0089,PAR001,2022-06-22,74500,Mobile Money,En 2 fois,Valide
PAY00161,APP0089,PAR001,2022-07-22,74500,Virement,En 2 fois,Valide
PAY00162,APP0089,PAR002,2022-06-22,199000,Virement,Integral,Echoue
PAY00163,APP0090,PAR004,2024-06-17,129000,Mobile Money,Integral,Valide
PAY00164,APP0091,PAR009,2022-01-19,119000,Mobile Money,Integral,Valide
PAY00165,APP0092,PAR012,2022-07-05,89000,Mobile Money,Integral,Valide
PAY00166,APP0093,PAR008,2023-01-12,79000,Mobile Money,Integral,Valide
PAY00167,APP0094,PAR006,2022-05-19,199200,Carte bancaire,Integral,Valide
PAY00168,APP0094,PAR010,2022-05-19,55200,Mobile Money,Integral,Valide
PAY00169,APP0095,PAR003,2024-03-04,35600,Mobile Money,En 2 fois,Valide
PAY00170,APP0095,PAR003,2024-04-03,35600,Mobile Money,En 2 fois,Valide
