session_id,apprenant_id,parcours_id,date_session,heure_connexion,duree_minutes,module_consulte,appareil,est_weekend
SES000001,APP1051,PAR010,2024-06-30,13,1,Module_08,Mobile,1
SES000002,APP4023,PAR001,2024-06-30,22,32,Module_03,Desktop,1
SES000003,APP4023,PAR001,2024-06-30,16,21,Module_19,Mobile,1
SES000004,APP2817,PAR008,2024-06-30,13,3,Module_07,Mobile,1
SES000005,APP2817,PAR008,2024-06-30,10,40,Module_08,Tablette,1
SES000006,APP2817,PAR008,2024-06-30,17,-30,Module_05,Tablette,1
SES000007,APP3323,PAR003,2023-11-19,10,132,Module_10,Desktop,1
SES000008,APP3323,PAR003,2023-12-14,18,95,Module_15,Desktop,0
SES000009,APP3323,PAR003,2023-09-02,8,33,Module_14,Mobile,1
SES000010,APP3323,PAR003,2022-12-18,13,47,Module_02,Mobile,1
SES000011,APP3323,PAR003,2023-06-04,8,86,Module_08,Mobile,1
SES000012,APP3323,PAR003,2023-07-01,8,18,Module_09,Desktop,1
SES000013,APP3323,PAR003,2023-06-06,14,130,Module_03,Mobile,0
SES000014,APP3323,PAR003,2024-03-24,20,12,Module_03,Desktop,1
SES000015,APP3323,PAR003,2023-09-06,21,3,Module_04,Mobile,0
SES000016,APP0178,PAR006,2023-08-08,15,126,Module_16,Tablette,0
SES000017,APP0178,PAR006,2024-02-03,16,169,Module_20,Desktop,1
SES000018,APP0178,PAR006,2023-09-24,17,100,Module_09,Mobile,1
SES000019,APP0178,PAR006,2023-01-24,19,174,Module_06,Mobile,0
SES000020,APP0178,PAR006,2024-01-15,19,24,Module_31,Desktop,0
SES000021,APP0178,PAR006,2023-11-29,9,6,Module_17,Desktop,0
SES000022,APP0178,PAR006,2023-09-25,22,1,Module_40,Desktop,0
SES000023,APP0178,PAR006,2023-01-12,16,1,Module_03,Desktop,0
SES000024,APP0178,PAR006,2023-02-02,19,7,Module_23,Desktop,0
SES000025,APP0178,PAR006,2024-06-06,19,19,Module_05,Desktop,0
SES000026,APP0178,PAR006,2023-07-13,17,25,Module_07,Mobile,0
SES000027,APP0178,PAR006,2023-05-23,21,11,Module_25,Desktop,0
SES000028,APP0178,PAR006,2022-11-28,9,31,Module_19,Desktop,0
SES000029,APP0178,PAR006,2022-09-26,12,24,Module_19,Mobile,0
SES000030,APP0178,PAR006,2023-12-18,15,36,Module_40,Mobile,0
SES000031,APP0178,PAR006,2023-04-02,19,13,Module_35,Desktop,1
SES000032,APP0178,PAR006,2023-12-06,8,27,Module_18,Mobile,0
SES000033,APP0178,PAR006,2022-08-21,17,36,Module_13,Mobile,1
SES000034,APP0178,PAR006,2023-12-10,15,18,Module_28,Tablette,1
SES000035,APP0178,PAR006,2022-12-31,15,93,Module_12,Desktop,1
SES000036,APP0178,PAR006,2023-10-06,7,31,Module_20,Desktop,0
SES000037,APP0178,PAR006,2024-06-19,17,8,Module_13,Mobile,0
SES000038,APP0178,PAR006,2023-12-21,7,29,Module_23,Desktop,0
SES000039,APP0178,PAR006,2024-05-04,7,46,Module_32,Mobile,1
SES000040,APP0178,PAR006,2024-02-17,8,50,Module_07,Mobile,1
SES000041,APP0178,PAR006,2023-06-01,20,75,Module_08,Mobile,0
SES000042,APP0178,PAR006,2023-11-26,9,54,Module_14,Desktop,1
SES000043,APP0178,PAR006,2023-12-16,21,3,Module_35,Mobile,1
SES000044,APP0178,PAR006,2023-04-16,14,1,Module_20,Desktop,1
SES000045,APP0178,PAR006,2024-02-24,7,31,Module_21,Mobile,1
SES000046,APP0178,PAR006,2023-05-26,7,21,Module_40,Mobile,0
SES000047,APP0178,PAR006,2024-05-17,17,20,Module_38,Mobile,0
SES000048,APP0178,PAR006,2024-01-05,8,3,Module_09,Desktop,0
SES000049,APP0178,PAR006,2023-08-19,6,8,Module_18,Mobile,1
SES000050,APP0178,PAR006,2024-01-22,10,149,Module_37,Mobile,0
SES000051,APP0178,PAR006,2023-10-01,7,-20,Module_32,Desktop,1
SES000052,APP0178,PAR006,2022-09-18,14,42,Module_03,Desktop,1
SES000053,APP0178,PAR006,2022-10-04,18,7,Module_29,Mobile,0
SES000054,APP0178,PAR006,2022-11-02,18,56,Module_06,Mobile,0
SES000055,APP0178,PAR006,2023-10-30,21,55,Module_08,Mobile,0
SES000056,APP0178,PAR006,2023-09-02,7,38,Module_03,Mobile,1
SES000057,APP0178,PAR006,2024-03-06,13,9,Module_22,Mobile,0
SES000058,APP0178,PAR006,2024-06-22,7,37,Module_10,Desktop,1
SES000059,APP0178,PAR006,2022-11-25,20,89,Module_30,Desktop,0
SES000060,APP0178,PAR006,2024-02-18,6,179,Module_40,Desktop,1
SES000061,APP0178,PAR006,2023-07-07,17,13,Module_39,Desktop,0
SES000062,APP0178,PAR006,2022-08-25,11,92,Module_09,Mobile,0
SES000063,APP0178,PAR006,2023-01-30,17,6,Module_36,Mobile,0
SES000064,APP0178,PAR006,2023-10-01,15,37,Module_17,Mobile,1
SES000065,APP0178,PAR006,2022-10-30,11,16,Module_17,Tablette,1
SES000066,APP0178,PAR006,2023-04-17,18,69,Module_30,Desktop,0
SES000067,APP0178,PAR006,2022-12-31,6,48,Module_08,Tablette,1
SES000068,APP0178,PAR006,2023-04-27,22,22,Module_21,Desktop,0
SES000069,APP0178,PAR006,2022-11-11,18,74,Module_17,Desktop,0
SES000070,APP0178,PAR006,2023-05-07,17,24,Module_20,Desktop,1
SES000071,APP0178,PAR006,2023-03-27,13,44,Module_03,Desktop,0
SES000072,APP0178,PAR006,2022-08-26,20,134,Module_39,Desktop,0
SES000073,APP0178,PAR006,2023-07-24,15,101,Module_20,Mobile,0
SES000074,APP0178,PAR006,2023-12-14,18,1,Module_07,Mobile,0
SES000075,APP0178,PAR006,2022-08-27,12,45,Module_05,Desktop,1
SES000076,APP0178,PAR006,2023-03-16,15,69,Module_22,Mobile,0
SES000077,APP0178,PAR006,2024-02-01,13,43,Module_40,Mobile,0
SES000078,APP0178,PAR006,2023-02-16,11,17,Module_35,Mobile,0
SES000079,APP0178,PAR006,2022-10-13,18,17,Module_23,Desktop,0
SES000080,APP0178,PAR006,2023-11-06,10,9,Module_13,Desktop,0
SES000081,APP0178,PAR006,2023-11-24,7,121,Module_07,Mobile,0
SES000082,APP0178,PAR006,2023-01-31,9,17,Module_38,Desktop,0
SES000083,APP0178,PAR006,2024-02-08,14,19,Module_20,Mobile,0
SES000084,APP0178,PAR006,2024-05-16,9,112,Module_25,Desktop,0
SES000085,APP0178,PAR006,2022-09-14,16,26,Module_32,Desktop,0
SES000086,APP0178,PAR006,2023-08-05,19,1,Module_08,Mobile,1
SES000087,APP0178,PAR006,2023-09-20,8,92,Module_26,Mobile,0
SES000088,APP0178,PAR006,2024-01-20,8,62,Module_36,Desktop,1
SES000089,APP0178,PAR006,2024-05-19,14,34,Module_20,Desktop,1
SES000090,APP0178,PAR006,2023-08-25,18,42,Module_26,Mobile,0
SES000091,APP0178,PAR006,2023-07-14,20,46,Module_33,Desktop,0
SES000092,APP0178,PAR006,2023-03-31,20,24,Module_31,Mobile,0
SES000093,APP0178,PAR006,2022-11-24,13,28,Module_27,Mobile,0
SES000094,APP0178,PAR006,2022-08-17,11,49,Module_08,Mobile,0
SES000095,APP2389,PAR006,2023-03-25,16,24,Module_02,Desktop,1
SES000096,APP2389,PAR006,2023-05-01,19,16,Module_04,Mobile,0
SES000097,APP2389,PAR006,2022-09-05,9,40,Module_17,Desktop,0
SES000098,APP2389,PAR006,2023-10-05,9,32,Module_37,Mobile,0
SES000099,APP2389,PAR006,2022-06-20,16,34,Module_28,Mobile,0
SES000100,APP2389,PAR006,2023-09-16,14,10,Module_38,Desktop,1
SES000101,APP2389,PAR006,2023-07-12,14,55,Module_17,Mobile,0
SES000102,APP2389,PAR006,2023-02-24,19,38,Module_20,Mobile,0
SES000103,APP2389,PAR006,2022-04-09,17,126,Module_20,Mobile,1
SES000104,APP2389,PAR006,2024-03-14,8,111,Module_17,Tablette,0
SES000105,APP2389,PAR006,2022-05-07,6,12,Module_01,Mobile,1
SES000106,APP2389,PAR006,2022-05-22,19,4,Module_32,Desktop,1
SES000107,APP2389,PAR006,2024-05-23,8,1,Module_08,Desktop,0
SES000108,APP2389,PAR006,2023-08-05,13,32,Module_12,Mobile,1
SES000109,APP2389,PAR006,2023-06-02,21,38,Module_03,Tablette,0
SES000110,APP2389,PAR006,2023-06-11,10,4,Module_24,Mobile,1
SES000111,APP2389,PAR006,2023-03-29,21,56,Module_01,Mobile,0
SES000112,APP2389,PAR006,2024-05-22,12,45,Module_37,Desktop,0
SES000113,APP2389,PAR006,2023-12-08,22,15,Module_36,Mobile,0
SES000114,APP2389,PAR006,2023-09-01,15,36,Module_35,Mobile,0
SES000115,APP2389,PAR006,2023-12-26,13,8,Module_05,Mobile,0
SES000116,APP2389,PAR006,2023-04-15,14,18,Module_39,Tablette,1
SES000117,APP2389,PAR006,2023-12-15,8,12,Module_06,Desktop,0
SES000118,APP2389,PAR006,2024-05-05,19,123,Module_03,Mobile,1
SES000119,APP2389,PAR006,2023-08-22,10,60,Module_31,Desktop,0
SES000120,APP2389,PAR006,2023-11-07,8,4,Module_01,Mobile,0
SES000121,APP2389,PAR006,2023-10-30,12,3,Module_19,Desktop,0
SES000122,APP2389,PAR006,2023-10-09,16,41,Module_40,Mobile,0
SES000123,APP2389,PAR006,2023-07-30,14,31,Module_20,Mobile,1
SES000124,APP2389,PAR006,2022-06-01,6,28,Module_11,Tablette,0
SES000125,APP2389,PAR006,2022-05-28,14,41,Module_15,Desktop,1
SES000126,APP2389,PAR006,2023-09-10,17,59,Module_12,Desktop,1
SES000127,APP2389,PAR006,2023-09-30,21,27,Module_34,Desktop,1
SES000128,APP2389,PAR006,2022-07-08,15,2,Module_37,Mobile,0
SES000129,APP2389,PAR006,2022-10-19,9,70,Module_08,Mobile,0
SES000130,APP3786,PAR002,2023-02-21,19,11,Module_26,Mobile,0
SES000131,APP3786,PAR002,2024-05-31,6,25,Module_14,Mobile,0
SES000132,APP3786,PAR002,2023-01-18,7,69,Module_09,Mobile,0
SES000133,APP3786,PAR002,2023-08-28,14,137,Module_31,Mobile,0
SES000134,APP1565,PAR006,2024-06-30,15,76,Module_19,Mobile,1
SES000135,APP1565,PAR006,2024-06-30,10,43,Module_29,Mobile,1
SES000136,APP1565,PAR006,2024-06-30,22,68,Module_17,Desktop,1
SES000137,APP1565,PAR006,2024-06-30,6,45,Module_22,Mobile,1
SES000138,APP4015,PAR003,2023-08-08,7,4,Module_10,Desktop,0
SES000139,APP4015,PAR003,2024-03-06,19,14,Module_03,Mobile,0
SES000140,APP4015,PAR003,2023-11-07,7,60,Module_10,Desktop,0
SES000141,APP4015,PAR003,2023-04-09,20,26,Module_11,Desktop,1
SES000142,APP4015,PAR003,2023-10-13,6,22,Module_01,Mobile,0
SES000143,APP4015,PAR003,2023-06-05,13,120,Module_07,Mobile,0
SES000144,APP4015,PAR003,2024-02-15,17,13,Module_15,Mobile,0
SES000145,APP4015,PAR003,2022-08-21,6,16,Module_02,Tablette,1
SES000146,APP4015,PAR003,2022-08-24,16,1,Module_07,Tablette,0
SES000147,APP4015,PAR003,2022-09-15,10,3,Module_03,Desktop,0
SES000148,APP4015,PAR003,2024-01-12,15,11,Module_13,Mobile,0
SES000149,APP4015,PAR003,2023-11-07,8,14,Module_10,Desktop,0
SES000150,APP4015,PAR003,2024-03-26,16,1,Module_15,Mobile,0
SES000151,APP4015,PAR003,2023-08-25,20,10,Module_15,Mobile,0
SES000152,APP4015,PAR003,2024-01-15,18,2,Module_05,Desktop,0
SES000153,APP4015,PAR003,2023-03-05,6,40,Module_12,Mobile,1
SES000154,APP4015,PAR003,2024-06-15,15,141,Module_16,Desktop,1
SES000155,APP4015,PAR003,2023-11-05,12,13,Module_13,Mobile,1
SES000156,APP4015,PAR003,2023-01-05,17,44,Module_09,Mobile,0
SES000157,APP4015,PAR003,2023-06-29,7,119,Module_10,Desktop,0
SES000158,APP4015,PAR003,2022-08-14,7,31,Module_09,Desktop,1
SES000159,APP4015,PAR003,2022-09-26,9,31,Module_10,Desktop,0
SES000160,APP4015,PAR003,2024-06-16,13,1,Module_03,Mobile,1
SES000161,APP4015,PAR003,2023-07-28,22,22,Module_12,Mobile,0
SES000162,APP4015,PAR003,2022-08-10,11,37,Module_09,Desktop,0
SES000163,APP4015,PAR003,2023-08-14,11,116,Module_05,Tablette,0
SES000164,APP4015,PAR003,2023-11-24,11,2,Module_14,Mobile,0
SES000165,APP4015,PAR003,2024-06-25,6,36,Module_10,Mobile,0
SES000166,APP4015,PAR003,2023-02-28,18,7,Module_12,Mobile,0
SES000167,APP4015,PAR003,2024-04-15,22,10,Module_03,Desktop,0
SES000168,APP4015,PAR003,2023-05-29,12,22,Module_06,Desktop,0
SES000169,APP4015,PAR003,2023-01-19,22,90,Module_05,Mobile,0
SES000170,APP4015,PAR003,2023-12-27,8,21,Module_11,Desktop,0
SES000171,APP4015,PAR003,2022-12-21,14,72,Module_15,Desktop,0
SES000172,APP2996,PAR005,2024-04-13,6,6,Module_04,Desktop,1
SES000173,APP2996,PAR005,2023-10-28,22,65,Module_15,Mobile,1
SES000174,APP2996,PAR005,2024-02-02,21,13,Module_16,Tablette,0
SES000175,APP2996,PAR005,2024-01-01,18,8,Module_19,Mobile,0
SES000176,APP2996,PAR005,2024-01-30,16,119,Module_09,Desktop,0
SES000177,APP2996,PAR005,2024-06-08,18,6,Module_17,Mobile,1
SES000178,APP2996,PAR005,2023-08-04,8,38,Module_14,Mobile,0
SES000179,APP2996,PAR005,2023-10-08,13,135,Module_09,Desktop,1
SES000180,APP2996,PAR005,2023-07-15,19,21,Module_17,Mobile,1
SES000181,APP2996,PAR005,2023-07-24,17,19,Module_11,Desktop,0
SES000182,APP2996,PAR005,2023-12-14,7,118,Module_02,Mobile,0
SES000183,APP2996,PAR005,2023-10-01,14,20,Module_01,Tablette,1
SES000184,APP2996,PAR005,2024-03-09,13,82,Module_07,Desktop,1
SES000185,APP2996,PAR005,2024-05-14,22,50,Module_17,Tablette,0
SES000186,APP2996,PAR005,2024-02-27,20,69,Module_15,Mobile,0
SES000187,APP2996,PAR005,2024-02-13,8,110,Module_13,Mobile,0
SES000188,APP2996,PAR005,2023-09-14,11,72,Module_18,Tablette,0
SES000189,APP2996,PAR005,2024-03-19,12,19,Module_07,Tablette,0
SES000190,APP2996,PAR005,2023-08-29,10,79,Module_09,Mobile,0
SES000191,APP2996,PAR005,2023-10-21,10,62,Module_02,Mobile,1
SES000192,APP2996,PAR005,2024-02-02,18,58,Module_09,Desktop,0
SES000193,APP2996,PAR005,2023-06-28,8,4,Module_02,Mobile,0
SES000194,APP2996,PAR005,2023-06-10,19,35,Module_17,Tablette,1
SES000195,APP2996,PAR005,2024-05-11,16,5,Module_12,Desktop,1
SES000196,APP2996,PAR005,2024-01-19,9,74,Module_01,Mobile,0
SES000197,APP2996,PAR005,2023-11-23,22,10,Module_09,Desktop,0
SES000198,APP2996,PAR005,2023-06-17,10,20,Module_13,Mobile,1
SES000199,APP2996,PAR005,2024-01-24,16,36,Module_09,Mobile,0
SES000200,APP2996,PAR005,2023-11-18,15,152,Module_16,Desktop,1
SES000201,APP2996,PAR005,2024-01-08,13,-30,Module_10,Mobile,0
SES000202,APP2996,PAR005,2024-03-05,10,27,Module_04,Desktop,0
SES000203,APP2996,PAR005,2023-11-11,18,6,Module_06,Mobile,1
SES000204,APP2996,PAR005,2024-02-05,7,12,Module_06,Desktop,0
SES000205,APP2996,PAR005,2024-01-05,14,132,Module_17,Mobile,0
SES000206,APP2996,PAR005,2023-11-05,15,22,Module_09,Mobile,1
SES000207,APP2996,PAR005,2024-06-14,12,32,Module_10,Mobile,0
SES000208,APP2996,PAR005,2024-01-09,15,76,Module_14,Mobile,0
SES000209,APP2996,PAR005,2024-03-25,18,26,Module_19,Mobile,0
SES000210,APP2996,PAR005,2023-12-08,11,34,Module_20,Tablette,0
SES000211,APP2996,PAR005,2023-07-08,12,50,Module_16,Mobile,1
SES000212,APP2996,PAR005,2023-12-28,18,36,Module_05,Desktop,0
SES000213,APP2996,PAR005,2023-09-10,17,111,Module_14,Mobile,1
