mois,impressions,clicks,conversions,spend,conv_value,ctr_pct,cpc,cpm,cost_per_conv,conv_rate_pct,roas,spend_prev,clicks_prev,conv_prev,roas_prev,delta_spend_pct,delta_clicks_pct,delta_conv_pct,delta_roas_pct
2023-01,1755673.0,48374.0,2012.0,22067.0,118192.0,2.76,0.46,12.57,10.97,4.16,5.36,,,,,,,,
2023-02,1488483.0,40675.0,1789.0,18225.0,104271.0,2.73,0.45,12.24,10.19,4.4,5.72,22067.0,48374.0,2012.0,5.36,-17.41,-15.92,-11.08,6.72
2023-03,1612384.0,44807.0,1894.0,20093.0,109181.0,2.78,0.45,12.46,10.61,4.23,5.43,18225.0,40675.0,1789.0,5.72,10.25,10.16,5.87,-5.07
2023-04,1631623.0,43388.0,1869.0,19070.0,112874.0,2.66,0.44,11.69,10.2,4.31,5.92,20093.0,44807.0,1894.0,5.43,-5.09,-3.17,-1.32,9.02
2023-05,2071453.0,51717.0,2006.0,21026.0,121479.0,2.5,0.41,10.15,10.48,3.88,5.78,19070.0,43388.0,1869.0,5.92,10.26,19.2,7.33,-2.36
2023-06,2067175.0,51063.0,1906.0,20289.0,115353.0,2.47,0.4,9.82,10.65,3.73,5.69,21026.0,51717.0,2006.0,5.78,-3.51,-1.26,-4.99,-1.56
2023-07,1295946.0,32319.0,1190.0,13127.0,72780.0,2.49,0.41,10.13,11.03,3.68,5.54,20289.0,51063.0,1906.0,5.69,-35.3,-36.71,-37.57,-2.64
2023-08,1346365.0,33268.0,1182.0,13634.0,74479.0,2.47,0.41,10.13,11.53,3.55,5.46,13127.0,32319.0,1190.0,5.54,3.86,2.94,-0.67,-1.44
2023-09,2386913.0,60565.0,2201.0,25372.0,142425.0,2.54,0.42,10.63,11.53,3.63,5.61,13634.0,33268.0,1182.0,5.46,86.09,82.05,86.21,2.75
2023-10,2354427.0,60257.0,2335.0,25635.0,144475.0,2.56,0.43,10.89,10.98,3.88,5.64,25372.0,60565.0,2201.0,5.61,1.04,-0.51,6.09,0.53
2023-11,2897732.0,79221.0,3348.0,33762.0,205846.0,2.73,0.43,11.65,10.08,4.23,6.1,25635.0,60257.0,2335.0,5.64,31.7,31.47,43.38,8.16
2023-12,3550707.0,94018.0,3841.0,39933.0,238741.0,2.65,0.42,11.25,10.4,4.09,5.98,33762.0,79221.0,3348.0,6.1,18.28,18.68,14.73,-1.97
2024-01,2956194.0,77151.0,3157.0,32744.0,198401.0,2.61,0.42,11.08,10.37,4.09,6.06,39933.0,94018.0,3841.0,5.98,-18.0,-17.94,-17.81,1.34
2024-02,2560382.0,66398.0,2639.0,27819.0,168079.0,2.59,0.42,10.87,10.54,3.97,6.04,32744.0,77151.0,3157.0,6.06,-15.04,-13.94,-16.41,-0.33
2024-03,2664662.0,69869.0,2860.0,29583.0,180693.0,2.62,0.42,11.1,10.34,4.09,6.11,27819.0,66398.0,2639.0,6.04,6.34,5.23,8.37,1.16
2024-04,2635083.0,69014.0,2798.0,28973.0,178885.0,2.62,0.42,10.99,10.35,4.05,6.17,29583.0,69869.0,2860.0,6.11,-2.06,-1.22,-2.17,0.98
2024-05,2611123.0,69579.0,2830.0,29692.0,175284.0,2.66,0.43,11.37,10.49,4.07,5.9,28973.0,69014.0,2798.0,6.17,2.48,0.82,1.14,-4.38
2024-06,2531255.0,69083.0,2874.0,28985.0,178783.0,2.73,0.42,11.45,10.09,4.16,6.17,29692.0,69579.0,2830.0,5.9,-2.38,-0.71,1.55,4.58
2024-07,1721312.0,44914.0,1774.0,19035.0,114506.0,2.61,0.42,11.06,10.73,3.95,6.02,28985.0,69083.0,2874.0,6.17,-34.33,-34.99,-38.27,-2.43
2024-08,1695805.0,45616.0,1820.0,19246.0,113929.0,2.69,0.42,11.35,10.57,3.99,5.92,19035.0,44914.0,1774.0,6.02,1.11,1.56,2.59,-1.66
2024-09,2855658.0,76016.0,3101.0,31848.0,195451.0,2.66,0.42,11.15,10.27,4.08,6.14,19246.0,45616.0,1820.0,5.92,65.48,66.64,70.38,3.72
2024-10,2600621.0,71015.0,2872.0,29793.0,185399.0,2.73,0.42,11.46,10.37,4.04,6.22,31848.0,76016.0,3101.0,6.14,-6.45,-6.58,-7.38,1.3
2024-11,3099343.0,82942.0,3340.0,34722.0,214446.0,2.68,0.42,11.2,10.4,4.03,6.18,29793.0,71015.0,2872.0,6.22,16.54,16.8,16.3,-0.64
2024-12,3544517.0,96974.0,3967.0,40323.0,255440.0,2.74,0.42,11.38,10.16,4.09,6.33,34722.0,82942.0,3340.0,6.18,16.13,16.92,18.77,2.43
