ad_id,campaign_id,ad_group_name,headline_1,headline_2,description,quality_score,statut
AD00001,CAMP0001,Brand-Search-CI_AdGroup01,Brand - Solution Premium 1,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Paused
AD00002,CAMP0001,Brand-Search-CI_AdGroup02,Brand - Solution Premium 2,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Paused
AD00003,CAMP0001,Brand-Search-CI_AdGroup03,Brand - Solution Premium 3,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,10,Enabled
AD00004,CAMP0001,Brand-Search-CI_AdGroup04,Brand - Solution Premium 4,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00005,CAMP0001,Brand-Search-CI_AdGroup05,Brand - Solution Premium 5,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00006,CAMP0001,Brand-Search-CI_AdGroup06,Brand - Solution Premium 6,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00007,CAMP0001,Brand-Search-CI_AdGroup07,Brand - Solution Premium 7,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00008,CAMP0001,Brand-Search-CI_AdGroup08,Brand - Solution Premium 8,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00009,CAMP0002,Shopping-Electronics_AdGroup01,Shopping - Solution Premium 1,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,5,Enabled
AD00010,CAMP0002,Shopping-Electronics_AdGroup02,Shopping - Solution Premium 2,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,4,Enabled
AD00011,CAMP0003,Shopping-Fashion_AdGroup01,Shopping - Solution Premium 1,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00012,CAMP0003,Shopping-Fashion_AdGroup02,Shopping - Solution Premium 2,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00013,CAMP0004,PerfMax-AllProducts_AdGroup01,PerfMax - Solution Premium 1,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,5,Enabled
AD00014,CAMP0004,PerfMax-AllProducts_AdGroup02,PerfMax - Solution Premium 2,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,3,Enabled
AD00015,CAMP0004,PerfMax-AllProducts_AdGroup03,PerfMax - Solution Premium 3,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,3,Enabled
AD00016,CAMP0004,PerfMax-AllProducts_AdGroup04,PerfMax - Solution Premium 4,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Paused
AD00017,CAMP0005,Display-Remarketing_AdGroup01,Display - Solution Premium 1,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00018,CAMP0005,Display-Remarketing_AdGroup02,Display - Solution Premium 2,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00019,CAMP0005,Display-Remarketing_AdGroup03,Display - Solution Premium 3,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00020,CAMP0005,Display-Remarketing_AdGroup04,Display - Solution Premium 4,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,3,Enabled
AD00021,CAMP0005,Display-Remarketing_AdGroup05,Display - Solution Premium 5,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,3,Paused
AD00022,CAMP0006,Search-Generic-Tech_AdGroup01,Search - Solution Premium 1,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00023,CAMP0006,Search-Generic-Tech_AdGroup02,Search - Solution Premium 2,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,2,Paused
AD00024,CAMP0006,Search-Generic-Tech_AdGroup03,Search - Solution Premium 3,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00025,CAMP0006,Search-Generic-Tech_AdGroup04,Search - Solution Premium 4,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00026,CAMP0006,Search-Generic-Tech_AdGroup05,Search - Solution Premium 5,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00027,CAMP0007,Brand-Search-Bank_AdGroup01,Brand - Solution Premium 1,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00028,CAMP0007,Brand-Search-Bank_AdGroup02,Brand - Solution Premium 2,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,10,Enabled
AD00029,CAMP0007,Brand-Search-Bank_AdGroup03,Brand - Solution Premium 3,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00030,CAMP0007,Brand-Search-Bank_AdGroup04,Brand - Solution Premium 4,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00031,CAMP0007,Brand-Search-Bank_AdGroup05,Brand - Solution Premium 5,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Paused
AD00032,CAMP0007,Brand-Search-Bank_AdGroup06,Brand - Solution Premium 6,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00033,CAMP0007,Brand-Search-Bank_AdGroup07,Brand - Solution Premium 7,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00034,CAMP0008,Search-CompetitorTerms_AdGroup01,Search - Solution Premium 1,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00035,CAMP0008,Search-CompetitorTerms_AdGroup02,Search - Solution Premium 2,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00036,CAMP0008,Search-CompetitorTerms_AdGroup03,Search - Solution Premium 3,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00037,CAMP0008,Search-CompetitorTerms_AdGroup04,Search - Solution Premium 4,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,5,Paused
AD00038,CAMP0008,Search-CompetitorTerms_AdGroup05,Search - Solution Premium 5,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00039,CAMP0008,Search-CompetitorTerms_AdGroup06,Search - Solution Premium 6,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,3,Enabled
AD00040,CAMP0008,Search-CompetitorTerms_AdGroup07,Search - Solution Premium 7,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00041,CAMP0009,Search-Generic-Banking_AdGroup01,Search - Solution Premium 1,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Paused
AD00042,CAMP0009,Search-Generic-Banking_AdGroup02,Search - Solution Premium 2,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00043,CAMP0009,Search-Generic-Banking_AdGroup03,Search - Solution Premium 3,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,3,Paused
AD00044,CAMP0009,Search-Generic-Banking_AdGroup04,Search - Solution Premium 4,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00045,CAMP0009,Search-Generic-Banking_AdGroup05,Search - Solution Premium 5,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00046,CAMP0009,Search-Generic-Banking_AdGroup06,Search - Solution Premium 6,Devis 24h,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,4,Enabled
AD00047,CAMP0010,PerfMax-LeadGen_AdGroup01,PerfMax - Solution Premium 1,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,7,Enabled
AD00048,CAMP0010,PerfMax-LeadGen_AdGroup02,PerfMax - Solution Premium 2,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00049,CAMP0010,PerfMax-LeadGen_AdGroup03,PerfMax - Solution Premium 3,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,6,Enabled
AD00050,CAMP0010,PerfMax-LeadGen_AdGroup04,PerfMax - Solution Premium 4,Livraison Rapide,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,3,Enabled
AD00051,CAMP0010,PerfMax-LeadGen_AdGroup05,PerfMax - Solution Premium 5,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00052,CAMP0011,Display-Awareness_AdGroup01,Display - Solution Premium 1,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00053,CAMP0011,Display-Awareness_AdGroup02,Display - Solution Premium 2,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,5,Enabled
AD00054,CAMP0011,Display-Awareness_AdGroup03,Display - Solution Premium 3,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,8,Enabled
AD00055,CAMP0011,Display-Awareness_AdGroup04,Display - Solution Premium 4,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,3,Enabled
AD00056,CAMP0012,Brand-Search-EdTech_AdGroup01,Brand - Solution Premium 1,Essai Gratuit,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,9,Enabled
AD00057,CAMP0012,Brand-Search-EdTech_AdGroup02,Brand - Solution Premium 2,Service 24/7,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,10,Paused
AD00058,CAMP0012,Brand-Search-EdTech_AdGroup03,Brand - Solution Premium 3,Sans Engagement,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,10,Enabled
AD00059,CAMP0012,Brand-Search-EdTech_AdGroup04,Brand - Solution Premium 4,Expert Local,Découvrez nos offres exclusives. Cliquez pour en savoir plus.,10,Enabled
