day_of_week,hour,nb_observations,spend,clicks,conversions,cvr_pct
Monday,0,36,498.0,1201.0,35.0,2.91
Monday,1,32,652.0,1383.0,52.0,3.76
Monday,2,23,307.0,626.0,16.0,2.56
Monday,3,30,497.0,997.0,35.0,3.51
Monday,4,24,386.0,1001.0,44.0,4.4
Monday,5,69,1059.0,2665.0,111.0,4.17
Monday,6,116,1677.0,4224.0,153.0,3.62
Monday,7,205,2887.0,6965.0,285.0,4.09
Monday,8,454,7446.0,17019.0,675.0,3.97
Monday,9,607,8999.0,21768.0,864.0,3.97
Monday,10,600,9312.0,22660.0,913.0,4.03
Monday,11,579,9308.0,21940.0,886.0,4.04
Monday,12,375,6192.0,14456.0,577.0,3.99
Monday,13,444,6633.0,15747.0,587.0,3.73
Monday,14,455,7331.0,17424.0,708.0,4.06
Monday,15,429,6721.0,14661.0,611.0,4.17
Monday,16,357,5640.0,13550.0,548.0,4.04
Monday,17,319,4882.0,11409.0,504.0,4.42
Monday,18,252,4407.0,10277.0,383.0,3.73
Monday,19,179,2777.0,7401.0,291.0,3.93
Monday,20,122,1782.0,4837.0,198.0,4.09
Monday,21,108,1498.0,3382.0,153.0,4.52
Monday,22,81,1281.0,2702.0,95.0,3.52
Monday,23,44,684.0,1567.0,72.0,4.59
Tuesday,0,27,411.0,943.0,36.0,3.82
Tuesday,1,22,247.0,639.0,32.0,5.01
Tuesday,2,28,479.0,1135.0,47.0,4.14
Tuesday,3,36,436.0,1069.0,44.0,4.12
Tuesday,4,24,280.0,668.0,37.0,5.54
Tuesday,5,66,1005.0,2556.0,88.0,3.44
Tuesday,6,135,2031.0,4943.0,236.0,4.77
Tuesday,7,251,4328.0,9654.0,406.0,4.21
Tuesday,8,486,7381.0,17229.0,668.0,3.88
Tuesday,9,546,8474.0,20900.0,776.0,3.71
Tuesday,10,586,9584.0,22844.0,932.0,4.08
Tuesday,11,541,8363.0,19197.0,806.0,4.2
Tuesday,12,357,5456.0,12962.0,550.0,4.24
Tuesday,13,428,6750.0,16058.0,649.0,4.04
Tuesday,14,484,7613.0,17776.0,651.0,3.66
Tuesday,15,405,6012.0,15368.0,603.0,3.92
Tuesday,16,365,5766.0,13795.0,536.0,3.89
Tuesday,17,347,5370.0,13261.0,531.0,4.0
Tuesday,18,246,3836.0,9925.0,392.0,3.95
Tuesday,19,180,2835.0,6878.0,289.0,4.2
Tuesday,20,156,2428.0,5231.0,217.0,4.15
Tuesday,21,106,1632.0,3788.0,139.0,3.67
Tuesday,22,94,1317.0,3556.0,127.0,3.57
Tuesday,23,57,875.0,2193.0,88.0,4.01
Wednesday,0,26,370.0,886.0,53.0,5.98
Wednesday,1,40,704.0,1488.0,61.0,4.1
Wednesday,2,36,597.0,1507.0,71.0,4.71
Wednesday,3,21,321.0,854.0,40.0,4.68
Wednesday,4,29,439.0,924.0,52.0,5.63
Wednesday,5,71,1183.0,2360.0,92.0,3.9
Wednesday,6,95,1665.0,3700.0,158.0,4.27
Wednesday,7,247,3832.0,9132.0,392.0,4.29
Wednesday,8,426,6490.0,15643.0,590.0,3.77
Wednesday,9,578,8601.0,20851.0,822.0,3.94
Wednesday,10,625,9822.0,23273.0,1041.0,4.47
Wednesday,11,487,7557.0,17944.0,774.0,4.31
Wednesday,12,346,5416.0,12735.0,504.0,3.96
Wednesday,13,392,5885.0,14160.0,557.0,3.93
Wednesday,14,496,8192.0,19461.0,808.0,4.15
Wednesday,15,425,6547.0,14875.0,619.0,4.16
Wednesday,16,354,5896.0,13347.0,527.0,3.95
Wednesday,17,319,4573.0,11139.0,469.0,4.21
Wednesday,18,255,4237.0,10254.0,459.0,4.48
Wednesday,19,191,2921.0,6994.0,280.0,4.0
Wednesday,20,144,2218.0,5032.0,194.0,3.86
Wednesday,21,123,1815.0,4774.0,222.0,4.65
