date,spend,clicks,conversions,spend_ma7,clicks_ma7,spend_ma30,spend_cumul
2023-01-01,591.3,1238.0,49.0,591.3,1238.0,591.3,591.0
2023-01-02,753.59,1675.0,86.0,672.45,1457.0,672.45,1345.0
2023-01-03,754.88,1850.0,79.0,699.92,1588.0,699.92,2100.0
2023-01-04,715.95,1473.0,83.0,703.93,1559.0,703.93,2816.0
2023-01-05,774.24,1717.0,50.0,717.99,1591.0,717.99,3590.0
2023-01-06,700.85,1382.0,72.0,715.14,1556.0,715.14,4291.0
2023-01-07,635.08,1268.0,41.0,703.7,1515.0,703.7,4926.0
2023-01-08,631.06,1326.0,38.0,709.38,1527.0,694.62,5557.0
2023-01-09,783.33,1812.0,65.0,713.63,1547.0,704.48,6340.0
2023-01-10,731.23,1632.0,62.0,710.25,1516.0,707.15,7072.0
2023-01-11,750.72,1494.0,56.0,715.22,1519.0,711.11,7822.0
2023-01-12,759.36,1810.0,73.0,713.09,1532.0,715.13,8582.0
2023-01-13,751.9,1689.0,55.0,720.38,1576.0,717.96,9333.0
2023-01-14,642.26,1355.0,75.0,721.41,1588.0,712.55,9976.0
2023-01-15,627.69,1353.0,64.0,720.93,1592.0,706.9,10603.0
2023-01-16,752.56,1541.0,56.0,716.53,1553.0,709.75,11356.0
2023-01-17,785.44,1640.0,91.0,724.28,1555.0,714.2,12141.0
2023-01-18,744.59,1839.0,66.0,723.4,1604.0,715.89,12886.0
2023-01-19,734.92,1436.0,65.0,719.91,1550.0,716.89,13621.0
2023-01-20,739.75,1582.0,79.0,718.17,1535.0,718.04,14361.0
2023-01-21,624.6,1269.0,78.0,715.65,1523.0,713.59,14985.0
2023-01-22,659.43,1529.0,66.0,720.18,1548.0,711.12,15645.0
2023-01-23,725.1,1534.0,63.0,716.26,1547.0,711.73,16370.0
2023-01-24,750.15,1653.0,63.0,711.22,1549.0,713.33,17120.0
2023-01-25,771.47,1697.0,77.0,715.06,1529.0,715.66,17891.0
2023-01-26,715.32,1418.0,57.0,712.26,1526.0,715.65,18607.0
2023-01-27,745.3,1892.0,79.0,713.05,1570.0,716.74,19352.0
2023-01-28,626.22,1308.0,60.0,713.28,1576.0,713.51,19978.0
2023-01-29,616.48,1360.0,35.0,707.15,1552.0,710.16,20595.0
2023-01-30,739.9,1708.0,60.0,709.26,1577.0,711.16,21335.0
2023-01-31,732.08,1894.0,69.0,706.68,1611.0,715.85,22067.0
2023-02-01,715.35,1578.0,52.0,698.66,1594.0,714.57,22782.0
2023-02-02,693.3,1426.0,53.0,695.52,1595.0,712.52,23475.0
2023-02-03,669.83,1371.0,64.0,684.74,1521.0,710.98,24145.0
2023-02-04,535.06,1106.0,44.0,671.71,1492.0,703.01,24680.0
2023-02-05,582.41,1421.0,55.0,666.85,1501.0,699.06,25263.0
2023-02-06,677.09,1436.0,79.0,657.87,1462.0,700.46,25940.0
2023-02-07,714.08,1462.0,57.0,655.3,1400.0,703.23,26654.0
2023-02-08,647.53,1504.0,61.0,645.61,1389.0,698.7,27301.0
2023-02-09,695.16,1496.0,60.0,645.88,1399.0,697.5,27997.0
2023-02-10,677.76,1419.0,72.0,647.01,1406.0,695.07,28674.0
2023-02-11,579.79,1295.0,57.0,653.4,1433.0,689.08,29254.0
2023-02-12,542.17,1136.0,65.0,647.65,1393.0,682.09,29796.0
2023-02-13,687.89,1703.0,78.0,649.2,1431.0,683.61,30484.0
2023-02-14,707.42,1695.0,61.0,648.25,1464.0,686.27,31192.0
2023-02-15,706.54,1689.0,74.0,656.68,1490.0,684.74,31898.0
2023-02-16,648.97,1399.0,49.0,650.08,1477.0,680.19,32547.0
2023-02-17,687.49,1538.0,73.0,651.47,1494.0,678.29,33235.0
2023-02-18,530.33,1111.0,53.0,644.4,1467.0,671.47,33765.0
2023-02-19,591.81,1326.0,65.0,651.49,1494.0,666.53,34357.0
