paiement_id,reservation_id,date_paiement,montant,moyen_paiement,statut_paiement
PAY00001,RES00001,2023-02-13,421200,Carte bancaire,Valide
PAY00002,RES00002,2023-06-26,310500,Mobile Money,Valide
PAY00003,RES00002,2023-07-11,310500,Carte bancaire,Valide
PAY00004,RES00003,2022-09-27,265200,Carte bancaire,Valide
PAY00005,RES00004,2023-10-13,124200,Mobile Money,Valide
PAY00006,RES00005,2023-01-08,-5000,Mobile Money,Valide
PAY00007,RES00006,2022-10-15,274560,Mobile Money,Valide
PAY00008,RES00007,2024-05-08,380880,Carte bancaire,Valide
PAY00009,RES00008,2022-10-12,204000,Carte bancaire,Valide
PAY00010,RES00009,2023-04-07,700000,Carte bancaire,Valide
PAY00011,RES00010,2023-02-09,88400,Carte bancaire,Valide
PAY00012,RES00010,2023-02-24,88400,Carte bancaire,Valide
PAY00013,RES00011,2022-02-02,-25000,Carte bancaire,Valide
PAY00014,RES00011,2022-02-17,-25000,Carte bancaire,Valide
PAY00015,RES00012,2023-05-02,64584,Mobile Money,Rembourse
PAY00016,RES00013,2022-09-04,1207500,Mobile Money,Valide
PAY00017,RES00014,2023-07-11,48000,Especes,Rembourse
PAY00018,RES00015,2023-01-13,248400,Especes,Valide
PAY00019,RES00016,2022-05-08,121440,Mobile Money,Valide
PAY00020,RES00017,2022-05-27,740600,Mobile Money,Valide
PAY00021,RES00018,2023-07-03,316800,Virement,Valide
PAY00022,RES00019,2023-03-11,126960,Especes,Valide
PAY00023,RES00020,2021-12-29,208000,Carte bancaire,Valide
PAY00024,RES00021,2024-02-01,186300,Carte bancaire,Echoue
PAY00025,RES00022,2022-06-27,526500,Carte bancaire,Valide
PAY00026,RES00022,2022-07-12,526500,Virement,Valide
PAY00027,RES00023,2023-10-20,338560,Virement,Valide
PAY00028,RES00024,2022-05-10,182160,Mobile Money,Valide
PAY00029,RES00024,2022-05-25,182160,Carte bancaire,Valide
PAY00030,RES00025,2024-01-09,70400,Virement,Valide
PAY00031,RES00026,2023-03-19,1201200,Mobile Money,Valide
PAY00032,RES00027,2023-12-16,120000,Carte bancaire,Valide
PAY00033,RES00028,2023-07-15,210600,Mobile Money,Valide
PAY00034,RES00029,2024-05-21,91080,Carte bancaire,Valide
PAY00035,RES00029,2024-06-05,91080,Carte bancaire,Valide
PAY00036,RES00030,2023-10-16,80960,Carte bancaire,Echoue
PAY00037,RES00031,2024-06-02,421200,Carte bancaire,Valide
PAY00038,RES00032,2022-01-18,169280,Carte bancaire,Valide
PAY00039,RES00032,2022-02-02,169280,Especes,Valide
PAY00040,RES00033,2024-04-17,181125,Mobile Money,Valide
PAY00041,RES00033,2024-05-02,181125,Carte bancaire,Valide
PAY00042,RES00034,2021-12-01,441600,Carte bancaire,Valide
PAY00043,RES00035,2022-03-15,165600,Mobile Money,Valide
PAY00044,RES00036,2023-07-28,158400,Mobile Money,Valide
PAY00045,RES00036,2023-08-12,158400,Carte bancaire,Valide
PAY00046,RES00037,2023-11-30,421200,Mobile Money,Valide
PAY00047,RES00038,2022-08-01,184000,Virement,Valide
PAY00048,RES00039,2022-11-06,207000,Mobile Money,Valide
PAY00049,RES00039,2022-11-21,207000,Mobile Money,Valide
PAY00050,RES00040,2023-03-23,310500,Carte bancaire,Valide
PAY00051,RES00040,2023-04-07,310500,Mobile Money,Valide
PAY00052,RES00041,2024-06-10,216000,Carte bancaire,Valide
PAY00053,RES00042,2023-02-04,88400,Virement,Valide
PAY00054,RES00043,2022-12-08,460000,Virement,Valide
PAY00055,RES00044,2023-09-20,171062,Carte bancaire,Valide
PAY00056,RES00044,2023-10-05,171062,Mobile Money,Valide
PAY00057,RES00045,2024-02-02,253920,Virement,Valide
PAY00058,RES00045,2024-02-17,253920,Mobile Money,Valide
PAY00059,RES00046,2023-07-05,279450,Virement,Valide
PAY00060,RES00046,2023-07-20,279450,Especes,Valide
PAY00061,RES00047,2022-10-14,80960,Carte bancaire,Valide
PAY00062,RES00048,2023-05-25,274560,Carte bancaire,Valide
PAY00063,RES00049,2023-05-07,91800,Carte bancaire,Rembourse
PAY00064,RES00050,2022-06-25,397800,Mobile Money,Valide
PAY00065,RES00050,2022-07-10,397800,Virement,Valide
PAY00066,RES00051,2023-01-14,51000,Virement,Valide
PAY00067,RES00051,2023-01-29,51000,Mobile Money,Valide
PAY00068,RES00052,2023-03-07,160000,Carte bancaire,Valide
PAY00069,RES00053,2024-03-09,621000,Mobile Money,Valide
PAY00070,RES00054,2022-03-12,176000,Carte bancaire,Valide
PAY00071,RES00054,2022-03-27,176000,Carte bancaire,Valide
PAY00072,RES00055,2022-11-16,690000,Carte bancaire,Echoue
PAY00073,RES00056,2023-09-14,272000,Carte bancaire,Valide
PAY00074,RES00057,2022-12-01,322000,Mobile Money,Valide
PAY00075,RES00057,2022-12-16,322000,Carte bancaire,Valide
PAY00076,RES00058,2023-10-24,72000,Mobile Money,Echoue
PAY00077,RES00059,2023-11-09,416000,Carte bancaire,Valide
PAY00078,RES00061,2022-01-01,82800,Mobile Money,Valide
PAY00079,RES00061,2022-01-16,82800,Carte bancaire,Valide
PAY00080,RES00062,2023-07-30,966000,Especes,Valide
PAY00081,RES00063,2022-10-15,360000,Carte bancaire,Valide
PAY00082,RES00064,2023-12-21,1638000,Carte bancaire,Valide
PAY00083,RES00065,2024-02-13,160000,Mobile Money,Valide
PAY00084,RES00066,2022-05-06,140800,Carte bancaire,Valide
PAY00085,RES00067,2023-08-16,180000,Mobile Money,Valide
PAY00086,RES00067,2023-08-31,180000,Carte bancaire,Valide
PAY00087,RES00068,2023-04-24,315000,Especes,Valide
PAY00088,RES00069,2022-12-25,216000,Carte bancaire,Valide
