reservation_id,hotel_id,chambre_id,client_id,date_arrivee,date_depart,nb_nuits,nb_adultes,canal,motif_sejour,prix_nuit_remise,montant_total,statut,csat,date_reservation
RES00001,HTL005,CH0397,CLI2142,2023-03-19,2023-03-22,3,1,Booking.com,Affaires,140400,421200,Terminee,3.0,2023-02-13
RES00002,HTL003,CH0280,CLI1661,2023-07-22,2023-07-25,3,2,Direct,Conference,207000,621000,Terminee,4.0,2023-06-26
RES00003,HTL005,CH0490,CLI0300,2022-11-19,2022-11-21,2,3,Corporate,Famille,132600,265200,Terminee,4.0,2022-09-27
RES00004,HTL001,CH0013,CLI1599,2023-12-08,2023-12-09,1,2,Booking.com,Affaires,124200,124200,Terminee,5.0,2023-10-13
RES00005,HTL003,CH0270,CLI0005,2023-03-07,2023-03-08,1,2,Booking.com,Transit,82800,82800,Terminee,4.0,2023-01-08
RES00006,HTL005,CH0480,CLI0414,2022-11-20,2022-11-23,3,2,Expedia,Conference,91520,274560,Terminee,4.0,2022-10-15
RES00007,HTL001,CH0010,CLI1512,2024-06-18,2024-06-21,3,1,Agence voyage,Affaires,126960,380880,Confirmee,,2024-05-08
RES00008,HTL004,CH0329,CLI0348,2022-11-29,2022-12-02,3,2,Corporate,Tourisme,68000,204000,Terminee,5.0,2022-10-12
RES00009,HTL004,CH0323,CLI2333,2023-04-24,2023-04-26,2,2,Direct,Affaires,350000,700000,Terminee,5.0,2023-04-07
RES00010,HTL005,CH0436,CLI1853,2023-04-07,2023-04-09,2,2,Corporate,Affaires,88400,176800,Terminee,4.0,2023-02-09
RES00011,HTL004,CH0303,CLI2638,2022-03-11,2022-03-12,1,1,Expedia,Affaires,70400,-50000,Terminee,2.0,2022-02-02
RES00012,HTL005,CH0494,CLI2090,2023-05-19,2023-05-20,1,2,Agence voyage,Tourisme,215280,215280,Annulee,,2023-05-02
RES00013,HTL003,CH0204,CLI2984,2022-10-07,2022-10-10,3,2,Direct,Affaires,402500,1207500,Terminee,4.0,2022-09-04
RES00014,HTL004,CH0317,CLI0653,2023-08-31,2023-09-02,2,2,Direct,Conference,80000,160000,Annulee,,2023-07-11
