service_id,reservation_id,hotel_id,date_service,categorie,montant,quantite
SVC00001,RES01197,HTL002,2022-06-18,Restaurant,22746,3
SVC00002,RES01197,HTL002,2022-06-18,Minibar,11219,3
SVC00003,RES01197,HTL002,2022-06-18,Restaurant,34449,1
SVC00004,RES02542,HTL001,2023-03-31,Blanchisserie,7555,2
SVC00005,RES07804,HTL002,2022-05-13,Restaurant,35458,3
SVC00006,RES07804,HTL002,2022-05-13,Transport,30430,3
SVC00007,RES04381,HTL002,2022-08-22,Restaurant,13724,3
SVC00008,RES04381,HTL002,2022-08-21,Blanchisserie,12806,1
SVC00009,RES04381,HTL002,2022-08-21,Room service,22678,1
SVC00010,RES02928,HTL005,2022-09-11,Minibar,7368,3
SVC00011,RES02928,HTL005,2022-09-11,Restaurant,24535,1
SVC00012,RES02928,HTL005,2022-09-11,Minibar,19745,3
SVC00013,RES02928,HTL005,2022-09-11,Restaurant,30373,1
SVC00014,RES03106,HTL002,2022-05-26,Room service,20665,2
SVC00015,RES02950,HTL004,2022-12-06,Salle conference,127913,2
SVC00016,RES02950,HTL004,2022-12-06,Spa & Bien-etre,88534,3
SVC00017,RES02950,HTL004,2022-12-07,Room service,20777,1
SVC00018,RES02950,HTL004,2022-12-07,Transport,34779,3
SVC00019,RES02950,HTL004,2022-12-06,Restaurant,20525,1
SVC00020,RES02746,HTL005,2022-08-09,Restaurant,25217,2
SVC00021,RES02746,HTL005,2022-08-10,Minibar,12390,2
SVC00022,RES04354,HTL002,2023-03-15,Spa & Bien-etre,69376,1
SVC00023,RES04354,HTL002,2023-03-16,Room service,16597,2
SVC00024,RES04354,HTL002,2023-03-14,Blanchisserie,8270,3
SVC00025,RES04354,HTL002,2023-03-15,Restaurant,12217,3
SVC00026,RES04354,HTL002,2023-03-15,Restaurant,13124,2
SVC00027,RES03082,HTL004,2023-06-22,Restaurant,21411,1
SVC00028,RES03082,HTL004,2023-06-21,Minibar,13152,2
SVC00029,RES03082,HTL004,2023-06-23,Transport,47515,3
SVC00030,RES03082,HTL004,2023-06-23,Restaurant,24172,3
SVC00031,RES01010,HTL003,2023-12-28,Minibar,9047,3
SVC00032,RES01010,HTL003,2023-12-27,Minibar,13211,3
SVC00033,RES01010,HTL003,2023-12-29,Transport,34916,2
