corridor,risque_douanier,distance_km,nb_points_controle,nb_livraisons,taux_breach_pct,delai_moy_retard_j,penalites_fcfa,csat_moyen,nb_escalades,rang_risque
Mali → Ghana,Élevé,2554,5,501,94.2,15.4,49889.0,2.87,132.0,1
Cameroun → Ghana,Moyen,2710,1,488,85.7,9.5,28367.0,2.97,103.0,2
Côte d'Ivoire → Sénégal,Faible,2861,5,511,81.2,7.2,22673.0,3.04,85.0,3
Côte d'Ivoire → Ghana,Faible,2753,1,483,75.4,7.5,23324.0,3.18,78.0,4
Ghana → Mali,Élevé,2034,1,520,74.2,8.4,17725.0,3.13,86.0,5
Burkina Faso → Côte d'Ivoire,Élevé,1964,2,492,70.9,7.3,19005.0,3.18,76.0,6
Cameroun → Côte d'Ivoire,Moyen,2419,2,488,70.1,6.4,18350.0,3.23,66.0,7
Burkina Faso → Ghana,Élevé,2032,5,488,67.8,6.4,12618.0,3.22,54.0,8
Cameroun → Mali,Élevé,1237,1,490,59.8,6.4,12647.0,3.34,50.0,9
Mali → Côte d'Ivoire,Élevé,1318,5,505,59.6,5.9,10911.0,3.26,45.0,10
Sénégal → Burkina Faso,Élevé,1934,3,500,56.2,4.6,10673.0,3.33,48.0,11
Côte d'Ivoire → Mali,Élevé,1786,3,491,51.5,4.9,7503.0,3.49,29.0,12
Burkina Faso → Mali,Élevé,934,2,533,37.5,3.8,5898.0,3.67,14.0,13
Mali → Cameroun,Élevé,1323,1,482,35.7,3.3,3772.0,3.74,17.0,14
Burkina Faso → Cameroun,Élevé,1386,4,503,34.8,3.3,10756.0,3.67,10.0,15
Sénégal → Mali,Élevé,1167,2,540,27.0,2.7,4901.0,3.79,5.0,16
Mali → Sénégal,Élevé,874,3,502,25.9,2.3,2244.0,3.86,3.0,17
Sénégal → Ghana,Faible,1385,5,525,22.1,2.7,5588.0,3.88,6.0,18
Ghana → Cameroun,Moyen,686,4,466,18.2,1.3,1283.0,3.98,2.0,19
Côte d'Ivoire → Cameroun,Moyen,926,2,471,17.8,2.5,2325.0,3.94,3.0,20
Ghana → Sénégal,Faible,1295,4,518,17.0,1.4,1814.0,4.0,1.0,21
Ghana → Côte d'Ivoire,Faible,1177,5,477,15.5,2.0,2447.0,4.01,2.0,22
Burkina Faso → Sénégal,Élevé,540,1,492,14.6,1.7,1364.0,3.97,2.0,23
Ghana → Burkina Faso,Élevé,548,3,491,11.6,0.8,807.0,4.08,1.0,24
Côte d'Ivoire → Burkina Faso,Élevé,537,5,485,10.5,1.2,672.0,4.02,1.0,25
Cameroun → Burkina Faso,Élevé,590,3,529,10.0,0.8,860.0,4.04,0.0,26
Mali → Burkina Faso,Élevé,682,2,500,9.4,0.2,618.0,4.07,0.0,27
Sénégal → Cameroun,Moyen,825,5,502,8.4,0.2,772.0,4.03,1.0,28
Cameroun → Sénégal,Moyen,562,5,504,7.3,0.9,683.0,4.1,0.0,29
Sénégal → Côte d'Ivoire,Faible,650,1,523,3.1,-1.5,246.0,4.13,0.0,30
