mois,nb_livraisons,nb_breach,taux_breach_pct,csat_moy,penalites_fcfa,nb_escalades,breach_mois_prec,variation_breach,vol_mois_prec,variation_vol_pct
2022-01,754,297.0,39.4,3.63,13026.0,41.0,,,,
2022-02,509,182.0,35.8,3.73,10933.0,32.0,39.4,-3.6,754,-32.5
2022-03,628,234.0,37.3,3.68,7915.0,34.0,35.8,1.5,509,23.4
2022-04,554,204.0,36.8,3.68,9964.0,29.0,37.3,-0.5,628,-11.8
2022-05,630,241.0,38.3,3.67,15290.0,39.0,36.8,1.5,554,13.7
2022-06,611,253.0,41.4,3.61,9765.0,39.0,38.3,3.1,630,-3.0
2022-07,494,186.0,37.7,3.63,9617.0,25.0,41.4,-3.7,611,-19.1
2022-08,533,231.0,43.3,3.48,11168.0,37.0,37.7,5.6,494,7.9
2022-09,554,229.0,41.3,3.65,10505.0,33.0,43.3,-2.0,533,3.9
2022-10,624,233.0,37.3,3.73,12505.0,25.0,41.3,-4.0,554,12.6
2022-11,730,291.0,39.9,3.69,14643.0,55.0,37.3,2.6,624,17.0
2022-12,797,289.0,36.3,3.71,11186.0,51.0,39.9,-3.6,730,9.2
2023-01,773,314.0,40.6,3.56,13411.0,58.0,36.3,4.3,797,-3.0
2023-02,501,179.0,35.7,3.74,6925.0,30.0,40.6,-4.9,773,-35.2
2023-03,623,251.0,40.3,3.63,10061.0,43.0,35.7,4.6,501,24.4
2023-04,581,235.0,40.4,3.58,9985.0,41.0,40.3,0.1,623,-6.7
2023-05,686,282.0,41.1,3.61,13646.0,43.0,40.4,0.7,581,18.1
2023-06,544,214.0,39.3,3.69,8193.0,35.0,41.1,-1.8,686,-20.7
2023-07,502,225.0,44.8,3.49,11982.0,49.0,39.3,5.5,544,-7.7
2023-08,539,201.0,37.3,3.71,11656.0,30.0,44.8,-7.5,502,7.4
2023-09,536,229.0,42.7,3.55,16434.0,40.0,37.3,5.4,539,-0.6
2023-10,671,254.0,37.9,3.67,11907.0,35.0,42.7,-4.8,536,25.2
2023-11,785,293.0,37.3,3.68,14169.0,40.0,37.9,-0.6,671,17.0
2023-12,841,303.0,36.0,3.65,15849.0,36.0,37.3,-1.3,785,7.1
