livraison_id,client_id,transporteur_id,pays_origine,pays_destination,date_creation,date_livraison_prevue,priorite,type_colis,poids_kg,sla_jours_contractuel,risque_douanier,taux_breach_transporteur,taux_breach_corridor,score_risque,alerte_retard,niveau_urgence
LIV000051,CLI030,TRP05,Mali,Ghana,2023-12-22,2024-01-01,Standard,Alimentaire,95.7,10,Élevé,0.4228541337546077,0.942115768463074,0.9700642844995228,1,Critique
LIV001691,CLI013,TRP12,Côte d'Ivoire,Sénégal,2023-12-22,2024-01-01,Standard,Documents,14.2,10,Faible,0.4282715185444367,0.812133072407045,0.9699830958555017,1,Critique
LIV006129,CLI008,TRP12,Côte d'Ivoire,Ghana,2023-12-29,2024-01-01,Standard,Électronique,15.1,3,Faible,0.4282715185444367,0.7536231884057971,0.9686771307288736,1,Critique
LIV003348,CLI025,TRP06,Mali,Ghana,2023-12-28,2024-01-02,Urgent,Industriel,66.1,5,Élevé,0.4110563765736179,0.942115768463074,0.9655192281914015,1,Critique
LIV003938,CLI028,TRP05,Mali,Ghana,2023-12-31,2024-01-13,Express,Industriel,80.4,13,Élevé,0.4228541337546077,0.942115768463074,0.9590127347858061,1,Critique
LIV007385,CLI010,TRP03,Mali,Ghana,2023-12-31,2024-01-10,Standard,Textile,3.9,10,Élevé,0.3722794959908362,0.942115768463074,0.9502995004337355,1,Critique
LIV001118,CLI012,TRP12,Cameroun,Ghana,2023-12-08,2023-12-18,Standard,Cosmétique,67.6,10,Moyen,0.4282715185444367,0.8565573770491803,0.9364360053252531,1,Critique
LIV000539,CLI025,TRP11,Cameroun,Côte d'Ivoire,2023-12-07,2023-12-12,Urgent,Électronique,27.6,5,Moyen,0.3831877729257641,0.7008196721311475,0.9138635096496052,1,Critique
LIV010980,CLI002,TRP06,Ghana,Mali,2023-12-31,2024-01-05,Urgent,Alimentaire,3.1,5,Élevé,0.4110563765736179,0.7423076923076923,0.9030724909319243,1,Critique
LIV004096,CLI025,TRP04,Cameroun,Ghana,2023-12-25,2023-12-31,Express,Cosmétique,10.0,6,Moyen,0.3818807339449541,0.8565573770491803,0.9019612635180558,1,Critique
