alerte_id,livraison_id,client_id,transporteur_id,type_alerte,date_alerte,delai_retard_jours,penalite_estimee_fcfa,niveau_urgence,traitee
ALT00001,LIV003452,CLI027,TRP03,SLA Breach,2022-03-21 04:00,9.3,0,Élevé,1
ALT00002,LIV002095,CLI006,TRP06,Escalade client,2023-06-07 06:00,0.7,0,Moyen,0
ALT00003,LIV012431,CLI024,TRP13,SLA Breach,2022-01-14 03:00,6.9,64,Critique,1
ALT00004,LIV000073,CLI010,TRP06,Retard critique,2022-12-07 12:00,7.0,11,Critique,1
ALT00005,LIV001951,CLI010,TRP06,Escalade client,2023-08-17 05:00,1.4,17,Moyen,1
ALT00006,LIV008570,CLI001,TRP04,Escalade client,2022-08-22 09:00,8.5,86,Élevé,0
ALT00007,LIV009822,CLI009,TRP09,SLA Breach,2022-05-05 04:00,4.6,0,Élevé,0
ALT00008,LIV007955,CLI008,TRP05,SLA Breach,2023-11-29 05:00,2.7,10,Moyen,0
ALT00009,LIV012945,CLI018,TRP12,Retard critique,2022-09-04 08:00,1.0,24,Moyen,1
ALT00010,LIV009783,CLI029,TRP01,SLA Breach,2024-01-06 02:00,0.9,1,Moyen,1
ALT00011,LIV003166,CLI008,TRP12,Retard critique,2022-04-29 05:00,24.1,171,Élevé,0
ALT00012,LIV002799,CLI018,TRP01,Escalade client,2022-01-04 09:00,1.6,25,Moyen,1
ALT00013,LIV012477,CLI018,TRP05,SLA Breach,2023-04-08 09:00,1.1,5,Moyen,0
ALT00014,LIV014075,CLI030,TRP14,Escalade client,2022-10-18 01:00,2.5,0,Moyen,1
ALT00015,LIV012231,CLI011,TRP10,Retard critique,2022-04-15 07:00,14.9,0,Élevé,1
ALT00016,LIV010511,CLI018,TRP12,SLA Breach,2023-10-17 10:00,4.0,4,Élevé,1
ALT00017,LIV003163,CLI011,TRP09,Retard critique,2022-01-19 09:00,4.1,0,Élevé,1
ALT00018,LIV001980,CLI011,TRP13,Retard critique,2023-06-08 08:00,3.3,0,Élevé,0
ALT00019,LIV007286,CLI001,TRP02,SLA Breach,2023-04-21 08:00,1.6,10,Moyen,1
ALT00020,LIV002812,CLI008,TRP14,SLA Breach,2022-01-12 08:00,17.0,484,Élevé,0
ALT00021,LIV005863,CLI018,TRP01,Escalade client,2022-10-12 11:00,8.3,337,Élevé,1
ALT00022,LIV002290,CLI021,TRP11,Escalade client,2022-09-20 12:00,0.1,10,Moyen,1
ALT00023,LIV012806,CLI021,TRP05,Escalade client,2022-12-02 01:00,4.9,18,Élevé,1
ALT00024,LIV013409,CLI008,TRP13,SLA Breach,2022-11-26 05:00,12.1,76,Élevé,1
ALT00025,LIV010919,CLI018,TRP12,SLA Breach,2022-06-21 02:00,10.5,20,Élevé,1
ALT00026,LIV004546,CLI026,TRP07,Escalade client,2022-10-18 08:00,6.2,0,Élevé,1
