evenement_id,livraison_id,type_evenement,date_evenement,localisation,commentaire,agent_id
EVT0000001,LIV011500,Prise en charge,2022-01-21 21:00,Dakar,,AGT008
EVT0000002,LIV011500,Départ entrepôt,2022-01-22 09:00,Ouagadougou,,AGT004
EVT0000003,LIV006476,Prise en charge,2022-11-02 07:00,Abidjan,,AGT001
EVT0000004,LIV006476,Départ entrepôt,2022-11-02 16:00,Dakar,,AGT008
EVT0000005,LIV013168,Prise en charge,2022-04-13 06:00,Dakar,,AGT015
EVT0000006,LIV013168,Départ entrepôt,2022-04-14 03:00,Frontière,,AGT001
EVT0000007,LIV000863,Prise en charge,2022-12-31 01:00,Douala,,AGT005
EVT0000008,LIV000863,Départ entrepôt,2022-12-31 18:00,Frontière,,AGT011
EVT0000009,LIV000863,Passage frontière,2023-01-01 04:00,Abidjan,,AGT013
EVT0000010,LIV005971,Prise en charge,2022-03-01 02:00,Bamako,,AGT009
EVT0000011,LIV005971,Départ entrepôt,2022-03-01 08:00,Ouagadougou,,AGT015
EVT0000012,LIV006707,Prise en charge,2022-11-08 04:00,Abidjan,,AGT018
EVT0000013,LIV006707,Départ entrepôt,2022-11-09 02:00,Frontière,,AGT021
EVT0000014,LIV003018,Prise en charge,2022-12-20 16:00,Ouagadougou,,AGT003
EVT0000015,LIV003018,Départ entrepôt,2022-12-20 22:00,Ouagadougou,,AGT008
EVT0000016,LIV003018,Passage frontière,2022-12-21 20:00,Abidjan,,AGT008
EVT0000017,LIV003018,Arrivée entrepôt transit,2022-12-22 06:00,Accra,,AGT009
EVT0000018,LIV003782,Prise en charge,2022-09-16 03:00,Dakar,,AGT012
EVT0000019,LIV003782,Départ entrepôt,2022-09-17 05:00,Dakar,,AGT022
EVT0000020,LIV003782,Passage frontière,2022-09-18 02:00,Ouagadougou,,AGT022
EVT0000021,LIV003782,Arrivée entrepôt transit,2022-09-18 10:00,Bamako,,AGT021
EVT0000022,LIV003782,Départ entrepôt transit,2022-09-19 00:00,Bamako,,AGT024
EVT0000023,LIV003899,Prise en charge,2022-09-06 14:00,Accra,,AGT013
EVT0000024,LIV003899,Départ entrepôt,2022-09-07 11:00,Ouagadougou,,AGT023
EVT0000025,LIV003899,Passage frontière,2022-09-08 05:00,Ouagadougou,,AGT011
EVT0000026,LIV002251,Prise en charge,2022-09-17 18:00,Frontière,,AGT002
EVT0000027,LIV002251,Départ entrepôt,2022-09-18 18:00,Accra,,AGT009
EVT0000028,LIV000543,Prise en charge,2022-06-28 00:00,Dakar,,AGT021
EVT0000029,LIV000543,Départ entrepôt,2022-06-29 11:00,Accra,,AGT021
EVT0000030,LIV004352,Prise en charge,2023-12-08 13:00,Douala,,AGT005
EVT0000031,LIV004352,Départ entrepôt,2023-12-09 08:00,Ouagadougou,,AGT018
EVT0000032,LIV004352,Passage frontière,2023-12-10 04:00,Ouagadougou,,AGT019
EVT0000033,LIV004352,Arrivée entrepôt transit,2023-12-11 11:00,Bamako,,AGT013
EVT0000034,LIV004352,Départ entrepôt transit,2023-12-12 14:00,Dakar,,AGT005
EVT0000035,LIV012808,Prise en charge,2023-12-06 09:00,Frontière,,AGT002
EVT0000036,LIV012808,Départ entrepôt,2023-12-06 20:00,Dakar,,AGT021
EVT0000037,LIV012808,Passage frontière,2023-12-07 10:00,Frontière,,AGT022
EVT0000038,LIV012808,Arrivée entrepôt transit,2023-12-08 17:00,Bamako,,AGT003
EVT0000039,LIV012808,Départ entrepôt transit,2023-12-09 21:00,Accra,,AGT020
EVT0000040,LIV006632,Prise en charge,2023-01-05 20:00,Bamako,,AGT001
EVT0000041,LIV006632,Départ entrepôt,2023-01-06 07:00,Ouagadougou,,AGT018
EVT0000042,LIV006632,Passage frontière,2023-01-07 04:00,Frontière,,AGT021
EVT0000043,LIV006632,Arrivée entrepôt transit,2023-01-08 05:00,Abidjan,,AGT010
EVT0000044,LIV006632,Départ entrepôt transit,2023-01-09 12:00,Dakar,,AGT015
EVT0000045,LIV006706,Prise en charge,2023-11-09 20:00,Bamako,,AGT025
EVT0000046,LIV006706,Départ entrepôt,2023-11-10 11:00,Bamako,,AGT004
EVT0000047,LIV006979,Prise en charge,2022-03-15 12:00,Bamako,,AGT007
EVT0000048,LIV006979,Départ entrepôt,2022-03-16 01:00,Douala,,AGT025
EVT0000049,LIV006979,Passage frontière,2022-03-16 15:00,Bamako,,AGT025
EVT0000050,LIV006979,Arrivée entrepôt transit,2022-03-16 19:00,Bamako,,AGT011
EVT0000051,LIV007400,Prise en charge,2022-01-17 03:00,Frontière,,AGT010
EVT0000052,LIV007400,Départ entrepôt,2022-01-17 22:00,Abidjan,,AGT008
EVT0000053,LIV007400,Passage frontière,2022-01-18 07:00,Abidjan,,AGT024
EVT0000054,LIV007400,Arrivée entrepôt transit,2022-01-19 18:00,Frontière,,AGT003
EVT0000055,LIV007400,Départ entrepôt transit,2022-01-20 06:00,Dakar,,AGT022
EVT0000056,LIV011120,Prise en charge,2023-02-09 14:00,Douala,,AGT017
EVT0000057,LIV011120,Départ entrepôt,2023-02-10 21:00,Dakar,,AGT018
EVT0000058,LIV011120,Passage frontière,2023-02-11 13:00,Ouagadougou,,AGT010
EVT0000059,LIV011120,Arrivée entrepôt transit,2023-02-12 18:00,Ouagadougou,,AGT021
EVT0000060,LIV011120,Départ entrepôt transit,2023-02-13 21:00,Accra,,AGT017
EVT0000061,LIV012666,Prise en charge,2022-07-10 11:00,Dakar,,AGT008
EVT0000062,LIV012666,Départ entrepôt,2022-07-10 19:00,Douala,,AGT001
EVT0000063,LIV012666,Passage frontière,2022-07-11 13:00,Bamako,,AGT008
EVT0000064,LIV012666,Arrivée entrepôt transit,2022-07-11 17:00,Abidjan,,AGT023
EVT0000065,LIV012666,Départ entrepôt transit,2022-07-12 00:00,Dakar,,AGT003
EVT0000066,LIV005305,Prise en charge,2023-07-05 01:00,Abidjan,,AGT017
EVT0000067,LIV005305,Départ entrepôt,2023-07-05 20:00,Douala,,AGT022
EVT0000068,LIV002313,Prise en charge,2023-11-14 17:00,Bamako,,AGT005
EVT0000069,LIV002313,Départ entrepôt,2023-11-16 03:00,Dakar,,AGT016
EVT0000070,LIV002313,Passage frontière,2023-11-17 09:00,Dakar,,AGT004
EVT0000071,LIV002313,Arrivée entrepôt transit,2023-11-17 19:00,Ouagadougou,,AGT014
EVT0000072,LIV002313,Départ entrepôt transit,2023-11-18 21:00,Accra,,AGT014
EVT0000073,LIV007041,Prise en charge,2022-03-20 07:00,Ouagadougou,,AGT021
EVT0000074,LIV007041,Départ entrepôt,2022-03-20 17:00,Abidjan,,AGT013
EVT0000075,LIV007041,Passage frontière,2022-03-21 18:00,Frontière,,AGT004
EVT0000076,LIV007041,Arrivée entrepôt transit,2022-03-22 13:00,Dakar,,AGT007
EVT0000077,LIV007041,Départ entrepôt transit,2022-03-23 21:00,Dakar,,AGT014
EVT0000078,LIV001890,Prise en charge,2023-02-25 21:00,Accra,,AGT008
EVT0000079,LIV001890,Départ entrepôt,2023-02-26 05:00,Accra,,AGT018
EVT0000080,LIV001890,Passage frontière,2023-02-26 15:00,Abidjan,,AGT021
EVT0000081,LIV008992,Prise en charge,2022-10-01 19:00,Dakar,,AGT014
EVT0000082,LIV008992,Départ entrepôt,2022-10-03 06:00,Accra,,AGT007
EVT0000083,LIV000170,Prise en charge,2023-06-27 07:00,Dakar,,AGT013
EVT0000084,LIV000170,Départ entrepôt,2023-06-27 11:00,Accra,,AGT009
EVT0000085,LIV000170,Passage frontière,2023-06-28 20:00,Douala,,AGT014
EVT0000086,LIV000170,Arrivée entrepôt transit,2023-06-30 07:00,Dakar,,AGT007
EVT0000087,LIV000170,Départ entrepôt transit,2023-07-01 05:00,Dakar,,AGT002
EVT0000088,LIV001796,Prise en charge,2022-06-14 00:00,Abidjan,,AGT002
EVT0000089,LIV001796,Départ entrepôt,2022-06-15 10:00,Bamako,,AGT017
EVT0000090,LIV003976,Prise en charge,2022-11-12 07:00,Bamako,,AGT003
EVT0000091,LIV003976,Départ entrepôt,2022-11-12 22:00,Abidjan,,AGT020
EVT0000092,LIV003976,Passage frontière,2022-11-13 06:00,Ouagadougou,,AGT008
EVT0000093,LIV006821,Prise en charge,2022-12-17 19:00,Bamako,,AGT020
EVT0000094,LIV006821,Départ entrepôt,2022-12-18 01:00,Bamako,,AGT003
EVT0000095,LIV006821,Passage frontière,2022-12-19 07:00,Ouagadougou,,AGT019
EVT0000096,LIV006821,Arrivée entrepôt transit,2022-12-20 07:00,Douala,,AGT007
EVT0000097,LIV006821,Départ entrepôt transit,2022-12-21 07:00,Dakar,,AGT009
EVT0000098,LIV007827,Prise en charge,2023-10-22 12:00,Ouagadougou,,AGT021
EVT0000099,LIV007827,Départ entrepôt,2023-10-23 11:00,Accra,,AGT011
EVT0000100,LIV007827,Passage frontière,2023-10-23 19:00,Abidjan,,AGT015
EVT0000101,LIV007827,Arrivée entrepôt transit,2023-10-24 05:00,Abidjan,,AGT018
EVT0000102,LIV007827,Départ entrepôt transit,2023-10-24 22:00,Bamako,,AGT009
EVT0000103,LIV011810,Prise en charge,2022-06-29 08:00,Dakar,,AGT012
