contact_id,client_id,campagne_source_id,canal_acquisition,date_acquisition,pays,segment,nb_achats,ltv_fcfa,dernier_achat_date,statut_crm
CNT0000001,CLI010,CAM00102,Email,2023-10-11,Cameroun,Client actif,5,131390,2024-04-18,Actif
CNT0000002,CLI018,CAM00253,SMS,2023-03-04,Mali,Prospect,6,308004,2023-12-24,Actif
CNT0000003,CLI012,CAM00150,Google,2024-03-19,Ghana,Client dormant,1,57869,2024-05-16,Perdu
CNT0000004,CLI017,CAM00230,Facebook,2024-02-17,Côte d'Ivoire,Nouveau client,4,176004,2024-10-23,Inactif
CNT0000005,CLI016,CAM00199,Email,2022-11-18,Côte d'Ivoire,Client actif,6,139368,2023-01-21,Actif
CNT0000006,CLI020,CAM00290,Email,2024-05-12,Sénégal,Prospect,2,20164,2024-05-18,Perdu
CNT0000007,CLI017,CAM00240,Email,2022-10-04,Sénégal,Client actif,3,126048,2023-06-22,Actif
CNT0000008,CLI020,CAM00290,Email,2024-05-08,Sénégal,Prospect,1,33387,2024-06-13,Inactif
CNT0000009,CLI015,CAM00193,SMS,2023-10-14,Burkina Faso,Client dormant,2,25058,2023-12-18,Actif
CNT0000010,CLI017,CAM00225,Email,2024-01-14,Burkina Faso,Client actif,2,69260,2024-04-30,Inactif
CNT0000011,CLI021,CAM00306,Email,2024-04-28,Mali,Client dormant,8,475416,2025-04-22,Inactif
CNT0000012,CLI016,CAM00216,SMS,2022-06-16,Cameroun,Client actif,0,0,,Inactif
CNT0000013,CLI010,CAM00098,Facebook,2022-09-21,Cameroun,Prospect,5,119235,2023-02-27,Inactif
CNT0000014,CLI017,CAM00228,Facebook,2023-01-24,Côte d'Ivoire,Nouveau client,0,0,,Inactif
CNT0000015,CLI015,CAM00187,Email,2022-09-24,Côte d'Ivoire,Client dormant,2,159508,2023-06-14,Inactif
CNT0000016,CLI017,CAM00227,Facebook,2023-05-28,Sénégal,Prospect,1,27793,2024-04-29,Actif
CNT0000017,CLI015,CAM00196,Email,2023-10-14,Côte d'Ivoire,Nouveau client,1,22018,2024-06-13,Perdu
CNT0000018,CLI018,CAM00265,Email,2023-02-09,Côte d'Ivoire,Nouveau client,1,39685,2023-07-15,Inactif
CNT0000019,CLI015,CAM00194,SMS,2023-01-13,Burkina Faso,Prospect,7,480242,2024-02-13,Perdu
CNT0000020,CLI018,CAM00262,SMS,2024-02-13,Cameroun,Client dormant,8,605968,2024-06-27,Perdu
CNT0000021,CLI017,CAM00246,SMS,2023-08-04,Côte d'Ivoire,Prospect,7,281330,2023-12-24,Inactif
CNT0000022,CLI022,CAM00318,Email,2023-02-26,Côte d'Ivoire,Nouveau client,3,195012,2024-01-25,Actif
CNT0000023,CLI012,CAM00132,SMS,2024-02-12,Côte d'Ivoire,Prospect,5,344870,2024-03-04,Perdu
CNT0000024,CLI017,CAM00248,Email,2024-02-23,Cameroun,Nouveau client,7,526799,2024-03-10,Inactif
CNT0000025,CLI013,CAM00160,Google,2024-02-09,Côte d'Ivoire,Prospect,8,409648,2024-04-18,Inactif
CNT0000026,CLI010,CAM00103,SMS,2024-04-30,Cameroun,Prospect,5,309405,2025-03-12,Perdu
CNT0000027,CLI012,CAM00126,Facebook,2022-06-12,Côte d'Ivoire,Client dormant,6,98916,2022-08-04,Actif
CNT0000028,CLI017,CAM00231,Email,2023-03-05,Burkina Faso,Client dormant,5,68770,2024-02-25,Perdu
CNT0000029,CLI015,CAM00197,Email,2024-01-15,Burkina Faso,Prospect,4,106952,2025-01-21,Perdu
CNT0000030,CLI010,CAM00100,Facebook,2023-07-10,Sénégal,Nouveau client,4,175496,2023-11-04,Inactif
CNT0000031,CLI015,CAM00190,SMS,2023-10-17,Burkina Faso,Prospect,7,363993,2024-04-18,Actif
CNT0000032,CLI010,CAM00102,Email,2023-10-03,Cameroun,Client actif,7,387457,2024-01-12,Perdu
CNT0000033,CLI015,CAM00184,SMS,2023-10-25,Côte d'Ivoire,Client dormant,1,51325,2024-03-18,Perdu
CNT0000034,CLI010,CAM00103,SMS,2024-05-05,Cameroun,Nouveau client,3,120717,2025-04-16,Actif
CNT0000035,CLI012,CAM00135,SMS,2024-04-17,Sénégal,Nouveau client,1,9713,2024-11-23,Actif
CNT0000036,CLI015,CAM00176,Email,2022-12-11,Burkina Faso,Client dormant,1,5352,2023-07-31,Actif
CNT0000037,CLI010,CAM00102,Email,2023-10-22,Cameroun,Client dormant,4,271376,2024-03-19,Actif
CNT0000038,CLI011,CAM00120,SMS,2023-02-11,Mali,Prospect,7,329133,2023-05-01,Inactif
CNT0000039,CLI015,CAM00193,SMS,2023-10-15,Burkina Faso,Nouveau client,6,280722,2024-05-06,Actif
CNT0000040,CLI016,CAM00224,Email,2023-11-23,Mali,Nouveau client,3,68220,2024-12-14,Perdu
CNT0000041,CLI015,CAM00190,SMS,2023-10-02,Burkina Faso,Client actif,7,481796,2024-10-15,Perdu
