perf_id,campagne_id,date_perf,canal,impressions,clics,depenses_fcfa,conversions,revenu_genere_fcfa,ctr,cpc_fcfa,cpa_fcfa,roas,taux_conversion,jour_campagne
PRF0000001,CAM00001,2023-02-06,Facebook,2002,21,3293,0,5077,0.0106,156.8,,1.542,0.0,1
PRF0000002,CAM00001,2023-02-07,Facebook,2161,16,2921,0,4738,0.0078,182.6,,1.622,0.0,2
PRF0000003,CAM00001,2023-02-08,Facebook,2058,16,2856,0,4652,0.0078,178.5,,1.629,0.0,3
PRF0000004,CAM00001,2023-02-09,Facebook,1745,14,2752,0,2560,0.0086,196.6,,0.93,0.0,4
PRF0000005,CAM00001,2023-02-10,Facebook,2883,18,2946,0,1974,0.0062,163.7,,0.67,0.0,5
PRF0000006,CAM00001,2023-02-11,Facebook,1337,18,3358,0,2784,0.0139,186.6,,0.829,0.0,6
PRF0000007,CAM00001,2023-02-12,Facebook,2063,26,3437,0,6040,0.0127,132.2,,1.757,0.0,7
PRF0000008,CAM00001,2023-02-13,Facebook,1812,17,2752,0,2167,0.0095,161.9,,0.788,0.0,8
PRF0000009,CAM00001,2023-02-14,Facebook,2022,24,3459,0,2282,0.012,144.1,,0.66,0.0,9
PRF0000010,CAM00001,2023-02-15,Facebook,3276,24,3128,0,2933,0.0074,130.3,,0.938,0.0,10
PRF0000011,CAM00001,2023-02-16,Facebook,2668,19,3503,0,5729,0.0072,184.4,,1.636,0.0,11
PRF0000012,CAM00001,2023-02-17,Facebook,2278,29,3828,0,2498,0.0131,132.0,,0.653,0.0,12
PRF0000013,CAM00001,2023-02-18,Facebook,2026,24,3208,0,4038,0.0122,133.7,,1.259,0.0,13
PRF0000014,CAM00001,2023-02-19,Facebook,3682,22,3392,0,5437,0.0062,154.2,,1.603,0.0,14
PRF0000015,CAM00001,2023-02-20,Facebook,3339,29,3646,0,3889,0.0087,125.7,,1.067,0.0,15
PRF0000016,CAM00001,2023-02-21,Facebook,1373,12,2163,0,3818,0.009,180.2,,1.766,0.0,16
PRF0000017,CAM00001,2023-02-22,Facebook,1476,15,2216,0,2434,0.0104,147.7,,1.099,0.0,17
PRF0000018,CAM00001,2023-02-23,Facebook,3320,21,2967,0,5576,0.0064,141.3,,1.879,0.0,18
PRF0000019,CAM00001,2023-02-24,Facebook,1157,13,2106,0,3445,0.0114,162.0,,1.636,0.0,19
PRF0000020,CAM00001,2023-02-25,Facebook,3544,18,2541,0,3991,0.0052,141.2,,1.571,0.0,20
PRF0000021,CAM00001,2023-02-26,Facebook,3061,29,4194,0,2973,0.0096,144.6,,0.709,0.0,21
PRF0000022,CAM00001,2023-02-27,Facebook,3038,22,3877,0,4200,0.0074,176.2,,1.083,0.0,22
PRF0000023,CAM00001,2023-02-28,Facebook,2765,27,4149,0,5802,0.01,153.7,,1.399,0.0,23
PRF0000024,CAM00001,2023-03-01,Facebook,2167,12,2099,0,3546,0.0058,174.9,,1.689,0.0,24
PRF0000025,CAM00002,2023-12-15,Google,205,7,1837,0,6300,0.0365,262.4,,3.43,0.0,1
PRF0000026,CAM00002,2023-12-16,Google,141,3,1051,0,4006,0.0272,350.3,,3.812,0.0,2
PRF0000027,CAM00002,2023-12-17,Google,283,7,1883,0,4251,0.0282,269.0,,2.258,0.0,3
PRF0000028,CAM00002,2023-12-18,Google,237,8,1633,0,6000,0.034,204.1,,3.674,0.0,4
PRF0000029,CAM00002,2023-12-19,Google,220,9,2109,0,7359,0.0419,234.3,,3.49,0.0,5
PRF0000030,CAM00002,2023-12-20,Google,128,5,1091,0,3618,0.0441,218.2,,3.317,0.0,6
PRF0000031,CAM00002,2023-12-21,Google,117,5,1039,0,2430,0.044,207.8,,2.339,0.0,7
PRF0000032,CAM00002,2023-12-22,Google,264,7,2003,0,7343,0.0295,286.1,,3.666,0.0,8
PRF0000033,CAM00002,2023-12-23,Google,158,6,1206,0,2870,0.0389,201.0,,2.38,0.0,9
PRF0000034,CAM00002,2023-12-24,Google,260,7,2075,0,7632,0.0292,296.4,,3.678,0.0,10
PRF0000035,CAM00002,2023-12-25,Google,105,4,1089,0,3597,0.0466,272.2,,3.304,0.0,11
PRF0000036,CAM00002,2023-12-26,Google,179,9,2086,0,4539,0.0506,231.8,,2.176,0.0,12
PRF0000037,CAM00002,2023-12-27,Google,226,10,2166,0,8909,0.0475,216.6,,4.113,0.0,13
PRF0000038,CAM00002,2023-12-28,Google,186,7,1981,0,5348,0.0429,283.0,,2.7,0.0,14
PRF0000039,CAM00002,2023-12-29,Google,100,4,1044,0,3178,0.0434,261.0,,3.045,0.0,15
PRF0000040,CAM00002,2023-12-30,Google,155,7,1585,0,3690,0.0465,226.4,,2.329,0.0,16
PRF0000041,CAM00002,2023-12-31,Google,361,9,2069,0,9464,0.025,229.9,,4.574,0.0,17
PRF0000042,CAM00002,2024-01-01,Google,233,8,2185,0,4983,0.0355,273.1,,2.281,0.0,18
PRF0000043,CAM00002,2024-01-02,Google,258,8,1818,0,5267,0.0341,227.2,,2.898,0.0,19
PRF0000044,CAM00002,2024-01-03,Google,230,6,1375,0,5460,0.0266,229.2,,3.971,0.0,20
PRF0000045,CAM00002,2024-01-04,Google,258,10,2169,0,8465,0.0391,216.9,,3.903,0.0,21
PRF0000046,CAM00002,2024-01-05,Google,157,4,1098,0,2788,0.0299,274.5,,2.54,0.0,22
PRF0000047,CAM00002,2024-01-06,Google,211,4,1058,0,3589,0.0232,264.5,,3.393,0.0,23
PRF0000048,CAM00002,2024-01-07,Google,186,6,1360,0,4958,0.0354,226.7,,3.646,0.0,24
PRF0000049,CAM00002,2024-01-08,Google,210,6,1685,0,7784,0.0329,280.8,,4.62,0.0,25
PRF0000050,CAM00002,2024-01-09,Google,301,8,2118,0,6261,0.0283,264.8,,2.956,0.0,26
PRF0000051,CAM00002,2024-01-10,Google,221,5,1412,0,5055,0.026,282.4,,3.58,0.0,27
PRF0000052,CAM00002,2024-01-11,Google,517,7,2142,0,9604,0.0154,306.0,,4.484,0.0,28
PRF0000053,CAM00002,2024-01-12,Google,397,6,1400,0,3669,0.0156,233.3,,2.621,0.0,29
PRF0000054,CAM00002,2024-01-13,Google,443,9,1881,0,9041,0.0208,209.0,,4.807,0.0,30
PRF0000055,CAM00002,2024-01-14,Google,372,5,1161,0,4309,0.0138,232.2,,3.712,0.0,31
PRF0000056,CAM00002,2024-01-15,Google,209,3,1023,0,4994,0.0181,341.0,,4.882,0.0,32
PRF0000057,CAM00002,2024-01-16,Google,297,6,1431,0,4517,0.0224,238.5,,3.157,0.0,33
PRF0000058,CAM00002,2024-01-17,Google,325,8,2099,0,9976,0.0263,262.4,,4.753,0.0,34
PRF0000059,CAM00002,2024-01-18,Google,195,4,1179,0,3914,0.0239,294.8,,3.32,0.0,35
PRF0000060,CAM00002,2024-01-19,Google,453,10,2163,0,8736,0.0237,216.3,,4.039,0.0,36
PRF0000061,CAM00002,2024-01-20,Google,309,4,1289,0,4172,0.0154,322.2,,3.237,0.0,37
PRF0000062,CAM00003,2023-05-03,Facebook,2370,16,2861,0,2665,0.0068,178.8,,0.932,0.0,1
PRF0000063,CAM00003,2023-05-04,Facebook,1073,13,1970,0,2775,0.0123,151.5,,1.409,0.0,2
PRF0000064,CAM00003,2023-05-05,Facebook,936,10,1888,0,2930,0.0108,188.8,,1.552,0.0,3
PRF0000065,CAM00003,2023-05-06,Facebook,1911,19,2787,0,4455,0.0104,146.7,,1.599,0.0,4
PRF0000066,CAM00003,2023-05-07,Facebook,2006,11,1853,0,1894,0.0057,168.5,,1.022,0.0,5
PRF0000067,CAM00003,2023-05-08,Facebook,1399,17,2658,0,2639,0.0122,156.4,,0.993,0.0,6
PRF0000068,CAM00003,2023-05-09,Facebook,1888,15,1916,0,2200,0.008,127.7,,1.149,0.0,7
PRF0000069,CAM00003,2023-05-10,Facebook,1149,16,2374,0,2329,0.014,148.4,,0.981,0.0,8
PRF0000070,CAM00003,2023-05-11,Facebook,1122,8,1248,0,1712,0.0079,156.0,,1.372,0.0,9
PRF0000071,CAM00003,2023-05-12,Facebook,1658,15,2020,0,2469,0.0094,134.7,,1.222,0.0,10
PRF0000072,CAM00003,2023-05-13,Facebook,2695,18,2571,0,3295,0.0067,142.8,,1.282,0.0,11
PRF0000073,CAM00003,2023-05-14,Facebook,812,10,1805,0,2710,0.0132,180.5,,1.502,0.0,12
PRF0000074,CAM00003,2023-05-15,Facebook,2286,11,1578,0,1933,0.0052,143.5,,1.225,0.0,13
PRF0000075,CAM00003,2023-05-16,Facebook,1108,9,1368,0,1138,0.0089,152.0,,0.832,0.0,14
PRF0000076,CAM00003,2023-05-17,Facebook,2170,15,2069,0,1174,0.007,137.9,,0.568,0.0,15
PRF0000077,CAM00003,2023-05-18,Facebook,3612,19,2528,0,2038,0.0055,133.1,,0.806,0.0,16
PRF0000078,CAM00003,2023-05-19,Facebook,2853,13,2109,0,3685,0.0048,162.2,,1.748,0.0,17
PRF0000079,CAM00003,2023-05-20,Facebook,2045,20,2580,0,3595,0.0099,129.0,,1.394,0.0,18
PRF0000080,CAM00003,2023-05-21,Facebook,2258,20,2730,0,3458,0.0091,136.5,,1.267,0.0,19
PRF0000081,CAM00003,2023-05-22,Facebook,1177,12,2158,0,2642,0.011,179.8,,1.225,0.0,20
PRF0000082,CAM00003,2023-05-23,Facebook,1343,11,1658,0,2138,0.0086,150.7,,1.29,0.0,21
PRF0000083,CAM00003,2023-05-24,Facebook,2500,10,1704,0,1602,0.0042,170.4,,0.94,0.0,22
PRF0000084,CAM00003,2023-05-25,Facebook,3464,15,2145,0,3285,0.0045,143.0,,1.532,0.0,23
PRF0000085,CAM00003,2023-05-26,Facebook,1310,7,1354,0,1546,0.0061,193.4,,1.142,0.0,24
PRF0000086,CAM00003,2023-05-27,Facebook,1648,14,1946,0,2984,0.009,139.0,,1.534,0.0,25
PRF0000087,CAM00003,2023-05-28,Facebook,3445,18,2520,0,2652,0.0054,140.0,,1.052,0.0,26
PRF0000088,CAM00003,2023-05-29,Facebook,2148,18,2667,0,4284,0.0084,148.2,,1.607,0.0,27
PRF0000089,CAM00003,2023-05-30,Facebook,3071,12,2250,0,2632,0.004,187.5,,1.17,0.0,28
PRF0000090,CAM00003,2023-05-31,Facebook,1938,11,1806,0,1428,0.0061,164.2,,0.791,0.0,29
