id_medicament,medicament,semaine,quantite_prevue_semaine,borne_basse_semaine,borne_haute_semaine,stock_securite_calc,point_commande_ROP,qte_commande_EOQ,prix_unitaire_eur,alerte
MED001,Amoxicilline 500mg,1,140.5,122.9,159.3,12,70,652,2.5,OK
MED001,Amoxicilline 500mg,2,134.6,119.10000000000001,150.2,12,70,652,2.5,OK
MED001,Amoxicilline 500mg,3,133.4,119.2,147.4,12,70,652,2.5,OK
MED001,Amoxicilline 500mg,4,132.6,119.3,145.6,12,70,652,2.5,OK
MED002,Paracétamol 1g,1,459.7,416.6,505.5,18,77,1389,0.8,OK
MED002,Paracétamol 1g,2,451.8,416.5,488.8,18,77,1389,0.8,OK
MED002,Paracétamol 1g,3,448.8,419.8,479.70000000000005,18,77,1389,0.8,OK
MED002,Paracétamol 1g,4,447.79999999999995,424.5,474.9,18,77,1389,0.8,OK
MED003,Ibuprofène 400mg,1,64.4,53.900000000000006,76.2,10,63,1270,1.2,OK
MED003,Ibuprofène 400mg,2,64.8,52.8,75.6,10,63,1270,1.2,OK
MED003,Ibuprofène 400mg,3,63.6,51.5,75.2,10,63,1270,1.2,OK
MED003,Ibuprofène 400mg,4,63.3,51.699999999999996,74.7,10,63,1270,1.2,OK
MED004,Metformine 850mg,1,118.8,98.5,141.5,23,158,1534,1.5,OK
MED004,Metformine 850mg,2,111.5,93.4,132.3,23,158,1534,1.5,OK
MED004,Metformine 850mg,3,106.8,91.7,123.10000000000001,23,158,1534,1.5,OK
MED004,Metformine 850mg,4,106.5,91.7,121.9,23,158,1534,1.5,OK
MED005,Amlodipine 5mg,1,162.8,144.8,180.6,16,79,718,3.2,OK
MED005,Amlodipine 5mg,2,157.0,140.6,172.8,16,79,718,3.2,OK
MED005,Amlodipine 5mg,3,158.8,143.4,174.2,16,79,718,3.2,OK
MED005,Amlodipine 5mg,4,154.5,139.5,169.1,16,79,718,3.2,OK
MED007,Salbutamol 100µg,1,120.0,103.30000000000001,136.4,29,239,464,8.5,SOUS-DIMENSIONNE
MED007,Salbutamol 100µg,2,117.7,99.9,134.7,29,239,464,8.5,SOUS-DIMENSIONNE
MED007,Salbutamol 100µg,3,115.0,97.6,130.2,29,239,464,8.5,SOUS-DIMENSIONNE
MED007,Salbutamol 100µg,4,114.7,96.1,131.4,29,239,464,8.5,SOUS-DIMENSIONNE
MED008,Insuline Glargine,1,127.3,112.8,143.9,19,124,206,45.0,SOUS-DIMENSIONNE
MED008,Insuline Glargine,2,127.5,114.6,140.8,19,124,206,45.0,SOUS-DIMENSIONNE
MED008,Insuline Glargine,3,125.5,112.3,138.8,19,124,206,45.0,SOUS-DIMENSIONNE
MED008,Insuline Glargine,4,122.3,109.3,135.9,19,124,206,45.0,SOUS-DIMENSIONNE
MED009,Furosémide 40mg,1,94.6,80.6,108.3,8,24,740,1.8,OK
MED009,Furosémide 40mg,2,95.0,82.7,105.8,8,24,740,1.8,OK
MED009,Furosémide 40mg,3,97.5,86.7,107.5,8,24,740,1.8,OK
MED009,Furosémide 40mg,4,96.9,85.7,107.4,8,24,740,1.8,OK
MED010,Atorvastatine 20mg,1,142.2,128.5,156.8,24,176,561,4.2,SOUS-DIMENSIONNE
MED010,Atorvastatine 20mg,2,145.7,131.6,159.1,24,176,561,4.2,SOUS-DIMENSIONNE
MED010,Atorvastatine 20mg,3,145.5,132.4,158.1,24,176,561,4.2,SOUS-DIMENSIONNE
MED010,Atorvastatine 20mg,4,146.3,133.6,159.0,24,176,561,4.2,SOUS-DIMENSIONNE
MED011,Ceftriaxone 1g,1,122.5,109.6,136.7,6,27,323,12.0,OK
MED011,Ceftriaxone 1g,2,120.3,107.6,133.5,6,27,323,12.0,OK
MED011,Ceftriaxone 1g,3,123.3,110.6,134.8,6,27,323,12.0,OK
MED011,Ceftriaxone 1g,4,122.0,110.10000000000001,133.5,6,27,323,12.0,OK
MED012,Morphine 10mg,1,119.6,104.3,136.7,9,42,254,18.5,SOUS-DIMENSIONNE
MED012,Morphine 10mg,2,114.6,102.89999999999999,127.5,9,42,254,18.5,SOUS-DIMENSIONNE
MED012,Morphine 10mg,3,115.4,104.9,126.5,9,42,254,18.5,SOUS-DIMENSIONNE
MED012,Morphine 10mg,4,115.0,105.30000000000001,125.8,9,42,254,18.5,SOUS-DIMENSIONNE
MED013,Dexaméthasone 4mg,1,242.9,219.0,264.6,9,29,418,6.8,LEGEREMENT BAS
MED013,Dexaméthasone 4mg,2,246.7,229.6,266.2,9,29,418,6.8,LEGEREMENT BAS
MED013,Dexaméthasone 4mg,3,247.6,229.7,266.1,9,29,418,6.8,LEGEREMENT BAS
MED013,Dexaméthasone 4mg,4,248.5,230.9,265.8,9,29,418,6.8,LEGEREMENT BAS
MED014,Héparine 5000UI,1,249.8,222.2,276.3,14,54,259,22.0,SOUS-DIMENSIONNE
MED014,Héparine 5000UI,2,251.0,226.1,273.9,14,54,259,22.0,SOUS-DIMENSIONNE
MED014,Héparine 5000UI,3,254.2,228.3,277.2,14,54,259,22.0,SOUS-DIMENSIONNE
MED014,Héparine 5000UI,4,253.0,228.5,275.8,14,54,259,22.0,SOUS-DIMENSIONNE
MED015,Azithromycine 250mg,1,60.5,51.1,71.0,9,59,408,5.5,OK
MED015,Azithromycine 250mg,2,58.7,49.7,68.60000000000001,9,59,408,5.5,OK
MED015,Azithromycine 250mg,3,57.0,49.2,64.6,9,59,408,5.5,OK
MED015,Azithromycine 250mg,4,57.0,49.6,64.0,9,59,408,5.5,OK
MED017,Lorazépam 1mg,1,48.2,39.5,55.9,6,26,417,4.1,LEGEREMENT BAS
MED017,Lorazépam 1mg,2,45.5,38.2,52.3,6,26,417,4.1,LEGEREMENT BAS
MED017,Lorazépam 1mg,3,43.4,37.5,49.7,6,26,417,4.1,LEGEREMENT BAS
MED017,Lorazépam 1mg,4,42.4,36.9,47.7,6,26,417,4.1,LEGEREMENT BAS
MED019,Ciprofloxacine 500mg,1,22.0,18.6,25.7,4,23,384,4.8,OK
MED019,Ciprofloxacine 500mg,2,21.4,17.3,25.7,4,23,384,4.8,OK
MED019,Ciprofloxacine 500mg,3,20.3,16.2,24.5,4,23,384,4.8,OK
MED019,Ciprofloxacine 500mg,4,19.7,16.1,23.8,4,23,384,4.8,OK
MED020,Paracétamol Pédiatrique,1,60.300000000000004,50.1,70.3,22,243,775,3.2,SOUS-DIMENSIONNE
MED020,Paracétamol Pédiatrique,2,58.300000000000004,47.8,69.1,22,243,775,3.2,SOUS-DIMENSIONNE
MED020,Paracétamol Pédiatrique,3,58.8,47.8,69.9,22,243,775,3.2,SOUS-DIMENSIONNE
MED020,Paracétamol Pédiatrique,4,57.8,47.0,68.5,22,243,775,3.2,SOUS-DIMENSIONNE
MED023,Érythropoïétine 4000UI,1,49.0,41.6,55.9,7,35,92,85.0,SOUS-DIMENSIONNE
MED023,Érythropoïétine 4000UI,2,48.3,41.3,55.099999999999994,7,35,92,85.0,SOUS-DIMENSIONNE
MED023,Érythropoïétine 4000UI,3,49.1,42.4,56.2,7,35,92,85.0,SOUS-DIMENSIONNE
MED023,Érythropoïétine 4000UI,4,47.6,41.5,54.1,7,35,92,85.0,SOUS-DIMENSIONNE
MED024,Vancomycine 500mg,1,47.5,40.3,56.0,4,24,143,35.0,OK
MED024,Vancomycine 500mg,2,48.8,41.0,56.5,4,24,143,35.0,OK
MED024,Vancomycine 500mg,3,46.1,39.9,51.9,4,24,143,35.0,OK
MED024,Vancomycine 500mg,4,45.8,39.6,51.9,4,24,143,35.0,OK
MED025,Digoxine 0.25mg,1,29.5,24.3,35.4,4,19,491,3.8,OK
MED025,Digoxine 0.25mg,2,28.0,22.8,33.4,4,19,491,3.8,OK
MED025,Digoxine 0.25mg,3,26.8,22.4,31.799999999999997,4,19,491,3.8,OK
MED025,Digoxine 0.25mg,4,26.099999999999998,21.7,31.099999999999998,4,19,491,3.8,OK
