id_consommation,date,id_medicament,id_service,quantite_consommee,cout_euro
CONSO000001,2022-01-01,MED001,SRV001,8,20.0
CONSO000002,2022-01-01,MED002,SRV001,13,10.4
CONSO000003,2022-01-01,MED003,SRV001,10,12.0
CONSO000004,2022-01-01,MED011,SRV001,6,72.0
CONSO000005,2022-01-01,MED013,SRV001,4,27.2
CONSO000006,2022-01-01,MED019,SRV001,3,14.4
CONSO000007,2022-01-01,MED017,SRV001,3,12.3
CONSO000008,2022-01-01,MED005,SRV002,12,38.4
CONSO000009,2022-01-01,MED009,SRV002,6,10.8
CONSO000010,2022-01-01,MED010,SRV002,10,42.0
CONSO000011,2022-01-01,MED014,SRV002,5,110.0
CONSO000012,2022-01-01,MED025,SRV002,4,15.2
CONSO000013,2022-01-01,MED002,SRV002,4,3.2
CONSO000014,2022-01-01,MED020,SRV003,6,19.2
CONSO000015,2022-01-01,MED002,SRV003,5,4.0
CONSO000016,2022-01-01,MED015,SRV003,5,27.5
CONSO000017,2022-01-01,MED007,SRV003,5,42.5
CONSO000018,2022-01-01,MED022,SRV003,4,3.6
CONSO000019,2022-01-01,MED001,SRV003,3,7.5
CONSO000020,2022-01-01,MED011,SRV004,5,60.0
CONSO000021,2022-01-01,MED014,SRV004,11,242.0
CONSO000022,2022-01-01,MED012,SRV004,4,74.0
CONSO000023,2022-01-01,MED013,SRV004,5,34.0
CONSO000024,2022-01-01,MED002,SRV004,5,4.0
CONSO000025,2022-01-01,MED009,SRV004,3,5.4
CONSO000026,2022-01-01,MED004,SRV005,17,25.5
CONSO000027,2022-01-01,MED008,SRV005,9,405.0
CONSO000028,2022-01-01,MED005,SRV005,7,22.4
CONSO000029,2022-01-01,MED010,SRV005,5,21.0
CONSO000030,2022-01-01,MED002,SRV005,4,3.2
CONSO000031,2022-01-01,MED007,SRV006,10,85.0
CONSO000032,2022-01-01,MED001,SRV006,7,17.5
CONSO000033,2022-01-01,MED013,SRV006,4,27.2
CONSO000034,2022-01-01,MED015,SRV006,3,16.5
CONSO000035,2022-01-01,MED002,SRV006,6,4.8
CONSO000036,2022-01-01,MED012,SRV007,6,111.0
CONSO000037,2022-01-01,MED014,SRV007,11,242.0
CONSO000038,2022-01-01,MED013,SRV007,6,40.8
CONSO000039,2022-01-01,MED008,SRV007,6,270.0
CONSO000040,2022-01-01,MED023,SRV007,2,170.0
CONSO000041,2022-01-01,MED024,SRV007,4,140.0
CONSO000042,2022-01-01,MED011,SRV007,5,60.0
CONSO000043,2022-01-01,MED023,SRV008,4,340.0
CONSO000044,2022-01-01,MED013,SRV008,7,47.6
CONSO000045,2022-01-01,MED012,SRV008,4,74.0
CONSO000046,2022-01-01,MED024,SRV008,3,105.0
CONSO000047,2022-01-01,MED002,SRV008,6,4.8
CONSO000048,2022-01-01,MED014,SRV008,5,110.0
CONSO000049,2022-01-01,MED002,SRV009,7,5.6
CONSO000050,2022-01-01,MED005,SRV009,4,12.8
CONSO000051,2022-01-01,MED017,SRV009,4,16.4
CONSO000052,2022-01-01,MED009,SRV009,3,5.4
CONSO000053,2022-01-01,MED010,SRV009,4,16.8
CONSO000054,2022-01-01,MED002,SRV010,10,8.0
CONSO000055,2022-01-01,MED022,SRV010,8,7.2
CONSO000056,2022-01-01,MED021,SRV010,6,6.6
CONSO000057,2022-01-01,MED001,SRV010,4,10.0
CONSO000058,2022-01-01,MED013,SRV010,3,20.4
CONSO000059,2022-01-01,MED014,SRV010,5,110.0
CONSO000060,2022-01-02,MED001,SRV001,8,20.0
CONSO000061,2022-01-02,MED002,SRV001,13,10.4
CONSO000062,2022-01-02,MED003,SRV001,9,10.8
CONSO000063,2022-01-02,MED011,SRV001,4,48.0
CONSO000064,2022-01-02,MED013,SRV001,3,20.4
CONSO000065,2022-01-02,MED019,SRV001,4,19.2
CONSO000066,2022-01-02,MED017,SRV001,3,12.3
CONSO000067,2022-01-02,MED005,SRV002,11,35.2
CONSO000068,2022-01-02,MED009,SRV002,8,14.4
CONSO000069,2022-01-02,MED010,SRV002,9,37.8
CONSO000070,2022-01-02,MED014,SRV002,5,110.0
CONSO000071,2022-01-02,MED025,SRV002,4,15.2
CONSO000072,2022-01-02,MED002,SRV002,5,4.0
CONSO000073,2022-01-02,MED020,SRV003,9,28.8
CONSO000074,2022-01-02,MED002,SRV003,9,7.2
CONSO000075,2022-01-02,MED015,SRV003,3,16.5
CONSO000076,2022-01-02,MED007,SRV003,7,59.5
CONSO000077,2022-01-02,MED022,SRV003,4,3.6
CONSO000078,2022-01-02,MED001,SRV003,3,7.5
CONSO000079,2022-01-02,MED011,SRV004,7,84.0
CONSO000080,2022-01-02,MED014,SRV004,6,132.0
CONSO000081,2022-01-02,MED012,SRV004,4,74.0
CONSO000082,2022-01-02,MED013,SRV004,5,34.0
CONSO000083,2022-01-02,MED002,SRV004,9,7.2
CONSO000084,2022-01-02,MED009,SRV004,3,5.4
CONSO000085,2022-01-02,MED004,SRV005,14,21.0
CONSO000086,2022-01-02,MED008,SRV005,10,450.0
CONSO000087,2022-01-02,MED005,SRV005,8,25.6
CONSO000088,2022-01-02,MED010,SRV005,5,21.0
CONSO000089,2022-01-02,MED002,SRV005,4,3.2
CONSO000090,2022-01-02,MED007,SRV006,12,102.0
CONSO000091,2022-01-02,MED001,SRV006,5,12.5
CONSO000092,2022-01-02,MED013,SRV006,5,34.0
CONSO000093,2022-01-02,MED015,SRV006,3,16.5
CONSO000094,2022-01-02,MED002,SRV006,5,4.0
CONSO000095,2022-01-02,MED012,SRV007,7,129.5
