salaire_id,employe_id,departement_id,periode,annee,mois,salaire_brut,prime,cotisations,impot_revenu,salaire_net,statut_paiement
SAL000001,EMP0001,DEP01,2021-07,2021,7,4886000,0,317590,586320,3982090,Paye
SAL000002,EMP0001,DEP01,2021-08,2021,8,4886000,0,317590,586320,3982090,Paye
SAL000003,EMP0001,DEP01,2021-09,2021,9,4886000,0,317590,586320,3982090,Paye
SAL000004,EMP0001,DEP01,2021-10,2021,10,4886000,0,317590,586320,3982090,Paye
SAL000005,EMP0001,DEP01,2021-11,2021,11,4886000,0,317590,586320,3982090,Paye
SAL000006,EMP0001,DEP01,2021-12,2021,12,4886000,7209891,317590,586320,11191981,Paye
SAL000007,EMP0001,DEP01,2022-01,2022,1,5224616,0,339600,626954,4258062,Paye
SAL000008,EMP0001,DEP01,2022-02,2022,2,5224616,0,339600,626954,4258062,Paye
SAL000009,EMP0001,DEP01,2022-03,2022,3,5224616,0,339600,626954,4258062,Paye
SAL000010,EMP0001,DEP01,2022-04,2022,4,5224616,0,339600,626954,4258062,Paye
SAL000011,EMP0001,DEP01,2022-05,2022,5,5224616,0,339600,626954,4258062,Paye
SAL000012,EMP0001,DEP01,2022-06,2022,6,5224616,1812046,339600,626954,6070108,Paye
SAL000013,EMP0001,DEP01,2022-07,2022,7,5224616,0,339600,626954,4258062,Paye
SAL000014,EMP0001,DEP01,2022-08,2022,8,5224616,0,339600,626954,4258062,Paye
SAL000015,EMP0001,DEP01,2022-09,2022,9,5224616,0,339600,626954,4258062,Paye
SAL000016,EMP0001,DEP01,2022-10,2022,10,5224616,0,339600,626954,4258062,Paye
SAL000017,EMP0001,DEP01,2022-11,2022,11,5224616,0,339600,626954,4258062,Paye
SAL000018,EMP0001,DEP01,2022-12,2022,12,5224616,6573025,339600,626954,10831087,Paye
SAL000019,EMP0001,DEP01,2023-01,2023,1,5634931,0,366271,676192,4592468,Paye
SAL000020,EMP0001,DEP01,2023-02,2023,2,5634931,0,366271,676192,4592468,Paye
SAL000021,EMP0001,DEP01,2023-03,2023,3,5634931,0,366271,676192,4592468,Paye
SAL000022,EMP0001,DEP01,2023-04,2023,4,5634931,0,366271,676192,4592468,Paye
SAL000023,EMP0001,DEP01,2023-05,2023,5,5634931,0,366271,676192,4592468,Paye
SAL000024,EMP0001,DEP01,2023-06,2023,6,5634931,824316,366271,676192,5416784,Paye
SAL000025,EMP0001,DEP01,2023-07,2023,7,5634931,0,366271,676192,4592468,Paye
SAL000026,EMP0001,DEP01,2023-08,2023,8,5634931,0,366271,676192,4592468,Paye
SAL000027,EMP0001,DEP01,2023-09,2023,9,5634931,0,366271,676192,4592468,Paye
SAL000028,EMP0001,DEP01,2023-10,2023,10,5634931,0,366271,676192,4592468,Paye
SAL000029,EMP0001,DEP01,2023-11,2023,11,5634931,0,366271,676192,4592468,Paye
SAL000030,EMP0001,DEP01,2023-12,2023,12,5634931,3885124,366271,676192,8477592,Paye
SAL000031,EMP0001,DEP01,2024-01,2024,1,5938007,0,385970,712561,4839476,Paye
SAL000032,EMP0001,DEP01,2024-02,2024,2,5938007,0,385970,712561,4839476,Paye
